Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Underperforming Score
New York City Lovers,,697689596979025,N/A,2016-10-11 10:35:57 EDT,Photo,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/697689596979025/permalink/1143470122400968,"132 years ago on this date, back in 1884, Eleanor Roosevelt was born in NYC.",https://www.facebook.com/5DGUIDE/photos/a.640815429325755/1190885790985380/?type=3,,,5D GUIDE,"On this date, back in 1884, Eleanor Roosevelt was born in NYC. She was an American politician, diplomat, and activist. She was the longest-serving First Lady of the United States, having held the post from March 1933 to April 1945 during her husband President Franklin D. Roosevelt's four terms in office. She also served as United States Delegate to the United Nations General Assembly from 1945 to 1952.

President Harry S. Truman later called her the ""First Lady of the World"" in tribute to her human rights achievements.

In 1996 a sculpture of Eleanor was dedicated at 72nd Street & Riverside Dr. in the presence of Hillary Rodham Clinton, First Lady of the United States at the time.

Please share this moment in time. (Y) 5D GUIDE to connect NYC history with visuals and align it to the dates when events happened.",,,0,-436
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-25 02:55:18 EDT,Photo,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1047192482045341,Please vote,https://www.facebook.com/photo.php?fbid=1778937809060655&set=gm.1047192482045341&type=3,,,Photos from Anna Henderson's post,,,,0,-214
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-25 14:17:56 EDT,Photo,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1047681835329739,Vote Hillary Clinton to preserve our freedom.,,,,,,,,0,-214
You Know You From South Dallas If.....,,113523748745557,N/A,2016-11-03 10:57:26 EDT,Photo,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1057226437708612,ElectionsHaveConsequences #Vote ✊,https://www.facebook.com/photo.php?fbid=1491349754213446&set=p.1491349754213446&type=3,,,Royce,"Dallas Democrats, your vote has an impact on the White House to the Courthouse.  There are plenty of qualified candidates that need your support. Get out and VOTE!",,,0,-214
You Know You From South Dallas If.....,,113523748745557,N/A,2016-09-26 22:31:45 EDT,Status,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1021673154597274,"Trump claims that thousands of jobs have left states like Ohio and Michigan and other midwestern states. Fact: According to the Bureau of Labor Statistics, Michigan unemployment dropped from 11.6 percent in 2009 to 4.5 percent today. Ohio unemployment plunged from 8.8 percent to 4.7 percent and North Carolina’s rate dropped from 9.7 percent to 4.6 percent.",,,,,,,,0,-150
You Know You From South Dallas If.....,,113523748745557,N/A,2016-08-17 11:20:48 EDT,Video,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/989236037840986,Sit yo ass down somewhere..,http://www.worldstarhiphop.com/videos/video.php?v=wshhB51kDuISeE0E6xLJ,,,"SMH: Rudy Giuliani Claims No ""Successful"" Terrorist Attacks Occurred Before President Obama!","The internet is outraged after Rudy Giuliani, who served as New York City mayor during 9/11, said that there were no successful terrorist attacks on U.S. soil before President Barack Obama took office in 2008. Giuliani's claim, of course, ignores the Sept 11 attacks and was especially notable becaus...",,,0,-124
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-02 16:48:21 EDT,Link,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1027090970722159,,https://www.buzzfeed.com/alexkantrowitz/racist-social-media-users-have-a-new-code-to-avoid-censorshi?utm_term=.xeXJr8VqG,,,Racist Social Media Users Have A New Code To Avoid Censorship,"New code words hide slurs from social platforms, and many tweets using them express support for Donald Trump.",,,0,-118
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-30 22:58:19 EDT,Link,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1053149911449598,This is election tampering and he should be suspended!,http://www.huffingtonpost.com/entry/senate-democrats-comey_us_58152e11e4b0990edc31b5ff,,,Senate Democrats Want An Update From Comey No Later Than Monday,They have questions. He *may* have answers.,,,0,-118
East Boston Open Discussion,,408282242636625,N/A,2016-09-19 08:55:23 EDT,Status,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/880776362053875,"GOVE STREET CITIZENS ASSOCIATION MEETING DATE: Monday, September 26, 2016 TIME: 6:30 pm – 8:30 pm AGENDA - Update on current status of GSCA area projects. - 157 Cottage St. – Proposal to increase living space by combining 1st floor with basement. – Brian Scagliola (3rd Appearance / Vote to be taken) - 10-16 Everett St. (Ani’s Auto Body) – Proposal to erect a five-story, residential building, with 20 market-rate condominium and 21 parking spaces located on the ground floor. (Article 80 Small Project Review Process) – Attorney Jeffrey Drago (3rd Appearance with proposed project changes / No vote to be taken) - 114 Orleans St. (Rick’s Auto) - Proposal to erect a six-story, with setback, residential building, with 28 market-rate condominiums and 15 parking spaces located on the ground floor. (Article 80 Small Project Review Process) – Attorney Jeffrey Drago (1st Introductory Presentation / No vote to be taken) LOCATION - The Noddle Island Community Room located on the first floor of the Logan Airport Rental Car Center situated at the end of Porter Street, just a 4-minute walk from the Embassy Suites Hotel. DRIVING – Free event parking in front of the building and in the Porter Street parking lot adjacent (truncated)",,,,,,,,0,-114
East Boston Open Discussion,,408282242636625,N/A,2016-10-20 09:16:24 EDT,Status,0,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/901294826668695,"MEETING DATE: Monday, October 24, 2016 TIME: 6:30 pm – 8:30 pm The Gove Street Citizens Association monthly meeting agenda: Update on current status of GSCA area projects. 114 Orleans St. (Rick’s Auto) - Proposal to erect a six-story, with setback, residential building, with 28 market-rate condominiums and 15 parking spaces located on the ground oor. (Article 80 Small Project Review Process) – Attorney Jeffrey Drago (2nd Presentation with project changes/ No vote to be taken) East Boston Museum – Updated presentation on the current museum status. – Fran Riley/Theresa Malionek LOCATION - The Noddle Island Community Room located on the first floor of the Logan Airport Rental Car Center situated at the end of Porter Street, just a 4-minute walk from the Embassy Suites Hotel. DRIVING – Free event parking in front of the building and in the Porter Street parking lot adjacent to the building",,,,,,,,0,-114
