Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
Columbus Black Owned Businesses,,281688762959032,75670,2020-10-16 13:21:26 EDT,Link,698,37,255,612,2,2,2,1,20,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/386098692518038,""" BLACK GIRLS GREEK MAGIC "" !!",https://ajc.com/life/image-goes-viral-of-black-atlanta-sororities-strolltothepolls/XGVFPC3RJRGZPDCB37DPNZQD3I/,,,Image goes viral of Black Atlanta sororities' #StrollToThePolls,Women of the Divine Nine sororities #StrollToThePolls in viral photo encouraging people to vote.,,,"1,629",80.45
East Boston Open Discussion,,408282242636625,16723,2020-10-06 17:04:10 EDT,Link,38,783,30,3,3,20,3,21,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2068178273313672,Can someone who supports the president explain to me what he is doing?,https://nbcnews.to/3jDjuIu,,,"Trump kills stimulus talks, tweets no deal until 'after I win' election","In the minutes after his tweet, the Dow Jones Industrial Average plunged more than 400 points.",,,901,23.1
Columbus Black Owned Businesses,,281688762959032,74491,2020-09-25 22:00:10 EDT,Photo,778,175,111,1073,19,2,1,0,21,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/370208860773688,"I had the honor of being part of a team of four local artists who helped recreate this Wali Neil mural at Easton! (Adam Brouillette, Shelbi Harris Roseboro, Tau Murphy and myself) Wali Neil was a well known artist who plays a pivotal role in the richness of the history of the black community in our city. He died in June, and we wanted to honor his legacy and contribution to our city. this can be seen on the parking garage by the North Entrance of Macy’s .. it’s 60 ft. x 25 ft.",https://www.facebook.com/photo.php?fbid=10158624704629399&set=gm.370208860773688&type=3,,,,,,,"2,180",22.49
Columbus Black Owned Businesses,,281688762959032,76961,2020-11-23 11:01:54 EST,Native Video,179,15,44,99,0,0,0,0,4,original,0,0,0,00:00:00,https://www.facebook.com/groups/281688762959032/permalink/417587492702491,"Happy Monday Everyone!!! ⚠️⚠️‼️ Today is Meet the Owner‼️⚠️⚠️ Today we are highlighting Jermayne D Harris Owner of Mayne Course. They are a food truck specializing in Catering and Meal prep and their dishes feature Chicken 🍗,Fish 🐟, Shrimp 🍤, and Veggies 🥒🫑🌽🥦 Check Him Out 💁🏿‍♀️",https://www.facebook.com/groups/281688762959032/permalink/417587492702491/,,,Photos from Autumn Perry-Robinson's post,,,,341,15.32
East Boston Open Discussion,,408282242636625,16862,2020-11-07 11:41:54 EST,Link,98,254,25,85,0,10,1,2,3,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2100980543366778,"AP/CNN/NBC/MSNBC/CBS/ABC/Fox News/Telemundo: Biden Defeats Trump, Wins Presidency Biden vence a Trump, gana la presidencia.",https://wcvb.com/article/biden-bests-trump-joe-biden-elected-nations-46th-president/34607297?src=app,,,Biden bests Trump: Joe Biden elected nation’s 46th president,"Former Vice President Joe Biden has defeated President Donald Trump’s bid for reelection, according to the AP.",,,478,13.57
Indiana Shit Drivers,,2448884692101913,24334,2020-11-01 13:41:52 EST,Status,302,623,13,94,2,90,2,3,2,,0,0,0,N/A,https://www.facebook.com/groups/2448884692101913/permalink/2839603629696682,Move Mfers The Trump Train About To Hit 465 In 20 Minutes.,,,,,,,,"1,131",13.28
You Know You From South Dallas If.....,,113523748745557,47631,2020-10-02 06:47:50 EDT,Link,62,166,25,6,11,52,8,1,6,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3203153256449242,,https://www.theblaze.com/news/trump-positive-coronavirus,,,Breaking: President Trump tweets that he and the first lady have tested positive for coronavirus,They will begin the quarantine process immediately,,,337,11.03
Indiana Shit Drivers,,2448884692101913,24334,2020-11-01 18:01:50 EST,Photo,344,355,13,115,3,71,1,4,1,,0,0,0,N/A,https://www.facebook.com/groups/2448884692101913/permalink/2839800119677033,Following the Trump rally!!!!,https://www.facebook.com/photo.php?fbid=781631959055356&set=gm.2839800119677033&type=3,,,Photos from Lisa Randle's post,,,,907,9.54
East Boston Open Discussion,,408282242636625,16728,2020-10-07 11:23:42 EDT,Status,51,378,5,8,0,33,1,1,1,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2068848313246668,"Did you know that Hershel Walker and President Trump have been friends for 37 years?! If you don’t believe it look it up. And Hershel stands by the President and has said he has even lost friends over it. How racist could the President be? smh President Trump enacted the First Step Act, he has given millions to black colleges, etc If he’s a racist He sucks at it. He’d better take lessons from sleepy Uncle Joe.",,,,,,,,478,9.35
Columbus Black Owned Businesses,,281688762959032,76323,2020-11-02 16:28:42 EST,Status,237,18,37,123,3,0,0,0,7,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/400554534405787,"Hey business boos! I try to keep my ears to the street and I've heard that whether Trump wins or loses this election there may be some rioting/looting/vandalism to businesses. If you have a store front, downtown or not, I want yall to be proactive and take the proper safety precautions. Board windows if you feel threatened, let me know if you need help with supplies, ensure your cameras and alarm systems are working, be present if you can and look out for other businesses as well! Just my two scents cuz I love ya!",,,,,,,,425,9.29
