Name,County,State
Carteret County Health Department,carteret,north carolina
City of Lafayette,lafayette,mississippi
"City of Charlestown, Indiana",indiana,pennsylvania
"Mercer County Health Department, Illinois",mercer,missouri
Larimer County Department of Health and Environment,larimer,colorado
The City of Lucedale,george,mississippi
"City of New Bern, NC Government",craven,north carolina
"City of Buda, TX - City Government",hays,texas
Lawrence-Douglas County Public Health,MANUALLY TAG
Rusk County Public Health Department,rusk,wisconsin
City of Boston,MANUALLY TAG
City of Pittsburgh,allegheny,pennsylvania
"Carroll County, GA",carroll,virginia
City of Sturgis,meade,south dakota
City of Long Beach - Mayor's Office,long,georgia
Pima County,pima,arizona
"City of Clinton, Indiana",indiana,pennsylvania
James City County Government,james city,virginia
Rutherford County Government,rutherford,north carolina
"Belton, Texas - City Government",texas,missouri
"Warren County, PA Government",warren,kentucky
City of Pauls Valley,valley,nebraska
"City of Milton, Georgia - Government",fulton,georgia
"City of Southside, Alabama",etowah,alabama
"City of Winston-Salem, NC - Government",forsyth,north carolina
"Seabrook, Texas - Your City Government",texas,missouri
Buncombe County Government,buncombe,north carolina
City of Frisco TX - City Hall,hall,georgia
Palm Beach County,palm beach,florida
City of Friendswood - Government,galveston,texas
"City of Bedford, TX-City Services",tarrant,texas
"The City of Missouri City, Texas - City Government",texas,missouri
"City of Rogers, MN - Government",hennepin,minnesota
"Eagle Mountain, Utah - City Hall",hall,georgia
Gaston County Government,gaston,north carolina
"City of Avon Lake, OH",lorain,ohio
City of Redlands - City Hall,hall,georgia
"City of Opelika, Al - City Government",lee,alabama
Herriman City,salt lake,utah
"City of Plainview, Minnesota",wabasha,minnesota
"City of Webster, Texas - Government",texas,missouri
City of Spokane - Municipal Government,spokane,washington
City of Eau Claire - City Hall,hall,georgia
City of Alameda - Local Government,alameda,california
City of Saginaw Government,saginaw,michigan
"City of Bondurant, Iowa (Official)",iowa,wisconsin
"City of Foley, Minnesota",benton,minnesota
Cecil County Government,cecil,maryland
"County of Santa Clara, California",santa clara,california
City of Erie Government,erie,pennsylvania
City of Marseilles Illinois,lasalle,illinois
Bloomington MN City Government,hennepin,minnesota
"City of Leavenworth, Kansas Government",leavenworth,kansas
City of Corpus Christi - Government,nueces,texas
Enoch City Utah Government,utah,utah
City of Waukee,dallas,iowa
Monroe County Health Department,monroe,pennsylvania
City of Destin Government,okaloosa,florida
City of Denham Springs - Mayor & City Council,livingston,louisiana
County of San Bernardino Department of Public Health,san bernardino,california
Pendleton County,pendleton,kentucky
Richmond County Health Department,richmond,virginia
Harford County Government,harford,maryland
