Features,IDs
"[1, 0, 0, 1, 1, 1, 1, 0, 7.3572, 0, 1.7063, 0, 0, 1.9950999999999999, 2.3662, 0, 0, 2.9803, 4.9774, 0, 0, 0, 0, 0, 0, 0.9756, 0, 2.6149, 2.9017, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1440019856308896
"[1, 0, 0, 1, 1, 1, 1, 0, 1.8594, 0.891, 2.9261, 0, 0, 2.9697, 0, 0.9724, 0, 1.979, 1.8900000000000001, 0, 0, 0, 0, 0, 0, 0.9975, 0, 0, 0.9623, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",191905870875836
"[1, 1, 1, 1, 1, 1, 1, 1, 20.0715, 2.9986, 11.969100000000001, 0, 0, 13.3326, 1.7132, 0.8936, 0, 5.7854, 9.958300000000001, 0.9988, 0, 0, 0, 0, 0, 1.9939, 0, 6.3027999999999995, 16.5268, 0, 0, 0, 0, 2, 3, 2, 1, 1, 3, 0, 1, 1, 1, 1, 1, 0, 0, 0]",190161684398788
"[1, 1, 0, 1, 1, 1, 1, 1, 10.341300000000002, 0, 24.423, 0, 0, 4.8345, 2.2255, 0, 0, 1.9032, 4.9732, 1.9949, 0, 0, 0, 0, 0, 0, 0, 1.5174, 10.923599999999999, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0]",298839313509933
"[1, 0, 0, 1, 1, 1, 1, 1, 6.830100000000001, 0.997, 0.9962, 0, 0, 3.9739, 3.0014, 0, 0, 0.9996, 2.9825, 0, 0, 0, 0, 0, 0, 0, 0, 0.9955, 2.9779, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",298839313509933
"[1, 0, 0, 1, 1, 1, 1, 1, 13.941199999999998, 0, 3.3318000000000003, 0, 0.2048, 8.803399999999998, 0.8661, 0.9906, 0, 1.9382000000000001, 4.9179, 1.9873, 1.8708, 0, 0, 0, 0, 0.9739, 0, 0.6461, 9.904499999999999, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",298839313509933
"[1, 1, 1, 1, 1, 1, 1, 0, 8.952499999999999, 1.9957, 2.973, 0, 0, 7.911800000000001, 4.7828, 1.9976, 0, 3.9954, 4.8146, 0, 0, 0, 0, 0, 0, 0.9887, 0, 0.9954, 5.9830000000000005, 0, 0.9987, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",368345399869975
"[1, 1, 1, 1, 1, 1, 1, 1, 11.312099999999997, 0, 7.238700000000001, 0, 0, 9.781300000000002, 0.5995, 0, 0, 2.9092, 8.4816, 1.9943, 0, 0, 0, 0, 0, 0, 0, 2.9812, 6.956099999999999, 0, 0.9936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",206504626031956
"[1, 1, 1, 1, 1, 0, 0, 0, 0.9059, 0, 0.9905, 0, 0, 2.9606, 0, 0, 0, 0, 0.9936, 0, 0, 0, 0, 0, 0, 0, 0, 0.5908, 2.9589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",230830146879
"[1, 1, 1, 1, 1, 1, 0, 1, 3.3698, 0, 4.3876, 0, 0, 2.5758, 0, 0, 0, 1.96, 2.957, 0, 0, 0, 0, 0, 0, 0, 0, 0.7636, 1.9948000000000001, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",142981012424795
"[1, 1, 0, 1, 1, 1, 1, 0, 9.588700000000001, 0, 1.9141, 0, 0.4652, 5.9608, 1.4933999999999998, 0, 0, 3.9833999999999996, 1.9842, 0, 0, 0, 0.9792, 0, 0, 0.9536, 0, 0, 5.9623, 0, 0.9962, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",285139828346985
"[1, 1, 1, 1, 1, 1, 1, 1, 25.409399999999998, 0.9998, 0.9991, 0, 0, 18.8532, 5.6578, 3.9856999999999996, 0, 7.554899999999999, 15.783099999999997, 5.954, 0, 0, 0, 0, 0, 0, 0.3902, 2.5494, 8.978, 0, 0.9704, 0, 0, 1, 4, 0, 0, 2, 3, 2, 0, 1, 1, 0, 1, 0, 0, 0]",128638816007
"[1, 1, 1, 1, 1, 1, 1, 1, 15.493999999999998, 1.9985, 1.9581, 0, 0, 13.367099999999997, 1.1516000000000002, 1.5196, 0, 4.8309999999999995, 9.957400000000002, 0, 0, 0, 0, 0, 0, 1.8314, 0, 1.9946000000000002, 5.9809, 0, 0, 0, 0, 0, 3, 0, 0, 3, 4, 0, 0, 1, 1, 0, 1, 1, 1, 0]",283444911729733
"[1, 0, 0, 1, 1, 1, 1, 1, 7.653700000000001, 0.9995, 0.6033, 0, 0, 4.9553, 0, 0.9853, 0, 2.9856000000000003, 2.9375999999999998, 0, 0, 0, 0, 0, 0, 0.9954, 0, 0, 1.8751, 0, 0, 0, 0, 1, 1, 0, 1, 1, 3, 1, 0, 1, 1, 0, 1, 0, 0, 0]",127094994163962
"[1, 0, 0, 1, 1, 1, 1, 1, 8.3055, 0.9887, 3.1111, 0, 0, 7.6276, 1.4445999999999999, 2.7348, 0, 2.9928, 6.68, 0.9993, 0, 0.4962, 0, 0, 0, 0.9626, 0, 1.9684, 5.9336, 0, 0, 0, 0, 1, 3, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 0]",723292007816851
"[1, 1, 1, 1, 1, 1, 1, 1, 14.9096, 0, 7.455900000000001, 0, 0, 6.0296, 4.3284, 0, 0, 5.9312, 4.9927, 1.9947, 0, 0, 0, 0, 0, 0, 0, 0, 1.9956, 0, 0, 0, 0, 1, 12, 0, 1, 1, 5, 1, 0, 1, 1, 0, 1, 0, 0, 0]",132212980152968
"[1, 1, 0, 1, 1, 1, 1, 0, 10.577, 0, 2.6954000000000002, 0, 0, 4.902, 2.7895, 0, 0, 2.9929, 4.6202000000000005, 0, 0, 0, 0, 0, 0, 0.939, 0, 0, 1.9954, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",132212980152968
"[1, 1, 1, 1, 1, 1, 1, 0, 9.6728, 0, 2.6621, 0.5651, 0, 4.960800000000001, 0.494, 0, 0, 2.6087999999999996, 3.9863999999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0.9904, 4.978700000000001, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",132212980152968
"[1, 1, 0, 1, 1, 1, 1, 1, 15.636800000000001, 0, 4.5554, 1.7313999999999998, 0, 5.8829, 0, 0, 0, 4.8629, 3.9944, 0.9979, 0, 0, 0.973, 0, 0, 0, 0, 0.9955, 5.963, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]",132212980152968
"[1, 1, 1, 1, 1, 1, 1, 1, 253.7843000000002, 21.3746, 31.6798, 0, 0, 126.89619999999987, 36.148300000000006, 19.8106, 0, 76.86509999999997, 138.12769999999998, 37.78520000000001, 1.1101, 0.537, 0, 0, 0.7188, 0.5461, 0, 39.492, 90.98189999999998, 1.0667, 0, 0, 0, 12, 48, 14, 12, 35, 47, 14, 2, 1, 1, 0, 1, 0, 0, 0]",1006000882797741
"[1, 0, 0, 1, 1, 1, 1, 1, 4.2428, 0, 4.0455000000000005, 0, 0, 1.9933, 0.6528, 0, 0.6769, 0.9993, 1.999, 0, 0, 0, 0, 0, 0, 0, 0, 2.8884, 2.9886999999999997, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",442035212532266
"[1, 1, 1, 1, 1, 1, 1, 1, 6.7347, 0, 5.2984, 0, 0, 3.9739000000000004, 1.8982, 0, 0, 0, 5.9925, 0, 0, 0, 0, 0, 0, 0, 0, 3.9235, 3.9851, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",442035212532266
"[1, 1, 0, 1, 1, 1, 1, 1, 5.9105, 0, 0.9031, 0, 0, 2.9711, 3.2332, 1.8142, 0, 2.9957, 3.9167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9976, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",442035212532266
"[1, 1, 0, 1, 1, 1, 1, 1, 11.617199999999999, 0, 0.6043, 0, 0, 9.7571, 8.0783, 0.9495, 0, 4.902900000000001, 3.8627, 0, 0, 0, 0, 0, 0, 0, 0, 2.9407, 7.895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",442035212532266
"[1, 1, 1, 1, 1, 1, 1, 1, 10.5771, 0, 1.9732, 0, 0, 0, 1.495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9434, 5.6244, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",442035212532266
