Features,IDs
"[1, 1, 1, 1, 1, 1, 1, 1, 15.689700000000004, 2.9905, 13.759200000000002, 0, 0.4051, 8.8782, 1.8513, 3.3789, 0, 7.8924, 14.810000000000002, 0.9989, 0, 0, 0, 0, 0, 0, 0, 8.129299999999999, 12.9344, 0, 0, 0, 0, 1, 11, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",697689596979025
"[1, 0, 0, 1, 0, 0, 0, 1, 1.8053, 0, 0.9988, 0, 0.7085, 1.8814, 0, 0, 0, 0, 0.9994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 1, 1, 1, 0, 0, 1, 0.9923, 0, 1.999, 0, 0, 1.7181, 0, 0, 0, 0.9976, 0.9972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9988, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 6.5811, 0, 3.7775, 0, 0, 4.6459, 0.9524, 0, 0, 4.8323, 3.8127999999999997, 0.9972, 0.9085, 0.8844, 0.4868, 0, 0, 0, 0, 0, 3.9886000000000004, 0.5732, 0, 0, 0, 2, 3, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 16.0471, 0, 7.292599999999999, 0, 0, 5.604400000000001, 2.3491, 0, 0, 1.7027, 10.957200000000002, 2.9931, 0, 0, 0, 0, 0, 0, 0, 6.892900000000001, 4.9638, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",113523748745557
"[1, 1, 0, 1, 1, 1, 1, 0, 8.088799999999999, 1.5369000000000002, 12.7473, 0, 0.9056, 9.5407, 5.043, 2.8777, 0, 4.5977, 7.769399999999999, 0.9986, 0, 0, 0, 0, 0.9649, 0, 0, 2.451, 9.6278, 1.4305, 0, 0, 0, 2, 4, 2, 2, 2, 1, 2, 3, 1, 1, 0, 1, 0, 0, 1]",113523748745557
"[1, 1, 0, 1, 1, 1, 1, 0, 9.0898, 0.5454, 1.9792, 0, 0, 5.2893, 4.7117, 0, 0, 0.993, 2.9936, 0.9986, 0, 0, 0, 0, 0, 0, 0, 0, 1.9936, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",113523748745557
"[1, 0, 0, 1, 1, 1, 1, 1, 5.5183, 3.8228, 2.2629, 0, 0, 7.6831, 0, 1.1835, 0, 0.9557, 1.9776, 0.9962, 0, 0, 0, 0, 0, 0, 0, 0, 4.9507, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",113523748745557
"[1, 1, 1, 1, 1, 1, 1, 1, 56.85180000000002, 0, 29.73660000000001, 0, 1.1719, 17.243600000000004, 13.7773, 0.9985, 0, 12.957299999999998, 23.8446, 2.993, 0, 0, 0, 0, 0, 0, 0, 13.337100000000001, 43.363699999999994, 0, 0, 0, 0, 3, 9, 2, 3, 3, 4, 5, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
"[1, 1, 1, 1, 1, 1, 1, 1, 38.96950000000001, 0, 29.61520000000001, 0, 0.7022, 8.4291, 7.472199999999999, 0.9985, 0, 13.7719, 17.9003, 1.9950999999999999, 0, 0, 0, 0, 0, 0, 0, 8.9459, 24.427199999999996, 0.5698, 0, 0, 0, 1, 5, 1, 1, 1, 2, 2, 0, 1, 1, 0, 1, 0, 0, 0]",408282242636625
