state,county,candidate,party,candidate votes,total votes
alabama,autauga,Hillary Clinton,democrat,5936,24973
alabama,autauga,Donald Trump,republican,18172,24973
alabama,autauga,Other,NA,865,24973
alabama,baldwin,Hillary Clinton,democrat,18458,95215
alabama,baldwin,Donald Trump,republican,72883,95215
alabama,baldwin,Other,NA,3874,95215
alabama,barbour,Hillary Clinton,democrat,4871,10469
alabama,barbour,Donald Trump,republican,5454,10469
alabama,barbour,Other,NA,144,10469
alabama,bibb,Hillary Clinton,democrat,1874,8819
alabama,bibb,Donald Trump,republican,6738,8819
alabama,bibb,Other,NA,207,8819
alabama,blount,Hillary Clinton,democrat,2156,25588
alabama,blount,Donald Trump,republican,22859,25588
alabama,blount,Other,NA,573,25588
alabama,bullock,Hillary Clinton,democrat,3530,4710
alabama,bullock,Donald Trump,republican,1140,4710
alabama,bullock,Other,NA,40,4710
alabama,butler,Hillary Clinton,democrat,3726,8732
alabama,butler,Donald Trump,republican,4901,8732
alabama,butler,Other,NA,105,8732
alabama,calhoun,Hillary Clinton,democrat,13242,47864
alabama,calhoun,Donald Trump,republican,32865,47864
alabama,calhoun,Other,NA,1757,47864
alabama,chambers,Hillary Clinton,democrat,5784,13900
alabama,chambers,Donald Trump,republican,7843,13900
alabama,chambers,Other,NA,273,13900
alabama,cherokee,Hillary Clinton,democrat,1547,10733
alabama,cherokee,Donald Trump,republican,8953,10733
alabama,cherokee,Other,NA,233,10733
alabama,chilton,Hillary Clinton,democrat,2911,18369
alabama,chilton,Donald Trump,republican,15081,18369
alabama,chilton,Other,NA,377,18369
alabama,choctaw,Hillary Clinton,democrat,3109,7292
alabama,choctaw,Donald Trump,republican,4106,7292
alabama,choctaw,Other,NA,77,7292
alabama,clarke,Hillary Clinton,democrat,5749,13031
alabama,clarke,Donald Trump,republican,7140,13031
alabama,clarke,Other,NA,142,13031
alabama,clay,Hillary Clinton,democrat,1237,6624
alabama,clay,Donald Trump,republican,5245,6624
alabama,clay,Other,NA,142,6624
alabama,cleburne,Hillary Clinton,democrat,684,6593
alabama,cleburne,Donald Trump,republican,5764,6593
alabama,cleburne,Other,NA,145,6593
alabama,coffee,Hillary Clinton,democrat,4221,20767
alabama,coffee,Donald Trump,republican,15875,20767
alabama,coffee,Other,NA,671,20767
alabama,colbert,Hillary Clinton,democrat,7312,24915
alabama,colbert,Donald Trump,republican,16746,24915
alabama,colbert,Other,NA,857,24915
alabama,conecuh,Hillary Clinton,democrat,3080,6585
alabama,conecuh,Donald Trump,republican,3420,6585
alabama,conecuh,Other,NA,85,6585
alabama,coosa,Hillary Clinton,democrat,1782,5252
alabama,coosa,Donald Trump,republican,3381,5252
alabama,coosa,Other,NA,89,5252
alabama,covington,Hillary Clinton,democrat,2387,15940
alabama,covington,Donald Trump,republican,13267,15940
alabama,covington,Other,NA,286,15940
alabama,crenshaw,Hillary Clinton,democrat,1664,6267
alabama,crenshaw,Donald Trump,republican,4513,6267
alabama,crenshaw,Other,NA,90,6267
alabama,cullman,Hillary Clinton,democrat,3798,37873
alabama,cullman,Donald Trump,republican,32989,37873
alabama,cullman,Other,NA,1086,37873
alabama,dale,Hillary Clinton,democrat,4413,18749
alabama,dale,Donald Trump,republican,13808,18749
alabama,dale,Other,NA,528,18749
alabama,dallas,Hillary Clinton,democrat,12836,18792
alabama,dallas,Donald Trump,republican,5789,18792
alabama,dallas,Other,NA,167,18792
alabama,dekalb,Hillary Clinton,democrat,3622,25826
alabama,dekalb,Donald Trump,republican,21405,25826
alabama,dekalb,Other,NA,799,25826
alabama,elmore,Hillary Clinton,democrat,8443,37260
