state,county,candidate,candidate votes,total votes
alabama,autauga,Hillary Clinton,5936,24973
alabama,baldwin,Hillary Clinton,18458,95215
alabama,barbour,Hillary Clinton,4871,10469
alabama,bibb,Hillary Clinton,1874,8819
alabama,blount,Hillary Clinton,2156,25588
alabama,bullock,Hillary Clinton,3530,4710
alabama,butler,Hillary Clinton,3726,8732
alabama,calhoun,Hillary Clinton,13242,47864
alabama,chambers,Hillary Clinton,5784,13900
alabama,cherokee,Hillary Clinton,1547,10733
alabama,chilton,Hillary Clinton,2911,18369
alabama,choctaw,Hillary Clinton,3109,7292
alabama,clarke,Hillary Clinton,5749,13031
alabama,clay,Hillary Clinton,1237,6624
alabama,cleburne,Hillary Clinton,684,6593
alabama,coffee,Hillary Clinton,4221,20767
alabama,colbert,Hillary Clinton,7312,24915
alabama,conecuh,Hillary Clinton,3080,6585
alabama,coosa,Hillary Clinton,1782,5252
alabama,covington,Hillary Clinton,2387,15940
alabama,crenshaw,Hillary Clinton,1664,6267
alabama,cullman,Hillary Clinton,3798,37873
alabama,dale,Hillary Clinton,4413,18749
alabama,dallas,Hillary Clinton,12836,18792
alabama,dekalb,Hillary Clinton,3622,25826
alabama,elmore,Hillary Clinton,8443,37260
alabama,escambia,Hillary Clinton,4605,14845
alabama,etowah,Hillary Clinton,10442,44164
alabama,fayette,Hillary Clinton,1362,8249
alabama,franklin,Hillary Clinton,2197,12040
alabama,geneva,Hillary Clinton,1525,11758
alabama,greene,Hillary Clinton,4013,4880
alabama,hale,Hillary Clinton,4775,8040
alabama,henry,Hillary Clinton,2292,8072
alabama,houston,Hillary Clinton,10664,42639
alabama,jackson,Hillary Clinton,3673,20984
alabama,jefferson,Hillary Clinton,156873,304191
alabama,lamar,Hillary Clinton,1036,6966
alabama,lauderdale,Hillary Clinton,9952,39525
alabama,lawrence,Hillary Clinton,3627,14829
alabama,lee,Hillary Clinton,21230,59191
alabama,limestone,Hillary Clinton,9468,40294
alabama,lowndes,Hillary Clinton,4883,6684
alabama,macon,Hillary Clinton,7566,9140
alabama,madison,Hillary Clinton,62822,163389
alabama,marengo,Hillary Clinton,5615,10994
alabama,marion,Hillary Clinton,1432,12984
alabama,marshall,Hillary Clinton,4917,35316
alabama,mobile,Hillary Clinton,72186,172737
alabama,monroe,Hillary Clinton,4332,10271
alabama,montgomery,Hillary Clinton,58916,95878
alabama,morgan,Hillary Clinton,11254,50644
alabama,perry,Hillary Clinton,3824,5278
alabama,pickens,Hillary Clinton,3972,9542
