state,county,candidate,candidate votes,total votes
alabama,autauga,Donald Trump,18172,74919
alabama,baldwin,Donald Trump,72883,285645
alabama,barbour,Donald Trump,5454,31407
alabama,bibb,Donald Trump,6738,26457
alabama,blount,Donald Trump,22859,76764
alabama,bullock,Hillary Clinton,3530,14130
alabama,butler,Donald Trump,4901,26196
alabama,calhoun,Donald Trump,32865,143592
alabama,chambers,Donald Trump,7843,41700
alabama,cherokee,Donald Trump,8953,32199
alabama,chilton,Donald Trump,15081,55107
alabama,choctaw,Donald Trump,4106,21876
alabama,clarke,Donald Trump,7140,39093
alabama,clay,Donald Trump,5245,19872
alabama,cleburne,Donald Trump,5764,19779
alabama,coffee,Donald Trump,15875,62301
alabama,colbert,Donald Trump,16746,74745
alabama,conecuh,Donald Trump,3420,19755
alabama,coosa,Donald Trump,3381,15756
alabama,covington,Donald Trump,13267,47820
alabama,crenshaw,Donald Trump,4513,18801
alabama,cullman,Donald Trump,32989,113619
alabama,dale,Donald Trump,13808,56247
alabama,dallas,Hillary Clinton,12836,56376
alabama,dekalb,Donald Trump,21405,77478
alabama,elmore,Donald Trump,27634,111780
alabama,escambia,Donald Trump,9935,44535
alabama,etowah,Donald Trump,32353,132492
alabama,fayette,Donald Trump,6712,24747
alabama,franklin,Donald Trump,9466,36120
alabama,geneva,Donald Trump,9994,35274
alabama,greene,Hillary Clinton,4013,14640
alabama,hale,Hillary Clinton,4775,24120
alabama,henry,Donald Trump,5632,24216
alabama,houston,Donald Trump,30728,127917
alabama,jackson,Donald Trump,16672,62952
alabama,jefferson,Hillary Clinton,156873,912573
alabama,lamar,Donald Trump,5823,20898
alabama,lauderdale,Donald Trump,27899,118575
alabama,lawrence,Donald Trump,10833,44487
alabama,lee,Donald Trump,34617,177573
alabama,limestone,Donald Trump,29067,120882
alabama,lowndes,Hillary Clinton,4883,20052
alabama,macon,Hillary Clinton,7566,27420
alabama,madison,Donald Trump,89520,490167
alabama,marengo,Hillary Clinton,5615,32982
alabama,marion,Donald Trump,11274,38952
alabama,marshall,Donald Trump,29233,105948
alabama,mobile,Donald Trump,95116,518211
alabama,monroe,Donald Trump,5795,30813
alabama,montgomery,Hillary Clinton,58916,287634
alabama,morgan,Donald Trump,37486,151932
alabama,perry,Hillary Clinton,3824,15834
alabama,pickens,Donald Trump,5456,28626
alabama,pike,Donald Trump,7693,39504
alabama,randolph,Donald Trump,7705,30561
alabama,russell,Hillary Clinton,9579,57768
alabama,shelby,Donald Trump,73020,303762
alabama,st. clair,Donald Trump,31651,115200
alabama,sumter,Hillary Clinton,4746,19233
alabama,talladega,Donald Trump,20614,100221
alabama,tallapoosa,Donald Trump,13594,58458
alabama,tuscaloosa,Donald Trump,47723,248100
alabama,walker,Donald Trump,24266,88416
alabama,washington,Donald Trump,6042,25599
alabama,wilcox,Hillary Clinton,4339,18354
alabama,winston,Donald Trump,9228,30939
alaska,district 1,Donald Trump,3180,19914
alaska,district 10,Donald Trump,6255,27120
alaska,district 11,Donald Trump,6444,29067
alaska,district 12,Donald Trump,6629,28629
alaska,district 13,Donald Trump,4028,19599
alaska,district 14,Donald Trump,5978,31260
alaska,district 15,Donald Trump,2525,14946
alaska,district 16,Hillary Clinton,3294,22308
alaska,district 17,Hillary Clinton,3290,20364
alaska,district 18,Hillary Clinton,3909,22206
alaska,district 19,Hillary Clinton,2669,14376
alaska,district 2,Donald Trump,3188,16476
alaska,district 20,Hillary Clinton,4151,21420
alaska,district 21,Hillary Clinton,4224,25941
alaska,district 22,Donald Trump,4203,25116
alaska,district 23,Donald Trump,3246,20772
alaska,district 24,Donald Trump,4709,27240
alaska,district 25,Donald Trump,3816,24381
alaska,district 26,Donald Trump,4548,26715
alaska,district 27,Donald Trump,4085,26349
alaska,district 28,Donald Trump,5423,34281
alaska,district 29,Donald Trump,6347,28182
alaska,district 3,Donald Trump,5403,22839
alaska,district 30,Donald Trump,6194,26850
