state,county,candidate,total votes,turnout rate
alabama,autauga,Hillary Clinton,24973,N/A
alabama,baldwin,Hillary Clinton,95215,0.4691803941085745
alabama,barbour,Hillary Clinton,10469,0.398318304607541
alabama,bibb,Hillary Clinton,8819,0.3908091819551538
alabama,blount,Hillary Clinton,25588,0.44480756527483223
alabama,bullock,Hillary Clinton,4710,0.4528846153846154
alabama,butler,Hillary Clinton,8732,0.4330919551631783
alabama,calhoun,Hillary Clinton,47864,0.41451818236929394
alabama,chambers,Hillary Clinton,13900,0.4088716319567008
alabama,cherokee,Hillary Clinton,10733,0.41710710399502565
alabama,chilton,Hillary Clinton,18369,0.4203432494279176
alabama,choctaw,Hillary Clinton,7292,0.5511299221525205
alabama,clarke,Hillary Clinton,13031,0.5276135719491457
alabama,clay,Hillary Clinton,6624,0.4937756243011554
alabama,cleburne,Hillary Clinton,6593,0.442067855706048
alabama,coffee,Hillary Clinton,20767,0.4074917096717226
alabama,colbert,Hillary Clinton,24915,0.4578532443905397
alabama,conecuh,Hillary Clinton,6585,0.5194036914339801
alabama,coosa,Hillary Clinton,5252,0.4803365648436071
alabama,covington,Hillary Clinton,15940,0.4244328469485568
alabama,crenshaw,Hillary Clinton,6267,0.4524909747292419
alabama,cullman,Hillary Clinton,37873,0.4632159587089199
alabama,dale,Hillary Clinton,18749,0.379803504507242
alabama,dallas,Hillary Clinton,18792,0.4590580418213797
alabama,dekalb,Hillary Clinton,25826,0.36330130684935363
alabama,elmore,Hillary Clinton,37260,0.46072806410129585
alabama,escambia,Hillary Clinton,14845,0.39417434481293645
alabama,etowah,Hillary Clinton,44164,0.4287850249519408
alabama,fayette,Hillary Clinton,8249,0.49407043603258266
alabama,franklin,Hillary Clinton,12040,0.38204029827066477
alabama,geneva,Hillary Clinton,11758,0.4415155270173858
alabama,greene,Hillary Clinton,4880,0.5735778091208275
alabama,hale,Hillary Clinton,8040,0.5354645354645354
alabama,henry,Hillary Clinton,8072,0.47201918016490263
alabama,houston,Hillary Clinton,42639,0.40896796470362556
alabama,jackson,Hillary Clinton,20984,0.4020308458664623
alabama,jefferson,Hillary Clinton,304191,0.46057793490851007
alabama,lamar,Hillary Clinton,6966,0.5001795074316077
alabama,lauderdale,Hillary Clinton,39525,0.42748677792318757
alabama,lawrence,Hillary Clinton,14829,0.44753282028067
alabama,lee,Hillary Clinton,59191,0.3771232335588771
alabama,limestone,Hillary Clinton,40294,0.4400589744989898
