state,county,candidate,total votes
alabama,jefferson,biden,325848
alabama,madison,trump,194767
alabama,mobile,trump,183164
alabama,shelby,trump,114950
alabama,baldwin,trump,109679
alabama,montgomery,biden,99139
alabama,tuscaloosa,trump,90172
alabama,lee,trump,71449
alabama,morgan,trump,53722
alabama,calhoun,trump,50983
alabama,limestone,trump,49235
alabama,etowah,trump,47728
alabama,houston,trump,46173
alabama,st. clair,trump,44441
alabama,lauderdale,trump,44339
alabama,cullman,trump,41851
alabama,elmore,trump,41030
alabama,marshall,trump,39655
alabama,talladega,trump,35663
alabama,walker,trump,31170
alabama,dekalb,trump,29356
alabama,colbert,trump,27886
alabama,autauga,trump,27770
alabama,blount,trump,27588
alabama,jackson,trump,23636
alabama,coffee,trump,22275
alabama,russell,biden,21329
alabama,tallapoosa,trump,20991
alabama,dale,trump,19738
alabama,chilton,trump,19310
alabama,dallas,biden,17864
alabama,covington,trump,17430
alabama,lawrence,trump,16031
alabama,escambia,trump,15910
alabama,chambers,trump,15284
alabama,pike,trump,13841
alabama,marion,trump,13807
alabama,clarke,trump,13135
alabama,franklin,trump,12578
alabama,geneva,trump,12545
alabama,cherokee,trump,12301
alabama,winston,trump,11284
alabama,marengo,biden,10900
alabama,randolph,trump,10837
alabama,monroe,trump,10668
alabama,barbour,trump,10518
alabama,pickens,trump,9668
alabama,bibb,trump,9595
alabama,butler,trump,9488
alabama,henry,trump,9298
alabama,washington,trump,8876
alabama,fayette,trump,8766
alabama,macon,biden,8723
alabama,hale,biden,7900
alabama,choctaw,trump,7464
alabama,cleburne,trump,7227
alabama,lamar,trump,7193
alabama,clay,trump,6930
alabama,lowndes,biden,6835
alabama,crenshaw,trump,6617
alabama,conecuh,trump,6441
alabama,sumter,biden,6291
alabama,wilcox,biden,5903
alabama,coosa,trump,5479
alabama,perry,biden,5230
alabama,greene,biden,4775
alabama,bullock,biden,4613
alaska,district 28,write-ins,25580
alaska,district 26,write-ins,20292
alaska,district 27,write-ins,19037
alaska,district 31,trump,12481
alaska,district 14,trump,11534
alaska,district 12,trump,11280
alaska,district 10,trump,11256
alaska,district 9,trump,11047
alaska,district 33,biden,11016
alaska,district 34,biden,10794
alaska,district 29,trump,10784
alaska,district 11,trump,10686
alaska,district 4,biden,10587
alaska,district 24,trump,10484
alaska,district 30,trump,10226
alaska,district 35,biden,10149
alaska,district 8,trump,9957
alaska,district 7,trump,9664
alaska,district 22,trump,9597
alaska,district 6,trump,9518
alaska,district 21,biden,9482
alaska,district 25,biden,9369
alaska,district 36,trump,9292
alaska,district 5,biden,8706
alaska,district 3,trump,8385
alaska,district 32,trump,8361
alaska,district 16,biden,8170
alaska,district 23,biden,7796
alaska,district 13,trump,7765
alaska,district 18,biden,7759
alaska,district 20,biden,7544
alaska,district 1,trump,7360
alaska,district 17,biden,7271
alaska,district 2,trump,6161
alaska,district 39,biden,5930
alaska,district 15,trump,5593
alaska,district 19,biden,5338
alaska,district 38,biden,5299
alaska,district 37,biden,5168
alaska,district 40,biden,4628
arizona,maricopa,biden,2069475
arizona,pima,biden,520735
arizona,pinal,trump,185037
arizona,yavapai,trump,143280
arizona,mohave,trump,104705
arizona,coconino,biden,73346
arizona,yuma,trump,69926
arizona,cochise,trump,60473
arizona,navajo,trump,51783
arizona,apache,biden,35183
arizona,gila,trump,27678
arizona,santa cruz,biden,19561
arizona,graham,trump,14996
arizona,la paz,trump,7460
arizona,greenlee,trump,3688
arkansas,pulaski,biden,169956
arkansas,benton,trump,119912
arkansas,washington,trump,94266
arkansas,saline,trump,56959
arkansas,faulkner,trump,54428
arkansas,sebastian,trump,47140
arkansas,garland,trump,44199
arkansas,craighead,trump,38511
arkansas,white,trump,30885
arkansas,lonoke,trump,30662
arkansas,jefferson,biden,25158
arkansas,pope,trump,24432
arkansas,crawford,trump,24091
arkansas,baxter,trump,21007
arkansas,boone,trump,17114
arkansas,union,trump,16607
arkansas,miller,trump,16529
arkansas,crittenden,biden,16367
arkansas,greene,trump,16100
arkansas,independence,trump,14512
arkansas,cleburne,trump,12680
arkansas,hot spring,trump,12557
arkansas,mississippi,trump,12342
arkansas,carroll,trump,11797
arkansas,ouachita,trump,9629
arkansas,johnson,trump,9498
arkansas,conway,trump,8685
arkansas,columbia,trump,8616
arkansas,polk,trump,8490
arkansas,clark,trump,8395
arkansas,logan,trump,8225
arkansas,grant,trump,8200
arkansas,ashley,trump,7926
arkansas,van buren,trump,7807
arkansas,sharp,trump,7566
arkansas,poinsett,trump,7521
arkansas,marion,trump,7503
arkansas,madison,trump,7351
arkansas,franklin,trump,7129
arkansas,saint francis,biden,7108
arkansas,cross,trump,6942
arkansas,drew,trump,6908
arkansas,hempstead,trump,6848
arkansas,randolph,trump,6812
arkansas,yell,trump,6741
arkansas,arkansas,trump,6292
arkansas,phillips,biden,6242
arkansas,stone,trump,5938
arkansas,lawrence,trump,5857
arkansas,izard,trump,5810
arkansas,sevier,trump,5202
arkansas,clay,trump,5183
arkansas,little river,trump,5177
arkansas,fulton,trump,5119
arkansas,jackson,trump,5091
arkansas,howard,trump,4834
arkansas,perry,trump,4627
arkansas,pike,trump,4246
arkansas,desha,biden,4164
arkansas,chicot,biden,4103
arkansas,searcy,trump,4019
arkansas,newton,trump,3998
arkansas,lincoln,trump,3875
arkansas,montgomery,trump,3873
arkansas,bradley,trump,3654
arkansas,cleveland,trump,3600
arkansas,scott,trump,3551
arkansas,prairie,trump,3495
arkansas,nevada,trump,3358
arkansas,lee,biden,2848
arkansas,monroe,trump,2816
arkansas,lafayette,trump,2679
arkansas,dallas,trump,2649
arkansas,woodruff,trump,2476
arkansas,calhoun,trump,2182
california,los angeles,biden,4263443
california,san diego,biden,1601722
california,orange,biden,1521725
california,riverside,biden,996156
california,santa clara,biden,850522
california,san bernardino,biden,840931
california,alameda,biden,769864
california,sacramento,biden,718290
california,contra costa,biden,581230
california,san francisco,biden,443458
california,ventura,biden,422698
california,san mateo,biden,374138
california,fresno,biden,364809
california,kern,trump,305226
california,san joaquin,biden,288443
california,sonoma,biden,268252
california,placer,trump,235017
california,stanislaus,biden,214876
california,solano,biden,205831
california,santa barbara,biden,200288
california,monterey,biden,163883
california,san luis obispo,biden,159681
california,marin,biden,155801
california,tulare,trump,146832
california,santa cruz,biden,144796
california,el dorado,trump,116138
california,butte,biden,102042
california,yolo,biden,97264
california,shasta,trump,92900
california,merced,biden,90541
california,napa,biden,72122
california,humboldt,biden,68828
california,nevada,biden,64738
california,imperial,biden,56718
california,madera,trump,53722
california,kings,trump,43858
california,mendocino,biden,43336
california,sutter,trump,42640
california,tuolumne,trump,30401
california,yuba,trump,29787
california,san benito,biden,28821
california,lake,biden,28800
california,tehama,trump,28721
california,calaveras,trump,27164
california,siskiyou,trump,23450
california,amador,trump,22302
california,lassen,trump,11985
california,del norte,trump,11452
california,glenn,trump,11292
california,plumas,trump,11256
california,mariposa,trump,10280
california,inyo,biden,9481
california,colusa,trump,7951
california,mono,biden,6737
california,trinity,trump,6258
california,modoc,trump,4338
california,sierra,trump,1930
california,alpine,biden,741
colorado,denver,biden,393827
colorado,el paso,trump,378849
colorado,jefferson,biden,377357
colorado,arapahoe,biden,350183
colorado,adams,biden,236735
colorado,douglas,trump,231599
colorado,larimer,biden,224338
colorado,boulder,biden,206111
colorado,weld,trump,166968
colorado,mesa,trump,90622
colorado,pueblo,biden,88299
colorado,broomfield,biden,46632
colorado,la plata,biden,35667
colorado,garfield,biden,30904
colorado,eagle,biden,29140
colorado,fremont,trump,25557
colorado,montrose,trump,24922
colorado,delta,trump,19370
colorado,elbert,trump,18983
colorado,summit,biden,18479
colorado,teller,trump,16939
colorado,routt,biden,16876
colorado,montezuma,trump,15500
colorado,morgan,trump,13744
colorado,chaffee,biden,13717
colorado,park,trump,12290
colorado,pitkin,biden,11957
colorado,gunnison,biden,11190
colorado,logan,trump,10532
colorado,grand,trump,9870
colorado,otero,trump,9576
colorado,archuleta,trump,9144
colorado,las animas,trump,7961
colorado,alamosa,trump,7808
colorado,moffat,trump,7026
colorado,clear creek,biden,6548
colorado,rio grande,trump,6305
colorado,prowers,trump,5561
colorado,san miguel,biden,5147
colorado,yuma,trump,4981
colorado,huerfano,trump,4406
colorado,conejos,trump,4333
colorado,gilpin,biden,4186
colorado,ouray,biden,4020
colorado,lake,biden,3961
colorado,kit carson,trump,3871
colorado,rio blanco,trump,3691
colorado,custer,trump,3634
colorado,saguache,biden,3389
colorado,washington,trump,3008
colorado,lincoln,trump,2651
colorado,phillips,trump,2485
colorado,bent,trump,2274
colorado,baca,trump,2225
colorado,costilla,biden,2094
colorado,crowley,trump,1750
colorado,dolores,trump,1449
colorado,sedgwick,trump,1446
colorado,cheyenne,trump,1136
colorado,kiowa,trump,903
colorado,jackson,trump,876
colorado,mineral,trump,756
colorado,hinsdale,trump,632
colorado,san juan,biden,563
connecticut,stamford,biden,59412
connecticut,norwalk,biden,43219
connecticut,bridgeport,biden,42188
connecticut,new haven,biden,42102
connecticut,west hartford,biden,36291
connecticut,greenwich,biden,36112
connecticut,waterbury,biden,36107
connecticut,fairfield,biden,35414
connecticut,hartford,biden,32687
connecticut,milford,biden,32062
connecticut,danbury,biden,32021
connecticut,bristol,biden,29799
connecticut,hamden,biden,29104
connecticut,manchester,biden,28466
connecticut,stratford,biden,28194
connecticut,southington,trump,26718
connecticut,wallingford,biden,25785
connecticut,meriden,biden,25326
connecticut,new britain,biden,24071
connecticut,shelton,trump,23892
connecticut,middletown,biden,23509
connecticut,west haven,biden,22605
connecticut,glastonbury,biden,22374
connecticut,trumbull,biden,22002
connecticut,enfield,biden,20929
connecticut,east hartford,biden,20607
connecticut,branford,biden,17913
connecticut,westport,biden,17523
connecticut,windsor,biden,17514
connecticut,cheshire,biden,17418
connecticut,groton,biden,17389
connecticut,newington,biden,17355
connecticut,newtown,biden,17269
connecticut,torrington,trump,16824
connecticut,wethersfield,biden,16277
connecticut,ridgefield,biden,16245
connecticut,simsbury,biden,16174
connecticut,farmington,biden,16037
connecticut,new milford,biden,15734
connecticut,south windsor,biden,15523
connecticut,north haven,trump,15441
connecticut,vernon,biden,15400
connecticut,norwich,biden,15290
connecticut,naugatuck,trump,14904
connecticut,guilford,biden,14867
connecticut,east haven,trump,14501
connecticut,darien,biden,13018
connecticut,southbury,biden,12990
connecticut,berlin,trump,12873
connecticut,bloomfield,biden,12821
connecticut,watertown,trump,12754
connecticut,madison,biden,12437
connecticut,new canaan,biden,12365
connecticut,waterford,biden,12316
connecticut,monroe,trump,12002
connecticut,avon,biden,11987
connecticut,stonington,biden,11889
connecticut,east lyme,biden,11756
connecticut,wilton,biden,11715
connecticut,bethel,biden,11172
connecticut,rocky hill,biden,10940
connecticut,brookfield,biden,10807
connecticut,wolcott,trump,10002
connecticut,colchester,biden,9691
connecticut,plainville,trump,9647
connecticut,ellington,biden,9491
connecticut,seymour,trump,9392
connecticut,tolland,biden,9257
connecticut,orange,biden,9253
connecticut,new london,biden,9123
connecticut,montville,biden,8873
connecticut,cromwell,biden,8783
connecticut,suffield,biden,8686
connecticut,north branford,trump,8631
connecticut,new fairfield,trump,8558
connecticut,oxford,trump,8514
connecticut,ledyard,biden,8427
connecticut,ansonia,biden,8419
connecticut,windham,biden,8348
connecticut,killingly,trump,8283
connecticut,east hampton,biden,7988
connecticut,clinton,biden,7804
connecticut,coventry,biden,7772
connecticut,mansfield,biden,7485
connecticut,granby,biden,7373
connecticut,old saybrook,biden,7343
connecticut,plainfield,trump,7086
connecticut,windsor locks,biden,7021
connecticut,canton,biden,6663
connecticut,plymouth,trump,6593
connecticut,woodbury,trump,6559
connecticut,weston,biden,6528
connecticut,stafford,trump,6422
connecticut,hebron,biden,6266
connecticut,burlington,biden,6233
connecticut,prospect,trump,6111
connecticut,griswold,trump,5981
connecticut,redding,biden,5975
connecticut,portland,biden,5888
connecticut,east haddam,biden,5825
connecticut,derby,biden,5778
connecticut,woodbridge,biden,5739
connecticut,somers,trump,5731
connecticut,east windsor,biden,5652
connecticut,haddam,biden,5517
connecticut,old lyme,biden,5413
connecticut,litchfield,biden,5342
connecticut,woodstock,biden,5179
connecticut,thompson,trump,5155
connecticut,winchester,trump,5133
connecticut,middlebury,trump,5078
connecticut,easton,biden,5023
connecticut,durham,biden,4782
connecticut,essex,biden,4715
connecticut,new hartford,trump,4577
connecticut,lebanon,trump,4438
connecticut,killingworth,biden,4387
connecticut,thomaston,trump,4374
connecticut,putnam,trump,4350
connecticut,westbrook,biden,4311
connecticut,brooklyn,trump,4222
connecticut,marlborough,biden,4062
connecticut,beacon falls,trump,3803
connecticut,harwinton,trump,3701
connecticut,bethany,biden,3698
connecticut,columbia,biden,3568
connecticut,north stonington,trump,3375
connecticut,bolton,biden,3288
connecticut,east granby,biden,3264
connecticut,willington,biden,3204
connecticut,canterbury,trump,3012
connecticut,deep river,biden,2902
connecticut,preston,trump,2868
connecticut,middlefield,biden,2853
connecticut,salem,trump,2623
connecticut,chester,biden,2596
connecticut,salisbury,biden,2555
connecticut,ashford,biden,2544
connecticut,pomfret,biden,2524
connecticut,lisbon,trump,2490
connecticut,barkhamsted,trump,2442
connecticut,bethlehem,trump,2367
connecticut,sherman,biden,2336
connecticut,washington,biden,2268
connecticut,goshen,trump,2100
connecticut,andover,biden,2091
connecticut,sterling,trump,1908
connecticut,kent,biden,1865
connecticut,lyme,biden,1772
connecticut,north canaan,biden,1705
connecticut,roxbury,biden,1622
connecticut,morris,trump,1561
connecticut,sprague,trump,1557
connecticut,sharon,biden,1555
connecticut,bozrah,trump,1548
connecticut,voluntown,trump,1524
connecticut,hartland,trump,1292
connecticut,chaplin,trump,1290
connecticut,franklin,trump,1261
connecticut,bridgewater,biden,1233
connecticut,hampton,biden,1139
connecticut,eastford,trump,1067
connecticut,norfolk,biden,1060
connecticut,cornwall,biden,1032
connecticut,colebrook,trump,988
connecticut,scotland,trump,970
connecticut,warren,trump,945
connecticut,canaan,biden,655
connecticut,union,trump,571
delaware,new castle,biden,287633
delaware,sussex,trump,129352
delaware,kent,biden,87025
florida,miami-dade,biden,1156816
florida,broward,biden,957672
florida,palm beach,biden,773158
florida,hillsborough,biden,712063
florida,orange,biden,647403
florida,pinellas,biden,559715
florida,duval,biden,492820
florida,lee,trump,393899
florida,brevard,trump,360764
florida,polk,trump,343256
florida,volusia,trump,307439
florida,pasco,trump,301970
florida,sarasota,trump,270575
florida,seminole,biden,260815
florida,manatee,trump,216958
florida,lake,trump,211314
florida,collier,trump,207818
florida,marion,trump,204376
florida,st. johns,trump,176622
florida,osceola,biden,172436
florida,st. lucie,trump,172169
florida,escambia,trump,170372
florida,leon,biden,162929
florida,alachua,biden,142604
florida,clay,trump,124405
florida,okaloosa,trump,116373
florida,charlotte,trump,116340
florida,hernando,trump,108922
florida,santa rosa,trump,106928
florida,martin,trump,98726
florida,indian river,trump,97484
florida,citrus,trump,93208
florida,bay,trump,93024
florida,sumter,trump,92485
florida,flagler,trump,71716
florida,nassau,trump,58811
florida,highlands,trump,52170
florida,monroe,trump,48029
florida,walton,trump,43711
florida,putnam,trump,36373
florida,columbia,trump,33042
florida,gadsden,biden,23762
florida,levy,trump,23145
florida,jackson,trump,22419
florida,suwannee,trump,21057
florida,wakulla,trump,18404
florida,okeechobee,trump,15954
florida,baker,trump,14059
florida,bradford,trump,13632
florida,hendry,trump,12940
florida,desoto,trump,12659
florida,washington,trump,12327
florida,taylor,trump,10127
florida,gilchrist,trump,9685
florida,madison,trump,9380
florida,holmes,trump,9068
florida,hardee,trump,8485
florida,jefferson,trump,8451
florida,dixie,trump,8167
florida,gulf,trump,8163
florida,franklin,trump,6849
florida,calhoun,trump,6526
florida,union,trump,6245
florida,hamilton,trump,5830
florida,glades,trump,5193
florida,lafayette,trump,3658
florida,liberty,trump,3561
georgia,ware,trump,14189
georgia,warren,biden,2650
georgia,chattahoochee,trump,1582
georgia,fulton,biden,523779
georgia,gwinnett,biden,414023
georgia,cobb,biden,393728
georgia,dekalb,biden,370746
georgia,cherokee,trump,144815
georgia,chatham,biden,133408
georgia,forsyth,trump,129311
georgia,henry,biden,122998
georgia,clayton,biden,112330
georgia,hall,trump,90537
georgia,richmond,biden,87009
georgia,paulding,trump,85372
georgia,columbia,trump,80575
georgia,muscogee,biden,80514
georgia,coweta,trump,76799
georgia,houston,trump,74838
georgia,fayette,trump,71994
georgia,bibb,biden,70714
georgia,douglas,biden,69106
georgia,carroll,trump,54472
georgia,newton,biden,54234
georgia,clarke,biden,51346
georgia,walton,trump,51093
georgia,bartow,trump,50464
georgia,lowndes,trump,46355
georgia,rockdale,biden,44681
georgia,glynn,trump,41988
georgia,floyd,trump,41341
georgia,barrow,trump,37921
georgia,jackson,trump,37675
georgia,whitfield,trump,36766
georgia,dougherty,biden,35287
georgia,catoosa,trump,32593
georgia,effingham,trump,31571
georgia,spalding,trump,30211
georgia,bulloch,trump,30090
georgia,troup,trump,30047
georgia,walker,trump,29354
georgia,oconee,trump,25168
georgia,gordon,trump,24033
georgia,camden,trump,23686
georgia,laurens,trump,22731
georgia,thomas,trump,21872
georgia,liberty,biden,21394
georgia,bryan,trump,21335
georgia,habersham,trump,20431
georgia,harris,trump,19991
georgia,baldwin,biden,18251
georgia,polk,trump,17396
georgia,pickens,trump,17167
georgia,lee,trump,16714
georgia,gilmer,trump,16525
georgia,tift,trump,16279
georgia,colquitt,trump,16086
georgia,dawson,trump,16081
