state,county,candidate,total votes
alabama,autauga,Donald Trump,27770
alabama,baldwin,Donald Trump,109679
alabama,barbour,Donald Trump,10518
alabama,bibb,Donald Trump,9595
alabama,blount,Donald Trump,27588
alabama,bullock,Joe Biden,4613
alabama,butler,Donald Trump,9488
alabama,calhoun,Donald Trump,50983
alabama,chambers,Donald Trump,15284
alabama,cherokee,Donald Trump,12301
alabama,chilton,Donald Trump,19310
alabama,choctaw,Donald Trump,7464
alabama,clarke,Donald Trump,13135
alabama,clay,Donald Trump,6930
alabama,cleburne,Donald Trump,7227
alabama,coffee,Donald Trump,22275
alabama,colbert,Donald Trump,27886
alabama,conecuh,Donald Trump,6441
alabama,coosa,Donald Trump,5479
alabama,covington,Donald Trump,17430
alabama,crenshaw,Donald Trump,6617
alabama,cullman,Donald Trump,41851
alabama,dale,Donald Trump,19738
alabama,dallas,Joe Biden,17864
alabama,dekalb,Donald Trump,29356
alabama,elmore,Donald Trump,41030
alabama,escambia,Donald Trump,15910
alabama,etowah,Donald Trump,47728
alabama,fayette,Donald Trump,8766
alabama,franklin,Donald Trump,12578
alabama,geneva,Donald Trump,12545
alabama,greene,Joe Biden,4775
alabama,hale,Joe Biden,7900
alabama,henry,Donald Trump,9298
alabama,houston,Donald Trump,46173
alabama,jackson,Donald Trump,23636
alabama,jefferson,Joe Biden,325848
alabama,lamar,Donald Trump,7193
alabama,lauderdale,Donald Trump,44339
alabama,lawrence,Donald Trump,16031
alabama,lee,Donald Trump,71449
alabama,limestone,Donald Trump,49235
alabama,lowndes,Joe Biden,6835
alabama,macon,Joe Biden,8723
alabama,madison,Donald Trump,194767
alabama,marengo,Joe Biden,10900
alabama,marion,Donald Trump,13807
alabama,marshall,Donald Trump,39655
alabama,mobile,Donald Trump,183164
alabama,monroe,Donald Trump,10668
alabama,montgomery,Joe Biden,99139
alabama,morgan,Donald Trump,53722
alabama,perry,Joe Biden,5230
alabama,pickens,Donald Trump,9668
alabama,pike,Donald Trump,13841
alabama,randolph,Donald Trump,10837
alabama,russell,Joe Biden,21329
alabama,shelby,Donald Trump,114950
alabama,st. clair,Donald Trump,44441
alabama,sumter,Joe Biden,6291
alabama,talladega,Donald Trump,35663
alabama,tallapoosa,Donald Trump,20991
alabama,tuscaloosa,Donald Trump,90172
alabama,walker,Donald Trump,31170
alabama,washington,Donald Trump,8876
alabama,wilcox,Joe Biden,5903
alabama,winston,Donald Trump,11284
alaska,district 1,Donald Trump,7360
alaska,district 10,Donald Trump,11256
alaska,district 11,Donald Trump,10686
alaska,district 12,Donald Trump,11280
alaska,district 13,Donald Trump,7765
alaska,district 14,Donald Trump,11534
alaska,district 15,Donald Trump,5593
alaska,district 16,Joe Biden,8170
alaska,district 17,Joe Biden,7271
alaska,district 18,Joe Biden,7759
alaska,district 19,Joe Biden,5338
alaska,district 2,Donald Trump,6161
alaska,district 20,Joe Biden,7544
alaska,district 21,Joe Biden,9482
alaska,district 22,Donald Trump,9597
alaska,district 23,Joe Biden,7796
alaska,district 24,Donald Trump,10484
alaska,district 25,Joe Biden,9369
alaska,district 26,write-ins,20292
alaska,district 27,write-ins,19037
alaska,district 28,write-ins,25580
alaska,district 29,Donald Trump,10784
alaska,district 3,Donald Trump,8385
alaska,district 30,Donald Trump,10226
alaska,district 31,Donald Trump,12481
alaska,district 32,Donald Trump,8361
alaska,district 33,Joe Biden,11016
alaska,district 34,Joe Biden,10794
alaska,district 35,Joe Biden,10149
alaska,district 36,Donald Trump,9292
alaska,district 37,Joe Biden,5168
alaska,district 38,Joe Biden,5299
alaska,district 39,Joe Biden,5930
alaska,district 4,Joe Biden,10587
alaska,district 40,Joe Biden,4628
alaska,district 5,Joe Biden,8706
alaska,district 6,Donald Trump,9518
alaska,district 7,Donald Trump,9664
alaska,district 8,Donald Trump,9957
alaska,district 9,Donald Trump,11047
arizona,apache,Joe Biden,35183
arizona,cochise,Donald Trump,60473
arizona,coconino,Joe Biden,73346
arizona,gila,Donald Trump,27678
arizona,graham,Donald Trump,14996
arizona,greenlee,Donald Trump,3688
arizona,la paz,Donald Trump,7460
arizona,maricopa,Joe Biden,2069475
arizona,mohave,Donald Trump,104705
arizona,navajo,Donald Trump,51783
arizona,pima,Joe Biden,520735
arizona,pinal,Donald Trump,185037
arizona,santa cruz,Joe Biden,19561
arizona,yavapai,Donald Trump,143280
arizona,yuma,Donald Trump,69926
arkansas,arkansas,Donald Trump,6292
arkansas,ashley,Donald Trump,7926
arkansas,baxter,Donald Trump,21007
arkansas,benton,Donald Trump,119912
arkansas,boone,Donald Trump,17114
arkansas,bradley,Donald Trump,3654
arkansas,calhoun,Donald Trump,2182
arkansas,carroll,Donald Trump,11797
arkansas,chicot,Joe Biden,4103
arkansas,clark,Donald Trump,8395
arkansas,clay,Donald Trump,5183
arkansas,cleburne,Donald Trump,12680
arkansas,cleveland,Donald Trump,3600
arkansas,columbia,Donald Trump,8616
arkansas,conway,Donald Trump,8685
arkansas,craighead,Donald Trump,38511
arkansas,crawford,Donald Trump,24091
arkansas,crittenden,Joe Biden,16367
arkansas,cross,Donald Trump,6942
arkansas,dallas,Donald Trump,2649
arkansas,desha,Joe Biden,4164
arkansas,drew,Donald Trump,6908
arkansas,faulkner,Donald Trump,54428
arkansas,franklin,Donald Trump,7129
arkansas,fulton,Donald Trump,5119
arkansas,garland,Donald Trump,44199
arkansas,grant,Donald Trump,8200
arkansas,greene,Donald Trump,16100
arkansas,hempstead,Donald Trump,6848
arkansas,hot spring,Donald Trump,12557
arkansas,howard,Donald Trump,4834
arkansas,independence,Donald Trump,14512
arkansas,izard,Donald Trump,5810
arkansas,jackson,Donald Trump,5091
arkansas,jefferson,Joe Biden,25158
arkansas,johnson,Donald Trump,9498
arkansas,lafayette,Donald Trump,2679
arkansas,lawrence,Donald Trump,5857
arkansas,lee,Joe Biden,2848
arkansas,lincoln,Donald Trump,3875
arkansas,little river,Donald Trump,5177
arkansas,logan,Donald Trump,8225
arkansas,lonoke,Donald Trump,30662
arkansas,madison,Donald Trump,7351
arkansas,marion,Donald Trump,7503
arkansas,miller,Donald Trump,16529
arkansas,mississippi,Donald Trump,12342
arkansas,monroe,Donald Trump,2816
arkansas,montgomery,Donald Trump,3873
arkansas,nevada,Donald Trump,3358
arkansas,newton,Donald Trump,3998
