County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Jefferson,Biden +13,D+7.3,100%,"325,848",Ñ
Madison,Trump +8,R+16.3,100%,"194,767",Ñ
Mobile,Trump +12,R+13.3,100%,"183,164",Ñ
Shelby,Trump +40,R+49.4,100%,"114,950",Ñ
Baldwin,Trump +54,R+57.2,100%,"109,679",Ñ
Montgomery,Biden +31,D+26,100%,"99,139",Ñ
Tuscaloosa,Trump +15,R+19.3,100%,"90,172",Ñ
Lee,Trump +20,R+22.6,100%,"71,449",Ñ
Morgan,Trump +49,R+51.8,100%,"53,722",Ñ
Calhoun,Trump +39,R+41,100%,"50,983",Ñ
Limestone,Trump +43,R+48.6,100%,"49,235",Ñ
Etowah,Trump +50,R+49.6,100%,"47,728",Ñ
Houston,Trump +43,R+47.1,100%,"46,173",Ñ
St. Clair,Trump +64,R+67.9,100%,"44,441",Ñ
Lauderdale,Trump +45,R+45.4,100%,"44,339",Ñ
Cullman,Trump +77,R+77.1,100%,"41,851",Ñ
Elmore,Trump +48,R+51.5,100%,"41,030",Ñ
Marshall,Trump +69,R+68.9,100%,"39,655",Ñ
Talladega,Trump +26,R+25.4,100%,"35,663","12,084"
Walker,Trump +68,R+67.1,100%,"31,170",Ñ
DeKalb,Trump +70,R+68.9,100%,"29,356",Ñ
Colbert,Trump +39,R+37.9,100%,"27,886","1,510"
Autauga,Trump +44,R+49,100%,"27,770",Ñ
Blount,Trump +80,R+80.9,100%,"27,588",Ñ
Jackson,Trump +67,R+61.9,100%,"23,636",Ñ
Coffee,Trump +53,R+56.1,100%,"22,275",Ñ
Russell,Biden +6,D+1.9,100%,"21,329",Ñ
Tallapoosa,Trump +43,R+41.4,100%,"20,991",Ñ
Dale,Trump +46,R+50.1,100%,"19,738",Ñ
Chilton,Trump +67,R+66.3,100%,"19,310",Ñ
Dallas,Biden +38,D+37.5,100%,"17,864",Ñ
Covington,Trump +68,R+68.3,100%,"17,430","1,521"
Lawrence,Trump +55,R+48.6,100%,"16,031",866
Escambia,Trump +37,R+35.9,100%,"15,910",Ñ
Chambers,Trump +16,R+14.8,100%,"15,284",Ñ
Pike,Trump +17,R+20,100%,"13,841","1,137"
Marion,Trump +78,R+75.8,100%,"13,807",Ñ
Clarke,Trump +12,R+10.7,100%,"13,135",Ñ
Franklin,Trump +66,R+60.4,100%,"12,578",Ñ
Geneva,Trump +74,R+72,100%,"12,545",Ñ
Cherokee,Trump +73,R+69,100%,"12,301",Ñ
Winston,Trump +82,R+81,100%,"11,284",Ñ
Marengo,Biden +1.3,D+3.5,100%,"10,900",Ñ
Randolph,Trump +59,R+53.1,100%,"10,837",Ñ
Monroe,Trump +16,R+14.2,100%,"10,668","1,256"
Barbour,Trump +8,R+5.6,100%,"10,518",Ñ
Pickens,Trump +16,R+15.6,100%,"9,668",Ñ
Bibb,Trump +58,R+55.2,100%,"9,595",571
Butler,Trump +16,R+13.5,100%,"9,488","1,053"
Henry,Trump +43,R+41.4,100%,"9,298",Ñ
Washington,Trump +49,R+43,100%,"8,876",Ñ
Fayette,Trump +67,R+64.9,100%,"8,766",477
Macon,Biden +64,D+67.1,100%,"8,723",Ñ
Hale,Biden +19,D+19.9,100%,"7,900","1,474"
Choctaw,Trump +16,R+13.7,100%,"7,464",Ñ
Cleburne,Trump +80,R+77.1,100%,"7,227",Ñ
Lamar,Trump +72,R+68.7,100%,"7,193",474
Clay,Trump +63,R+60.5,100%,"6,930",557
Lowndes,Biden +46,D+46.9,100%,"6,835",Ñ
Crenshaw,Trump +48,R+45.5,100%,"6,617",Ñ
Conecuh,Trump +7,R+5.2,100%,"6,441",Ñ
Sumter,Biden +48,D+49.4,100%,"6,291",Ñ
Wilcox,Biden +38,D+42.4,100%,"5,903",Ñ
Coosa,Trump +33,R+30.4,100%,"5,479",364
Perry,Biden +48,D+45.8,100%,"5,230","1,202"
Greene,Biden +63,D+65.1,100%,"4,775","1,561"
Bullock,Biden +50,D+50.7,100%,"4,613",Ñ
