County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Los Angeles,Biden +44,D+49.3,100%,"4,263,443","2,857,809"
San Diego,Biden +23,D+19.6,100%,"1,601,722","1,399,950"
Orange,Biden +9,D+8.6,100%,"1,521,725","1,086,838"
Riverside,Biden +8,D+5.4,100%,"996,156","391,521"
Santa Clara,Biden +47,D+52.1,100%,"850,522",Ñ
San Bernardino,Biden +11,D+10.6,100%,"840,931","342,615"
Alameda,Biden +63,D+63.5,100%,"769,864","292,999"
Sacramento,Biden +25,D+24.2,100%,"718,290",Ñ
Contra Costa,Biden +45,D+43,100%,"581,230","313,531"
San Francisco,Biden +73,D+75.2,100%,"443,458","318,178"
Ventura,Biden +21,D+17.4,100%,"422,698",Ñ
San Mateo,Biden +58,D+57.2,100%,"374,138","227,577"
Fresno,Biden +8,D+6,100%,"364,809","231,308"
Kern,Trump +10,R+12.7,100%,"305,226","126,942"
San Joaquin,Biden +14,D+14.2,100%,"288,443",Ñ
Sonoma,Biden +51,D+46.7,100%,"268,252",Ñ
Placer,Trump +7,R+11.6,100%,"235,017",Ñ
Stanislaus,Biden +0.79,D+1.8,100%,"214,876","137,525"
Solano,Biden +30,D+30,100%,"205,831",Ñ
Santa Barbara,Biden +32,D+28.4,100%,"200,288",Ñ
Monterey,Biden +41,D+40.6,100%,"163,883","112,564"
San Luis Obispo,Biden +13,D+8,100%,"159,681","111,693"
Marin,Biden +67,D+61.8,100%,"155,801",Ñ
Tulare,Trump +8,R+9.4,100%,"146,832","81,532"
Santa Cruz,Biden +60,D+56,100%,"144,796",Ñ
El Dorado,Trump +9,R+13.5,100%,"116,138","82,522"
Butte,Biden +1.7,R+3.7,100%,"102,042",Ñ
Yolo,Biden +41,D+41.4,100%,"97,264",Ñ
Shasta,Trump +33,R+36.4,100%,"92,900",Ñ
Merced,Biden +11,D+12.1,100%,"90,541",Ñ
Napa,Biden +40,D+35.5,100%,"72,122","42,386"
Humboldt,Biden +33,D+24.7,100%,"68,828","37,861"
Nevada,Biden +15,D+4.9,100%,"64,738","26,010"
Imperial,Biden +24,D+41.5,100%,"56,718","27,661"
Madera,Trump +12,R+14.5,100%,"53,722","35,718"
Kings,Trump +12,R+13,100%,"43,858","32,998"
Mendocino,Biden +36,D+29.5,100%,"43,336","43,010"
Sutter,Trump +16,R+15.1,100%,"42,640",Ñ
Tuolumne,Trump +19,R+21,100%,"30,401",Ñ
Yuba,Trump +22,R+22.9,100%,"29,787","15,496"
San Benito,Biden +24,D+21.2,100%,"28,821","21,132"
Lake,Biden +6,D+3.6,100%,"28,800",Ñ
Tehama,Trump +36,R+36.3,100%,"28,721",Ñ
Calaveras,Trump +24,R+23.7,100%,"27,164","18,851"
Siskiyou,Trump +16,R+20,100%,"23,450",Ñ
Amador,Trump +24,R+24.9,100%,"22,302","17,773"
Lassen,Trump +51,R+50,100%,"11,985",Ñ
Del Norte,Trump +16,R+17.3,100%,"11,452",Ñ
Glenn,Trump +27,R+28.8,100%,"11,292","5,134"
Plumas,Trump +17,R+19.9,100%,"11,256",Ñ
Mariposa,Trump +18,R+23.2,100%,"10,280","8,259"
Inyo,Biden +0.15,R+13.4,100%,"9,481","5,305"
Colusa,Trump +17,R+13.3,100%,"7,951",Ñ
Mono,Biden +22,D+12.5,100%,"6,737","4,958"
Trinity,Trump +5,R+10.3,100%,"6,258","5,048"
Modoc,Trump +45,R+47.3,100%,"4,338",Ñ
Sierra,Trump +21,R+24.1,100%,"1,930",Ñ
Alpine,Biden +31,D+19.4,100%,741,731
