County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Denver,Biden +61,D+54.8,100%,"393,827",Ñ
El Paso,Trump +11,R+22.3,100%,"378,849",Ñ
Jefferson,Biden +19,D+6.9,100%,"377,357",Ñ
Arapahoe,Biden +25,D+14.1,100%,"350,183",Ñ
Adams,Biden +16,D+8.5,100%,"236,735",Ñ
Douglas,Trump +7,R+18.1,100%,"231,599",Ñ
Larimer,Biden +15,D+4.9,100%,"224,338",Ñ
Boulder,Biden +57,D+48.3,100%,"206,111",Ñ
Weld,Trump +18,R+22.2,100%,"166,968",Ñ
Mesa,Trump +28,R+36.1,100%,"90,622",Ñ
Pueblo,Biden +1.7,R+0.5,100%,"88,299",Ñ
Broomfield,Biden +27,D+14.2,100%,"46,632",Ñ
La Plata,Biden +18,D+9.4,100%,"35,667",Ñ
Garfield,Biden +2,R+7,100%,"30,904",Ñ
Eagle,Biden +30,D+20.3,100%,"29,140",Ñ
Fremont,Trump +40,R+44.7,100%,"25,557",Ñ
Montrose,Trump +36,R+42.1,100%,"24,922",Ñ
Delta,Trump +37,R+45.1,100%,"19,370",Ñ
Elbert,Trump +50,R+53.6,100%,"18,983",Ñ
Summit,Biden +40,D+27.6,100%,"18,479",Ñ
Teller,Trump +35,R+42.5,100%,"16,939",Ñ
Routt,Biden +28,D+16.9,100%,"16,876",Ñ
Montezuma,Trump +22,R+30.2,100%,"15,500",Ñ
Morgan,Trump +42,R+41.8,100%,"13,744",Ñ
Chaffee,Biden +7,R+4.5,100%,"13,717",Ñ
Park,Trump +17,R+26.1,100%,"12,290",Ñ
Pitkin,Biden +52,D+45.5,100%,"11,957",Ñ
Gunnison,Biden +30,D+19.5,100%,"11,190",Ñ
Logan,Trump +56,R+55.9,100%,"10,532",Ñ
Grand,Trump +1.8,R+13.2,100%,"9,870",Ñ
Otero,Trump +22,R+23.5,100%,"9,576",Ñ
Archuleta,Trump +16,R+24,100%,"9,144",Ñ
Las Animas,Trump +10,R+15.6,100%,"7,961",Ñ
Alamosa,Trump +0.69,D+2.1,100%,"7,808",Ñ
Moffat,Trump +64,R+67.9,100%,"7,026",Ñ
Clear Creek,Biden +13,D+2.6,100%,"6,548",Ñ
Rio Grande,Trump +18,R+19.6,100%,"6,305",Ñ
Prowers,Trump +46,R+46.8,100%,"5,561",Ñ
San Miguel,Biden +54,D+44.9,100%,"5,147",Ñ
Yuma,Trump +67,R+65.2,100%,"4,981",Ñ
Huerfano,Trump +3,R+6.6,100%,"4,406",Ñ
Conejos,Trump +8,R+3.6,100%,"4,333",Ñ
Gilpin,Biden +9,D+1.9,100%,"4,186",Ñ
Ouray,Biden +20,D+10.5,100%,"4,020",Ñ
Lake,Biden +20,D+10.8,100%,"3,961",Ñ
Kit Carson,Trump +64,R+65.7,100%,"3,871",Ñ
Rio Blanco,Trump +68,R+68.3,100%,"3,691",Ñ
Custer,Trump +37,R+41.2,100%,"3,634",Ñ
Saguache,Biden +14,D+9.5,100%,"3,389",Ñ
Washington,Trump +74,R+73.3,100%,"3,008",Ñ
Lincoln,Trump +63,R+60.9,100%,"2,651",Ñ
Phillips,Trump +59,R+58.1,100%,"2,485",Ñ
Bent,Trump +34,R+31,100%,"2,274",Ñ
Baca,Trump +70,R+68.3,100%,"2,225",Ñ
Costilla,Biden +27,D+29.1,100%,"2,094",Ñ
Crowley,Trump +48,R+48.5,100%,"1,750",Ñ
Dolores,Trump +52,R+55.9,100%,"1,449",Ñ
Sedgwick,Trump +57,R+54.8,100%,"1,446",Ñ
Cheyenne,Trump +76,R+72,100%,"1,136",Ñ
Kiowa,Trump +77,R+74.5,100%,903,Ñ
Jackson,Trump +58,R+53.2,100%,876,Ñ
Mineral,Trump +15,R+16.4,100%,756,Ñ
Hinsdale,Trump +16,R+24.1,100%,632,Ñ
San Juan,Biden +25,D+9.9,100%,563,Ñ
