Town,Margin,Est. votes reported,Total votes,Absentee
Stamford,Biden +37,100%,"59,412",Ñ
Norwalk,Biden +37,100%,"43,219",Ñ
Bridgeport,Biden +60,100%,"42,188",Ñ
New Haven,Biden +70,100%,"42,102",Ñ
West Hartford,Biden +52,100%,"36,291",Ñ
Greenwich,Biden +25,100%,"36,112",Ñ
Waterbury,Biden +21,100%,"36,107","8,509"
Fairfield,Biden +31,100%,"35,414",Ñ
Hartford,Biden +74,100%,"32,687",Ñ
Milford,Biden +11,100%,"32,062",Ñ
Danbury,Biden +19,100%,"32,021",Ñ
Bristol,Biden +5,100%,"29,799",Ñ
Hamden,Biden +50,100%,"29,104",Ñ
Manchester,Biden +38,100%,"28,466",Ñ
Stratford,Biden +24,100%,"28,194","13,429"
Southington,Trump +2,100%,"26,718",Ñ
Wallingford,Biden +7,100%,"25,785",Ñ
Meriden,Biden +20,100%,"25,326",Ñ
New Britain,Biden +35,100%,"24,071",Ñ
Shelton,Trump +8,100%,"23,892",Ñ
Middletown,Biden +34,100%,"23,509",Ñ
West Haven,Biden +27,100%,"22,605",Ñ
Glastonbury,Biden +27,100%,"22,374",Ñ
Trumbull,Biden +10,100%,"22,002",Ñ
Enfield,Biden +9,100%,"20,929",Ñ
East Hartford,Biden +45,100%,"20,607",Ñ
Branford,Biden +19,100%,"17,913",Ñ
Westport,Biden +50,100%,"17,523","6,189"
Windsor,Biden +52,100%,"17,514",Ñ
Cheshire,Biden +14,100%,"17,418","7,057"
Groton,Biden +25,100%,"17,389",Ñ
Newington,Biden +17,100%,"17,355",Ñ
Newtown,Biden +14,100%,"17,269",Ñ
Torrington,Trump +12,100%,"16,824",Ñ
Wethersfield,Biden +20,100%,"16,277",Ñ
Ridgefield,Biden +28,100%,"16,245","7,379"
Simsbury,Biden +29,100%,"16,174","6,550"
Farmington,Biden +22,100%,"16,037",Ñ
New Milford,Biden +3,100%,"15,734",Ñ
South Windsor,Biden +26,100%,"15,523",Ñ
North Haven,Trump +3,100%,"15,441","4,459"
Vernon,Biden +22,100%,"15,400",Ñ
Norwich,Biden +24,100%,"15,290",Ñ
Naugatuck,Trump +5,100%,"14,904","7,524"
Guilford,Biden +31,100%,"14,867",Ñ
East Haven,Trump +6,100%,"14,501",Ñ
Darien,Biden +23,100%,"13,018",Ñ
Southbury,Biden +2,100%,"12,990",Ñ
Berlin,Trump +5,100%,"12,873",Ñ
Bloomfield,Biden +73,100%,"12,821",Ñ
Watertown,Trump +26,100%,"12,754",Ñ
Madison,Biden +24,100%,"12,437",Ñ
New Canaan,Biden +20,100%,"12,365",Ñ
Waterford,Biden +15,100%,"12,316",Ñ
Monroe,Trump +1.3,100%,"12,002",Ñ
Avon,Biden +24,100%,"11,987",Ñ
Stonington,Biden +27,100%,"11,889",Ñ
East Lyme,Biden +26,100%,"11,756",Ñ
Wilton,Biden +33,100%,"11,715",Ñ
Bethel,Biden +14,100%,"11,172",Ñ
