County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Pulaski,Trump +31,R+26.1,80%,"2,624",Ñ
Jackson,Biden +1.3,D+3.2,83%,"22,643",Ñ
Hardin,Trump +57,R+57.4,86%,"2,162",Ñ
Alexander,Trump +14,R+8.3,87%,"2,618",Ñ
Saline,Trump +48,R+50.1,89%,"11,066",Ñ
Gallatin,Trump +52,R+47.5,90%,"2,674",266
Franklin,Trump +48,R+44.8,91%,"18,626",Ñ
Pope,Trump +59,R+60.8,91%,"2,175",Ñ
Knox,Trump +6,R+2.9,92%,"23,143",Ñ
White,Trump +58,R+57.6,92%,"7,421",Ñ
Edwards,Trump +70,R+70.5,92%,"3,366",Ñ
Marion,Trump +47,R+43.8,93%,"17,458",Ñ
Jefferson,Trump +45,R+42.8,93%,"17,404",Ñ
Perry,Trump +47,R+44.5,93%,"10,053",Ñ
Wayne,Trump +71,R+71.3,93%,"8,486",Ñ
Wabash,Trump +53,R+53,93%,"5,593",Ñ
Champaign,Biden +23,D+18.3,94%,"95,142","65,770"
Vermilion,Trump +33,R+29.4,94%,"31,584",Ñ
McDonough,Trump +17,R+11.5,94%,"12,285",Ñ
Hamilton,Trump +60,R+57.8,94%,"4,315",Ñ
Henderson,Trump +33,R+28.4,94%,"3,647",Ñ
Morgan,Trump +32,R+29.6,95%,"15,309",Ñ
Mercer,Trump +24,R+20.4,95%,"8,893","3,234"
Edgar,Trump +53,R+48.8,95%,"8,196",Ñ
Cass,Trump +38,R+31.1,95%,"5,317",Ñ
Scott,Trump +56,R+54.9,95%,"2,737",Ñ
Cook,Biden +50,D+53.1,96%,"2,325,405",Ñ
Sangamon,Trump +4,R+9.2,96%,"104,752",Ñ
Bureau,Trump +21,R+19.6,96%,"17,434","7,409"
Christian,Trump +45,R+42.3,96%,"16,204",Ñ
Randolph,Trump +50,R+46.4,96%,"14,891",Ñ
Lawrence,Trump +54,R+53,96%,"6,411",Ñ
Cumberland,Trump +59,R+57,96%,"5,832",Ñ
Stark,Trump +41,R+37.4,96%,"2,883",Ñ
McLean,Biden +4,R+1.3,97%,"87,002",Ñ
Fulton,Trump +20,R+14.9,97%,"16,678",Ñ
Lee,Trump +20,R+19.9,97%,"16,397",Ñ
Montgomery,Trump +41,R+39.5,97%,"13,727",Ñ
Douglas,Trump +45,R+45.7,97%,"8,738",Ñ
Clark,Trump +51,R+47.2,97%,"8,356",Ñ
Washington,Trump +57,R+55.4,97%,"7,902",Ñ
Marshall,Trump +35,R+33.4,97%,"6,334",Ñ
Brown,Trump +57,R+55.5,97%,"2,521",Ñ
Whiteside,Trump +8,R+6.2,98%,"27,375",Ñ
Macoupin,Trump +37,R+34.1,98%,"24,022",Ñ
Iroquois,Trump +57,R+55.3,98%,"14,025",Ñ
Crawford,Trump +51,R+49,98%,"9,425",Ñ
Moultrie,Trump +49,R+47.3,98%,"6,744",Ñ
Calhoun,Trump +49,R+38.2,98%,"2,772",Ñ
LaSalle,Trump +14,R+14.4,99%,"53,591",Ñ
Jersey,Trump +48,R+46.1,99%,"11,937",Ñ
Ford,Trump +47,R+47.9,99%,"6,953",Ñ
Clay,Trump +65,R+63,99%,"6,886",Ñ
Jasper,Trump +63,R+59.7,99%,"5,576",Ñ
DuPage,Biden +18,D+14.4,100%,"485,104",Ñ
Will,Biden +8,D+6.3,100%,"345,105","205,605"
Lake,Biden +24,D+20.2,100%,"334,177","59,287"
Kane,Biden +14,D+10.5,100%,"231,876","183,439"
McHenry,Trump +3,R+7.5,100%,"163,879",Ñ
Madison,Trump +13,R+15.3,100%,"137,139",Ñ
St. Clair,Biden +9,D+5.7,100%,"128,091",Ñ
Winnebago,Biden +3,D+0.1,100%,"127,709",Ñ
Peoria,Biden +6,D+3.1,100%,"83,973","53,195"
Tazewell,Trump +26,R+27.8,100%,"69,052",Ñ
Rock Island,Biden +12,D+8.3,100%,"66,758",Ñ
Kendall,Biden +6,R+0.1,100%,"63,974","37,244"
Kankakee,Trump +17,R+13,100%,"49,902",Ñ
Macon,Trump +18,R+17.7,100%,"49,390",Ñ
DeKalb,Biden +6,D+3.2,100%,"47,825",Ñ
Williamson,Trump +37,R+40.8,100%,"33,653",Ñ
Adams,Trump +46,R+46.8,100%,"33,527","19,045"
Grundy,Trump +26,R+23.2,100%,"26,691",Ñ
Ogle,Trump +26,R+26,100%,"26,272",Ñ
Henry,Trump +21,R+20.8,100%,"25,635",Ñ
Boone,Trump +13,R+14.3,100%,"24,979",Ñ
Coles,Trump +26,R+26,100%,"22,606",Ñ
Stephenson,Trump +16,R+16.3,100%,"22,048",Ñ
Woodford,Trump +40,R+40.9,100%,"21,432",Ñ
Monroe,Trump +36,R+36.7,100%,"21,148","9,396"
Clinton,Trump +51,R+48.6,100%,"19,170",Ñ
Effingham,Trump +59,R+59.9,100%,"19,049",Ñ
Livingston,Trump +44,R+40.3,100%,"17,174",Ñ
Logan,Trump +40,R+39.3,100%,"13,294",Ñ
JoDaviess,Trump +16,R+14.6,100%,"12,496","6,000"
Shelby,Trump +57,R+53.8,100%,"12,097",Ñ
Fayette,Trump +62,R+57.9,100%,"10,056",Ñ
Piatt,Trump +30,R+33,100%,"9,822",Ñ
Hancock,Trump +49,R+47,100%,"9,383",Ñ
