County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Pottawatomie,Trump +47,R+50.4,71%,"13,083","5,794"
Allen,Trump +45,R+40.3,80%,"5,918","2,774"
Greeley,Trump +73,R+69.4,84%,642,Ñ
Phillips,Trump +76,R+72.6,85%,"2,781",Ñ
Decatur,Trump +70,R+70.8,86%,"1,498","1,456"
Morton,Trump +74,R+70.7,86%,"1,198",Ñ
Republic,Trump +66,R+65.2,87%,"2,657",Ñ
Hodgeman,Trump +69,R+71.9,87%,"1,045",Ñ
Rooks,Trump +74,R+72.6,88%,"2,699",620
Cheyenne,Trump +67,R+70.5,88%,"1,429",Ñ
Graham,Trump +64,R+65.2,88%,"1,337",814
Lane,Trump +72,R+70.3,89%,895,Ñ
Rawlins,Trump +70,R+71.8,90%,"1,504",Ñ
Kiowa,Trump +71,R+72,90%,"1,165",Ñ
Wichita,Trump +68,R+65.8,90%,968,Ñ
Hamilton,Trump +65,R+66.7,90%,859,Ñ
Trego,Trump +69,R+69.4,91%,"1,630",Ñ
Wallace,Trump +88,R+84.6,91%,825,Ñ
Cloud,Trump +54,R+54.6,92%,"4,263","2,254"
Mitchell,Trump +63,R+62.2,92%,"3,101",Ñ
Stevens,Trump +75,R+72.9,92%,"2,031",Ñ
Elk,Trump +69,R+70.5,92%,"1,361",Ñ
Clark,Trump +71,R+69.7,92%,"1,067",487
Comanche,Trump +69,R+70.7,92%,921,168
Barber,Trump +74,R+69.2,93%,"2,342",Ñ
Osborne,Trump +69,R+68.6,93%,"1,945",Ñ
Chautauqua,Trump +73,R+70.2,93%,"1,639",Ñ
Haskell,Trump +61,R+58.7,93%,"1,410",Ñ
Seward,Trump +29,R+30.4,94%,"5,294",Ñ
Stafford,Trump +63,R+62.6,94%,"2,034",Ñ
Rush,Trump +63,R+64.1,94%,"1,677",Ñ
Lincoln,Trump +64,R+65.8,94%,"1,579",Ñ
Gove,Trump +76,R+73.8,94%,"1,471",Ñ
Stanton,Trump +60,R+59.2,94%,776,Ñ
Pawnee,Trump +51,R+49.8,95%,"2,739",Ñ
Edwards,Trump +61,R+62.5,95%,"1,431",Ñ
Ottawa,Trump +66,R+63.6,96%,"3,191","1,325"
Sherman,Trump +69,R+66.4,96%,"2,732",373
Harper,Trump +64,R+62,96%,"2,678",Ñ
Smith,Trump +67,R+66.8,96%,"2,129",Ñ
Labette,Trump +36,R+37,97%,"8,563","8,230"
Clay,Trump +54,R+57.4,97%,"4,196",Ñ
Ellsworth,Trump +53,R+53.5,97%,"2,853",Ñ
Grant,Trump +57,R+57.1,97%,"2,501","2,438"
Kearny,Trump +62,R+68.5,97%,"1,455",Ñ
Sheridan,Trump +79,R+77.9,97%,"1,445",Ñ
Ford,Trump +32,R+38.1,98%,"8,915",Ñ
Neosho,Trump +46,R+46.4,98%,"6,877",Ñ
Wilson,Trump +61,R+61.1,98%,"3,954","1,935"
Meade,Trump +69,R+69.6,98%,"1,825",Ñ
Bourbon,Trump +52,R+50,99%,"6,701","3,051"
Logan,Trump +73,R+72.2,99%,"1,458",Ñ
Johnson,Biden +8,R+2.6,100%,"349,386",Ñ
Sedgwick,Trump +12,R+18.1,100%,"223,688",Ñ
Shawnee,Biden +3,R+2.6,100%,"86,122","41,891"
Douglas,Biden +39,D+32.3,100%,"59,495",Ñ
Wyandotte,Biden +31,D+29.1,100%,"56,785",Ñ
Leavenworth,Trump +21,R+24.2,100%,"36,490","22,637"
Butler,Trump +41,R+45.2,100%,"32,520",Ñ
Reno,Trump +34,R+35.4,100%,"28,057","15,158"
Riley,Biden +5,R+3.5,100%,"25,171","14,997"
Saline,Trump +31,R+34,100%,"24,531","7,160"
Miami,Trump +39,R+39.6,100%,"17,937",Ñ
Harvey,Trump +20,R+23.8,100%,"17,309","9,943"
Crawford,Trump +23,R+22.7,100%,"16,718",Ñ
McPherson,Trump +40,R+41.8,100%,"14,438",Ñ
Cowley,Trump +38,R+37.4,100%,"14,231","8,477"
Lyon,Trump +11,R+15.3,100%,"13,988",Ñ
Ellis,Trump +44,R+47.5,100%,"13,800","6,502"
Montgomery,Trump +50,R+50.3,100%,"13,426","6,579"
Franklin,Trump +38,R+38.7,100%,"12,477","5,397"
Finney,Trump +25,R+30.7,100%,"11,800",Ñ
Barton,Trump +56,R+58.5,100%,"11,130","2,424"
Sumner,Trump +50,R+50.5,100%,"10,928","3,972"
Jefferson,Trump +32,R+31.9,100%,"9,819",Ñ
Geary,Trump +14,R+20.5,100%,"9,603",Ñ
Dickinson,Trump +54,R+53.8,100%,"9,349","3,877"
Cherokee,Trump +50,R+47.9,100%,"9,128",Ñ
Osage,Trump +44,R+43,100%,"8,050",Ñ
Atchison,Trump +34,R+31.3,100%,"7,440",Ñ
Jackson,Trump +40,R+41.7,100%,"6,584",Ñ
Marion,Trump +48,R+49.4,100%,"6,111","3,004"
Nemaha,Trump +66,R+66.4,100%,"5,684","1,449"
Marshall,Trump +48,R+47.8,100%,"5,114",Ñ
Linn,Trump +62,R+61.7,100%,"5,046",Ñ
Coffey,Trump +55,R+57.1,100%,"4,573","1,307"
Brown,Trump +48,R+50.2,100%,"4,471",Ñ
Rice,Trump +53,R+56.3,100%,"4,319","2,322"
Pratt,Trump +53,R+53.8,100%,"4,137",Ñ
Kingman,Trump +60,R+57.9,100%,"3,968",Ñ
Wabaunsee,Trump +48,R+47.2,100%,"3,902",Ñ
Thomas,Trump +66,R+68.1,100%,"3,822",Ñ
Anderson,Trump +57,R+52.6,100%,"3,792",Ñ
Doniphan,Trump +62,R+59.5,100%,"3,709","1,129"
Russell,Trump +63,R+66.2,100%,"3,467",Ñ
Greenwood,Trump +61,R+59,100%,"3,077",725
Morris,Trump +48,R+46.5,100%,"2,899","1,568"
Washington,Trump +65,R+65.4,100%,"2,883",Ñ
Norton,Trump +68,R+69.8,100%,"2,423",Ñ
Scott,Trump +73,R+74,100%,"2,354",798
Gray,Trump +69,R+69.5,100%,"2,288",Ñ
Jewell,Trump +72,R+69.8,100%,"1,628",Ñ
Woodson,Trump +60,R+56.1,100%,"1,546",537
Ness,Trump +79,R+73.3,100%,"1,513",983
Chase,Trump +52,R+47.7,100%,"1,491",Ñ
