County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Casey,Trump +73,R+73.2,98%,"7,171",Ñ
Green,Trump +67,R+66.4,99%,"5,812",Ñ
Jefferson,Biden +20,D+13.3,100%,"386,629",Ñ
Fayette,Biden +21,D+9.5,100%,"152,912","83,354"
Kenton,Trump +19,R+26,100%,"82,198",Ñ
Boone,Trump +36,R+41.8,100%,"66,998","39,444"
Warren,Trump +17,R+24.2,100%,"55,401","45,143"
Daviess,Trump +28,R+32.2,100%,"49,287",Ñ
Hardin,Trump +24,R+30.2,100%,"48,941",Ñ
Campbell,Trump +19,R+24.4,100%,"48,878",Ñ
Madison,Trump +27,R+31.1,100%,"43,957",Ñ
Bullitt,Trump +48,R+49.8,100%,"41,998",Ñ
Oldham,Trump +21,R+31.1,100%,"37,976",Ñ
McCracken,Trump +32,R+37.2,100%,"33,549","7,782"
Pulaski,Trump +63,R+66.7,100%,"31,557",Ñ
Scott,Trump +25,R+30.3,100%,"28,969",Ñ
Laurel,Trump +67,R+69.1,100%,"28,111",Ñ
Jessamine,Trump +32,R+40,100%,"26,280",Ñ
Franklin,Trump +0.95,R+4.6,100%,"26,072",Ñ
Pike,Trump +61,R+62.7,100%,"25,395","11,223"
Christian,Trump +28,R+31.3,100%,"23,863",Ñ
Shelby,Trump +30,R+33.6,100%,"23,550",Ñ
Nelson,Trump +37,R+33.6,100%,"23,256",Ñ
Boyd,Trump +33,R+37,100%,"21,751",Ñ
Hopkins,Trump +48,R+53.9,100%,"21,512","16,242"
Henderson,Trump +25,R+27.7,100%,"20,697",Ñ
Barren,Trump +47,R+49.8,100%,"20,064","16,041"
Greenup,Trump +45,R+45.5,100%,"18,176","13,103"
Clark,Trump +32,R+37.1,100%,"18,139",Ñ
Marshall,Trump +52,R+51.8,100%,"17,603",Ñ
Calloway,Trump +32,R+35,100%,"17,457",Ñ
Graves,Trump +57,R+56.4,100%,"17,019",Ñ
Floyd,Trump +51,R+48.2,100%,"16,353","3,896"
Whitley,Trump +65,R+67.1,100%,"15,356",Ñ
Woodford,Trump +12,R+20.2,100%,"15,211",Ñ
Boyle,Trump +25,R+29,100%,"14,478","10,585"
Muhlenberg,Trump +49,R+46.9,100%,"14,235",Ñ
Meade,Trump +46,R+46.1,100%,"14,113",Ñ
Knox,Trump +67,R+67.6,100%,"13,273","2,458"
Anderson,Trump +48,R+49.1,100%,"13,254","2,496"
Montgomery,Trump +42,R+41,100%,"12,842",Ñ
Taylor,Trump +51,R+51,100%,"12,517",Ñ
Logan,Trump +48,R+46.1,100%,"12,350",Ñ
Grayson,Trump +59,R+59.2,100%,"11,985","3,459"
Mercer,Trump +47,R+50.5,100%,"11,735",Ñ
Carter,Trump +53,R+51.7,100%,"11,586",Ñ
Spencer,Trump +54,R+55.4,100%,"11,433",Ñ
Ohio,Trump +56,R+56.4,100%,"11,129",Ñ
Grant,Trump +59,R+56.1,100%,"11,108",Ñ
Harlan,Trump +72,R+72.1,100%,"10,971",Ñ
Lincoln,Trump +57,R+57.2,100%,"10,914","2,438"
Perry,Trump +54,R+57,100%,"10,626",Ñ
Breckinridge,Trump +52,R+51.6,100%,"10,201","7,209"
Johnson,Trump +67,R+71,100%,"10,192","2,266"
Rowan,Trump +21,R+21.2,100%,"10,065",Ñ
Bell,Trump +63,R+62.2,100%,"10,044",Ñ
Bourbon,Trump +30,R+31.6,100%,"9,648",Ñ
Allen,Trump +63,R+63.2,100%,"9,364","6,557"
Wayne,Trump +62,R+61.8,100%,"9,240",Ñ
Letcher,Trump +59,R+63,100%,"9,135","5,886"
Russell,Trump +69,R+70.6,100%,"8,955",Ñ
Marion,Trump +38,R+30.1,100%,"8,928",Ñ
Harrison,Trump +44,R+43.7,100%,"8,859",Ñ
Adair,Trump +67,R+64.5,100%,"8,768",Ñ
Simpson,Trump +37,R+38.9,100%,"8,732",Ñ
Garrard,Trump +57,R+58.4,100%,"8,706",Ñ
Hart,Trump +53,R+49.4,100%,"8,370",Ñ
Henry,Trump +46,R+43.6,100%,"8,110",Ñ
Mason,Trump +39,R+41.2,100%,"7,958","1,776"
Rockcastle,Trump +70,R+70.2,100%,"7,784",Ñ
Clay,Trump +77,R+75.5,100%,"7,591",Ñ
Trigg,Trump +50,R+49.5,100%,"7,376","6,239"
LaRue,Trump +57,R+55.3,100%,"7,301","4,656"
Fleming,Trump +57,R+53.9,100%,"7,068",Ñ
Lawrence,Trump +63,R+62.4,100%,"6,955",Ñ
Pendleton,Trump +61,R+57.3,100%,"6,925","4,469"
Union,Trump +52,R+54.3,100%,"6,577",Ñ
Estill,Trump +57,R+56.4,100%,"6,540",Ñ
McCreary,Trump +77,R+75.3,100%,"6,438",Ñ
Caldwell,Trump +54,R+54.3,100%,"6,434",Ñ
