Town,Margin,Est. votes reported,Total votes,Absentee
Waldo,Trump +7,85%,502,Ñ
New Sweden,Trump +13,91%,322,Ñ
Frenchboro,Trump +23,94%,31,Ñ
Wesley,Trump +24,97%,76,Ñ
The Forks Plt.,Tied,97%,38,Ñ
Wade,Trump +18,98%,142,Ñ
Masardis,Trump +42,98%,122,Ñ
Meddybemps,Trump +41,98%,103,Ñ
Cyr Plt.,Trump +7,98%,56,Ñ
Pleasant Ridge Plt.,Trump +53,98%,53,Ñ
West Forks Plt.,Trump +17,98%,53,Ñ
Matinicus Isle Plt.,Biden +44,98%,50,Ñ
Hammond,Trump +50,98%,46,Ñ
Yarmouth,Biden +53,99%,"6,358",Ñ
Cumberland,Biden +38,99%,"6,002",Ñ
North Yarmouth,Biden +29,99%,"2,960",Ñ
Hollis,Trump +9,99%,"2,895",Ñ
Kennebunkport,Biden +31,99%,"2,746","1,909"
Richmond,Trump +6,99%,"2,076",Ñ
St. George,Biden +25,99%,"1,814",Ñ
Farmingdale,Biden +8,99%,"1,738",Ñ
Mount Desert,Biden +46,99%,"1,490",Ñ
West Bath,Biden +8,99%,"1,392",Ñ
Newcastle,Biden +38,99%,"1,359",Ñ
Surry,Biden +12,99%,"1,091",Ñ
Owl's Head,Biden +12,99%,"1,065",Ñ
Randolph,Trump +6,99%,"1,029",Ñ
Newburgh,Trump +23,99%,994,Ñ
Palermo,Trump +17,99%,939,Ñ
Machias,Trump +7,99%,893,Ñ
Penobscot,Biden +24,99%,845,Ñ
Chesterville,Trump +18,99%,799,Ñ
Cornville,Trump +24,99%,776,Ñ
Charleston,Trump +55,99%,753,Ñ
Brooksville,Biden +34,99%,686,Ñ
Frankfort,Trump +33,99%,680,Ñ
Montville,Biden +12,99%,650,Ñ
Smithfield,Trump +12,99%,627,Ñ
Brooklin,Biden +38,99%,624,Ñ
Exeter,Trump +31,99%,571,Ñ
Carrabassett Valley,Biden +35,99%,527,Ñ
Alna,Biden +28,99%,517,Ñ
Industry,Trump +4,99%,504,Ñ
Southport,Biden +27,99%,491,Ñ
New Portland,Trump +17,99%,481,Ñ
Knox,Trump +35,99%,475,Ñ
Prospect,Trump +17,99%,423,Ñ
Whiting,Trump +16,99%,361,Ñ
Dennysville,Trump +22,99%,357,Ñ
Jonesboro,Trump +25,99%,346,Ñ
North Haven,Biden +42,99%,321,Ñ
Penobscot Nation Vot Dst,Biden +61,99%,302,Ñ
Weld,Biden +1.7,99%,299,Ñ
Portage Lake,Trump +23,99%,265,Ñ
Cambridge,Trump +41,99%,252,Ñ
Castle Hill,Trump +14,99%,230,Ñ
Eastbrook,Trump +37,99%,222,Ñ
Charlotte,Trump +36,99%,216,Ñ
Dallas Plt.,Trump +3,99%,209,Ñ
Stockholm,Trump +10,99%,160,Ñ
Rangeley Plt.,Trump +20,99%,145,Ñ
Cranberry Isles,Biden +43,99%,138,Ñ
Caswell,Trump +10,99%,134,Ñ
Bowerbank,Trump +30,99%,117,Ñ
Coplin Plt.,Biden +14,99%,110,Ñ
Edinburg,Trump +29,99%,105,Ñ
Sandy River Plt.,Biden +28,99%,102,Ñ
Grand Lake Stream Plt,Trump +23,99%,98,Ñ
