County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Montgomery,Biden +60,D+55.4,100%,"533,743",Ñ
Prince George's,Biden +81,D+79.7,100%,"424,855","306,363"
Baltimore,Biden +27,D+17.6,100%,"414,932",Ñ
Anne Arundel,Biden +15,D+2.2,100%,"309,617",Ñ
Baltimore City,Biden +77,D+74.1,100%,"237,461",Ñ
Howard,Biden +44,D+34,100%,"183,062","60,430"
Harford,Trump +12,R+23,100%,"148,186","68,976"
Frederick,Biden +10,R+2.4,100%,"145,615","52,530"
Carroll,Trump +24,R+34.5,100%,"100,327","58,185"
Charles,Biden +41,D+30.3,100%,"89,498",Ñ
Washington,Trump +21,R+30.1,100%,"67,779","32,573"
St. Mary's,Trump +14,R+22.3,100%,"55,665",Ñ
Calvert,Trump +6,R+16.8,100%,"49,112",Ñ
Cecil,Trump +27,R+33.6,100%,"47,462",Ñ
Wicomico,Trump +1.9,R+9.7,100%,"46,216",Ñ
Worcester,Trump +19,R+26.4,100%,"31,691",Ñ
Allegany,Trump +38,R+43.7,100%,"30,641",Ñ
Queen Anne's,Trump +27,R+34,100%,"30,290",Ñ
Talbot,Biden +0.51,R+10.1,100%,"22,555",Ñ
Dorchester,Trump +12,R+14.2,100%,"15,977",Ñ
Caroline,Trump +33,R+38,100%,"15,794",Ñ
Garrett,Trump +56,R+58.6,100%,"15,611",Ñ
Kent,Biden +1.2,R+3,100%,"10,794",Ñ
Somerset,Trump +15,R+11.6,100%,"10,147",Ñ
