Town,Margin,Est. votes reported,Total votes,Absentee
Alford,Biden +68,98%,325,Ñ
Boston,Biden +67,100%,"293,796",Ñ
Worcester,Biden +38,100%,"71,370",Ñ
Cambridge,Biden +85,100%,"54,795",241
Springfield,Biden +47,100%,"54,373",Ñ
Newton,Biden +65,100%,"50,295",Ñ
Quincy,Biden +35,100%,"45,793",Ñ
Somerville,Biden +78,100%,"42,200",Ñ
Brockton,Biden +54,100%,"38,712",Ñ
Lowell,Biden +34,100%,"38,681",Ñ
Plymouth,Biden +16,100%,"37,336","19,638"
Lynn,Biden +40,100%,"35,777",Ñ
New Bedford,Biden +24,100%,"34,877",Ñ
Weymouth,Biden +22,100%,"32,827",Ñ
Haverhill,Biden +20,100%,"32,401",Ñ
Framingham,Biden +50,100%,"32,048",Ñ
Medford,Biden +50,100%,"31,713",Ñ
Fall River,Biden +12,100%,"31,616",Ñ
Brookline,Biden +76,100%,"31,084",Ñ
Peabody,Biden +14,100%,"30,090",Ñ
Waltham,Biden +44,100%,"28,896",Ñ
Arlington,Biden +68,100%,"28,551",Ñ
Barnstable,Biden +18,100%,"28,427",Ñ
Taunton,Biden +14,100%,"26,773",Ñ
Methuen,Biden +12,100%,"25,919",Ñ
Chicopee,Biden +15,100%,"25,795",Ñ
Malden,Biden +51,100%,"25,623",Ñ
Billerica,Biden +11,100%,"24,644",Ñ
Beverly,Biden +39,100%,"24,450",Ñ
Salem,Biden +52,100%,"24,018",Ñ
Attleboro,Biden +19,100%,"23,555",Ñ
Lawrence,Biden +48,100%,"23,208",Ñ
Woburn,Biden +23,100%,"22,418",Ñ
Chelmsford,Biden +27,100%,"22,349",Ñ
Pittsfield,Biden +52,100%,"21,942",Ñ
Falmouth,Biden +31,100%,"21,890",Ñ
Braintree,Biden +18,100%,"21,795",Ñ
Natick,Biden +52,100%,"21,776",Ñ
Andover,Biden +36,100%,"21,743",Ñ
Leominster,Biden +17,100%,"21,525",Ñ
Shrewsbury,Biden +31,100%,"21,131",Ñ
Revere,Biden +29,100%,"20,890",Ñ
Westfield,Biden +1.7,100%,"20,685",Ñ
Franklin,Biden +25,100%,"20,346",Ñ
Needham,Biden +57,100%,"20,113","15,938"
Lexington,Biden +65,100%,"20,048",Ñ
Watertown,Biden +58,100%,"19,227",Ñ
Marlborough,Biden +34,100%,"19,143",Ñ
Tewksbury,Biden +6,100%,"19,137","10,261"
Melrose,Biden +47,100%,"18,241",Ñ
Gloucester,Biden +36,100%,"18,159",Ñ
North Andover,Biden +25,100%,"18,012",Ñ
Northampton,Biden +77,100%,"17,925",Ñ
Dartmouth,Biden +11,100%,"17,884","8,597"
Dracut,Trump +0.59,100%,"17,845",Ñ
Milton,Biden +48,100%,"17,654",Ñ
Marshfield,Biden +12,100%,"17,482",Ñ
Randolph,Biden +58,100%,"17,455",Ñ
Norwood,Biden +31,100%,"17,453","8,400"
North Attleborough,Biden +16,100%,"17,191",Ñ
Reading,Biden +34,100%,"16,952",Ñ
Danvers,Biden +18,100%,"16,907",Ñ
Wakefield,Biden +25,100%,"16,623",Ñ
Fitchburg,Biden +22,100%,"16,509",Ñ
Wellesley,Biden +57,100%,"16,342",Ñ
Holyoke,Biden +39,100%,"16,313",Ñ
Hingham,Biden +36,100%,"16,229","10,499"
Agawam,Trump +1.7,100%,"16,185",Ñ
Walpole,Biden +20,100%,"16,166",Ñ
Dedham,Biden +38,100%,"15,867",Ñ
Saugus,Biden +3,100%,"15,797",Ñ
Stoughton,Biden +33,100%,"15,623",Ñ
Yarmouth,Biden +20,100%,"15,452",Ñ
Belmont,Biden +59,100%,"15,356",Ñ
Burlington,Biden +25,100%,"15,346",Ñ
Westford,Biden +36,100%,"15,298",Ñ
Everett,Biden +43,100%,"14,817",Ñ
Wilmington,Biden +11,100%,"14,806",Ñ
Bridgewater,Biden +8,100%,"14,616",Ñ
Milford,Biden +22,100%,"14,580",Ñ
Mansfield,Biden +27,100%,"14,537",Ñ
Easton,Biden +22,100%,"14,519",Ñ
Canton,Biden +29,100%,"14,485",Ñ
Stoneham,Biden +23,100%,"14,322",Ñ
Marblehead,Biden +45,100%,"14,234",Ñ
Sandwich,Biden +12,100%,"14,061",Ñ
Acton,Biden +62,100%,"13,927",Ñ
Winchester,Biden +44,100%,"13,870",Ñ
Middleborough,Trump +6,100%,"13,857",Ñ
Scituate,Biden +30,100%,"13,530",Ñ
West Springfield,Biden +8,100%,"13,513",Ñ
Wareham,Biden +11,100%,"12,726",Ñ
Newburyport,Biden +47,100%,"12,708",Ñ
Holden,Biden +18,100%,"12,654",Ñ
Sudbury,Biden +54,100%,"12,354",Ñ
Concord,Biden +65,100%,"12,311",Ñ
Bourne,Biden +10,100%,"12,119",Ñ
Amherst,Biden +83,100%,"11,871",Ñ
Pembroke,Biden +8,100%,"11,753",Ñ
Sharon,Biden +53,100%,"11,617",Ñ
Hudson,Biden +31,100%,"11,583",Ñ
Grafton,Biden +27,100%,"11,453",Ñ
Ludlow,Trump +2,100%,"11,384",Ñ
Foxborough,Biden +21,100%,"11,346",Ñ
Duxbury,Biden +26,100%,"11,219",Ñ
Somerset,Biden +6,100%,"11,122",Ñ
Norton,Biden +11,100%,"10,974",Ñ
Westborough,Biden +45,100%,"10,636",Ñ
Easthampton,Biden +50,100%,"10,592",Ñ
Westport,Biden +3,100%,"10,546",Ñ
Westwood,Biden +32,100%,"10,545",Ñ
Chelsea,Biden +56,100%,"10,524",Ñ
Ashland,Biden +42,100%,"10,444",Ñ
Amesbury,Biden +33,100%,"10,395",Ñ
Longmeadow,Biden +31,100%,"10,395",Ñ
Dennis,Biden +22,100%,"10,321",Ñ
Hopkinton,Biden +39,100%,"10,296",Ñ
Mashpee,Biden +18,100%,"10,263",Ñ
