County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Wayne,Biden +38,D+37.1,100%,"872,469","562,974"
Oakland,Biden +14,D+8.1,100%,"770,351","511,088"
Macomb,Trump +8,R+11.5,100%,"494,256",Ñ
Kent,Biden +6,R+3.1,100%,"361,048",Ñ
Genesee,Biden +9,D+9.4,100%,"221,360","97,243"
Washtenaw,Biden +47,D+41,100%,"216,418","155,454"
Ottawa,Trump +21,R+30.2,100%,"168,713",Ñ
Ingham,Biden +32,D+26.7,100%,"144,550",Ñ
Kalamazoo,Biden +19,D+12.8,100%,"143,414",Ñ
Livingston,Trump +23,R+29.4,100%,"127,197","76,370"
Saginaw,Biden +0.29,R+1.1,100%,"103,349",Ñ
Muskegon,Biden +0.55,D+1.5,100%,"92,444","47,732"
St. Clair,Trump +30,R+31.4,100%,"92,064",Ñ
Monroe,Trump +23,R+22,100%,"87,148",Ñ
Berrien,Trump +7,R+12.7,100%,"82,391",Ñ
Jackson,Trump +19,R+20,100%,"80,861",Ñ
Allegan,Trump +25,R+28.7,100%,"67,094",Ñ
Calhoun,Trump +11,R+12.5,100%,"66,281",Ñ
Eaton,Trump +0.78,R+4.7,100%,"64,327","33,627"
Bay,Trump +12,R+12.6,100%,"60,255",Ñ
Grand Traverse,Trump +3,R+12.4,100%,"60,236","24,115"
Lenawee,Trump +20,R+20.9,100%,"53,375",Ñ
Lapeer,Trump +36,R+38.3,100%,"52,650","14,351"
Midland,Trump +15,R+19.2,100%,"49,088",Ñ
Clinton,Trump +7,R+12.6,100%,"47,927","4,519"
Shiawassee,Trump +20,R+19.6,100%,"39,224",Ñ
Van Buren,Trump +12,R+13.9,100%,"39,066",Ñ
Marquette,Biden +11,D+4.2,100%,"37,462",Ñ
Barry,Trump +33,R+33.1,100%,"35,905",Ñ
Ionia,Trump +30,R+30.6,100%,"32,209",Ñ
Montcalm,Trump +38,R+33.8,100%,"32,100",Ñ
Tuscola,Trump +39,R+37.3,100%,"29,445",Ñ
Isabella,Trump +3,R+3.7,100%,"29,421",Ñ
St. Joseph,Trump +32,R+30.7,100%,"27,936",Ñ
Newaygo,Trump +40,R+39.3,100%,"27,161",Ñ
Cass,Trump +29,R+30.9,100%,"26,216",Ñ
Hillsdale,Trump +48,R+46.6,100%,"23,302",Ñ
Sanilac,Trump +46,R+44.5,100%,"22,446",Ñ
Emmet,Trump +11,R+19.2,100%,"22,177","6,637"
Delta,Trump +26,R+25.2,100%,"21,151",Ñ
Mecosta,Trump +28,R+25.9,100%,"21,049",Ñ
Branch,Trump +38,R+38.1,100%,"20,536",Ñ
Gratiot,Trump +28,R+25.6,100%,"19,127",Ñ
Houghton,Trump +14,R+15.6,100%,"18,501",Ñ
Huron,Trump +39,R+38.3,100%,"18,437",Ñ
Wexford,Trump +34,R+36.2,100%,"18,265",Ñ
Chippewa,Trump +23,R+24.1,100%,"17,642",Ñ
Mason,Trump +20,R+21.8,100%,"17,254",Ñ
Charlevoix,Trump +17,R+24.1,100%,"17,000",Ñ
Alpena,Trump +28,R+28.5,100%,"16,969",Ñ
Leelanau,Biden +5,R+3.1,100%,"16,900","9,226"
Clare,Trump +35,R+31.6,100%,"16,281",Ñ
Antrim,Trump +24,R+29.4,100%,"15,949",Ñ
Cheboygan,Trump +30,R+32,100%,"15,868",Ñ
Iosco,Trump +29,R+29.8,100%,"15,363",Ñ
Roscommon,Trump +30,R+29.4,100%,"15,018",Ñ
Otsego,Trump +34,R+37.4,100%,"14,757",Ñ
Manistee,Trump +15,R+15.3,100%,"14,655","4,938"
Gladwin,Trump +37,R+34.5,100%,"14,603",Ñ
Dickinson,Trump +33,R+35.2,100%,"14,589",Ñ
Oceana,Trump +28,R+27.3,100%,"14,062",Ñ
Menominee,Trump +30,R+29.2,100%,"12,607",Ñ
Osceola,Trump +46,R+43.7,100%,"12,329",Ñ
Benzie,Trump +9,R+14,100%,"12,262",Ñ
Ogemaw,Trump +40,R+36.4,100%,"11,907",Ñ
Kalkaska,Trump +42,R+43.4,100%,"10,631",Ñ
Arenac,Trump +36,R+33.2,100%,"8,831",Ñ
Missaukee,Trump +53,R+52.2,100%,"8,755",Ñ
Presque Isle,Trump +29,R+28.8,100%,"8,344",Ñ
Gogebic,Trump +12,R+14.8,100%,"8,266",Ñ
Crawford,Trump +31,R+32.8,100%,"7,861",Ñ
Alcona,Trump +38,R+39.8,100%,"7,064",Ñ
Mackinac,Trump +24,R+27,100%,"7,015",Ñ
Iron,Trump +25,R+28,100%,"6,789",Ñ
Lake,Trump +26,R+22.8,100%,"6,323",Ñ
Montmorency,Trump +43,R+43.9,100%,"5,859",Ñ
Alger,Trump +19,R+20.4,100%,"5,128",Ñ
Oscoda,Trump +44,R+44,100%,"4,874",Ñ
Schoolcraft,Trump +32,R+28.4,100%,"4,745",Ñ
Baraga,Trump +26,R+28.5,100%,"4,038",Ñ
Ontonagon,Trump +25,R+25.9,100%,"3,804",Ñ
Luce,Trump +42,R+41.5,100%,"3,001",Ñ
Keweenaw,Trump +12,R+20,100%,"1,557",Ñ
