County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Winona,Biden +0.39,R+2.9,86%,"27,173",Ñ
St. Louis,Biden +16,D+11.7,90%,"119,531",Ñ
Nicollet,Biden +3,R+3,90%,"19,125",Ñ
Blue Earth,Biden +4,R+3.7,91%,"36,051",Ñ
Lake,Biden +4,D+2.2,91%,"7,202",Ñ
Ramsey,Biden +45,D+39.1,92%,"295,977",Ñ
Stearns,Trump +22,R+27.7,92%,"84,835",Ñ
Lincoln,Trump +38,R+35.5,93%,"3,115",Ñ
Freeborn,Trump +16,R+17.2,94%,"16,818",Ñ
Martin,Trump +38,R+41.1,94%,"11,009","5,247"
Traverse,Trump +27,R+23.3,94%,"1,864",Ñ
Rice,Trump +0.17,R+3.1,95%,"35,686",Ñ
Clay,Biden +4,R+1.9,95%,"32,239",Ñ
Beltrami,Trump +3,R+9.7,95%,"24,189",Ñ
Steele,Trump +22,R+25.8,95%,"21,128","8,156"
Mower,Trump +6,R+7.8,95%,"19,345",Ñ
Cottonwood,Trump +38,R+35,95%,"6,107",Ñ
Watonwan,Trump +21,R+19.1,95%,"5,201",Ñ
Swift,Trump +30,R+25.6,95%,"5,193",Ñ
Lac Qui Parle,Trump +27,R+25.6,95%,"4,040",Ñ
Hennepin,Biden +43,D+34.9,96%,"755,969",Ñ
Goodhue,Trump +15,R+17.9,96%,"28,636",Ñ
Douglas,Trump +33,R+35.5,96%,"24,165",Ñ
Polk,Trump +28,R+28.8,96%,"15,594","10,731"
Faribault,Trump +34,R+33.8,96%,"7,914",Ñ
Jackson,Trump +38,R+38.6,96%,"5,819",Ñ
Yellow Medicine,Trump +37,R+35.2,96%,"5,528",Ñ
Murray,Trump +39,R+36,96%,"4,896",Ñ
Otter Tail,Trump +33,R+35.7,97%,"36,399",Ñ
Kandiyohi,Trump +26,R+25.3,97%,"23,367",Ñ
Hubbard,Trump +29,R+33.4,97%,"12,965",Ñ
Wilkin,Trump +38,R+37.4,97%,"3,430",Ñ
Dakota,Biden +14,D+4.6,98%,"262,259",Ñ
Olmsted,Biden +11,D+0.7,98%,"91,385",Ñ
Houston,Trump +13,R+13.9,98%,"11,440",Ñ
Grant,Trump +27,R+27.6,98%,"3,654",Ñ
Norman,Trump +16,R+13.3,98%,"3,441",Ñ
Sherburne,Trump +33,R+36.8,99%,"55,612",Ñ
Brown,Trump +33,R+35.9,99%,"14,635",Ñ
Chippewa,Trump +31,R+28.7,99%,"6,611",Ñ
Marshall,Trump +47,R+41.2,99%,"5,113",Ñ
Anoka,Trump +1.9,R+9.6,100%,"211,132",Ñ
Washington,Biden +9,D+1.8,100%,"166,786",Ñ
Scott,Trump +7,R+15.3,100%,"87,965",Ñ
Wright,Trump +29,R+33,100%,"82,426",Ñ
Carver,Trump +5,R+13.6,100%,"66,361",Ñ
Crow Wing,Trump +30,R+31.5,100%,"40,173",Ñ
Chisago,Trump +29,R+30.3,100%,"34,570",Ñ
Itasca,Trump +17,R+16.4,100%,"26,561",Ñ
Isanti,Trump +39,R+38,100%,"24,235",Ñ
Benton,Trump +32,R+36.1,100%,"22,260",Ñ
McLeod,Trump +36,R+38.2,100%,"20,933",Ñ
Carlton,Biden +1.5,D+1.6,100%,"20,369",Ñ
Morrison,Trump +53,R+52.7,100%,"19,558",Ñ
Becker,Trump +30,R+32.9,100%,"19,401","6,296"
Cass,Trump +29,R+31.5,100%,"18,289",Ñ
Le Sueur,Trump +30,R+30.5,100%,"16,818",Ñ
Pine,Trump +30,R+26.1,100%,"16,001",Ñ
Mille Lacs,Trump +38,R+35.6,100%,"14,689",Ñ
Meeker,Trump +41,R+40,100%,"13,529",Ñ
Todd,Trump +49,R+47.5,100%,"13,257",Ñ
Wabasha,Trump +26,R+26.4,100%,"13,123",Ñ
Lyon,Trump +26,R+28.1,100%,"12,893",Ñ
Dodge,Trump +30,R+32.1,100%,"12,187",Ñ
Fillmore,Trump +23,R+21.7,100%,"12,141",Ñ
Waseca,Trump +30,R+32.4,100%,"10,389",Ñ
Aitkin,Trump +26,R+25.8,100%,"10,025",Ñ
Kanabec,Trump +38,R+35.5,100%,"9,242",Ñ
Nobles,Trump +31,R+29.7,100%,"8,715",Ñ
Sibley,Trump +41,R+41.7,100%,"8,452",Ñ
Roseau,Trump +46,R+46.1,100%,"8,421",Ñ
Redwood,Trump +41,R+42.7,100%,"8,284",Ñ
Renville,Trump +37,R+36.5,100%,"8,128",Ñ
Wadena,Trump +46,R+45.5,100%,"7,677",Ñ
Pennington,Trump +27,R+27.6,100%,"7,277",Ñ
Pope,Trump +28,R+26.7,100%,"7,022",Ñ
Koochiching,Trump +21,R+19.8,100%,"6,922",Ñ
Rock,Trump +39,R+35.5,100%,"5,240",Ñ
Stevens,Trump +22,R+12.7,100%,"5,085",Ñ
Pipestone,Trump +45,R+46,100%,"4,940",Ñ
Clearwater,Trump +45,R+43,100%,"4,708",Ñ
Cook,Biden +34,D+22.3,100%,"3,806",Ñ
Big Stone,Trump +27,R+24.9,100%,"2,974",Ñ
Kittson,Trump +20,R+22.1,100%,"2,639",Ñ
Lake of the Woods,Trump +43,R+44,100%,"2,408",Ñ
Mahnomen,Trump +1.3,R+2.9,100%,"2,304",Ñ
Red Lake,Trump +35,R+32,100%,"2,196",Ñ
,,,,,
