County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Shannon,Trump +63,R+56.1,95%,"3,906",638
St. Clair,Trump +59,R+55.4,96%,"4,974",731
Platte,Trump +3,R+11.8,98%,"57,270",Ñ
Shelby,Trump +63,R+58.6,98%,"3,350",663
St. Louis County,Biden +24,D+16.2,100%,"536,446","217,382"
Jackson,Biden +22,D+17.3,100%,"333,063",Ñ
St. Charles,Trump +18,R+26.1,100%,"222,017",Ñ
Greene,Trump +20,R+27.1,100%,"141,800","29,406"
St. Louis City,Biden +66,D+63,100%,"133,867","46,877"
Clay,Trump +4,R+10.9,100%,"126,569",Ñ
Jefferson,Trump +34,R+35,100%,"116,688","32,496"
Boone,Biden +13,D+5.9,100%,"91,168",Ñ
Cass,Trump +32,R+35.5,100%,"57,408",Ñ
Franklin,Trump +44,R+45.7,100%,"53,685","10,101"
Jasper,Trump +46,R+50.7,100%,"52,352",Ñ
Christian,Trump +51,R+53.6,100%,"46,839",Ñ
Cape Girardeau,Trump +45,R+49.7,100%,"40,328",Ñ
Cole,Trump +34,R+36.4,100%,"39,529",Ñ
Buchanan,Trump +25,R+25.9,100%,"36,598",Ñ
Lincoln,Trump +53,R+50.1,100%,"29,018",Ñ
Newton,Trump +57,R+58.1,100%,"28,405","6,186"
St. Francois,Trump +48,R+45,100%,"28,001",Ñ
Taney,Trump +58,R+58.7,100%,"26,288","5,825"
Camden,Trump +53,R+53.7,100%,"24,812","6,636"
Johnson,Trump +37,R+36.5,100%,"23,123",Ñ
Callaway,Trump +42,R+41.7,100%,"21,144","4,498"
Phelps,Trump +40,R+42.4,100%,"19,568",Ñ
Pettis,Trump +47,R+46.6,100%,"19,097",Ñ
Webster,Trump +60,R+57.7,100%,"18,779","7,417"
Howell,Trump +64,R+63.1,100%,"18,650",Ñ
Stone,Trump +61,R+61.7,100%,"18,483",Ñ
Warren,Trump +46,R+45.6,100%,"18,375",Ñ
Butler,Trump +62,R+61.5,100%,"18,141",Ñ
Lawrence,Trump +63,R+60.6,100%,"17,905","2,910"
Scott,Trump +57,R+55.3,100%,"17,719",Ñ
Lafayette,Trump +46,R+43.4,100%,"17,055",Ñ
LaClede,Trump +65,R+64,100%,"16,793",Ñ
Barry,Trump +61,R+59.7,100%,"15,598",Ñ
Polk,Trump +60,R+56.7,100%,"15,064",Ñ
Pulaski,Trump +46,R+51.2,100%,"14,414",Ñ
Stoddard,Trump +72,R+69.2,100%,"13,426","3,792"
Marion,Trump +50,R+49.7,100%,"13,348",Ñ
Miller,Trump +66,R+65.6,100%,"12,382",Ñ
Ray,Trump +45,R+36.7,100%,"11,649","2,777"
Texas,Trump +69,R+65.2,100%,"11,315","2,038"
Crawford,Trump +60,R+59.5,100%,"10,973",Ñ
Clinton,Trump +45,R+43.6,100%,"10,888",Ñ
Henry,Trump +50,R+47.6,100%,"10,788",Ñ
Randolph,Trump +51,R+50.4,100%,"10,744",Ñ
Audrain,Trump +47,R+43.5,100%,"10,656",Ñ
Benton,Trump +57,R+54.1,100%,"10,476",Ñ
Dunklin,Trump +57,R+53.6,100%,"10,419",Ñ
Adair,Trump +26,R+24.7,100%,"10,336",Ñ
Washington,Trump +63,R+54.9,100%,"9,976",Ñ
Nodaway,Trump +41,R+40.7,100%,"9,893",Ñ
Andrew,Trump +50,R+50.3,100%,"9,752",Ñ
Saline,Trump +37,R+34.4,100%,"9,519","1,991"
Morgan,Trump +58,R+56.6,100%,"9,487",Ñ
Ste. Genevieve,Trump +41,R+34.7,100%,"9,484","1,918"
Perry,Trump +63,R+61.6,100%,"9,447","1,647"
Vernon,Trump +57,R+55.9,100%,"9,185",Ñ
McDonald,Trump +67,R+63.5,100%,"9,053","1,737"
Wright,Trump +72,R+68.2,100%,"8,739",Ñ
Cooper,Trump +46,R+46.2,100%,"8,693","1,386"
Bates,Trump +59,R+54.2,100%,"8,416",Ñ
Dallas,Trump +65,R+62,100%,"8,104",Ñ
Gasconade,Trump +58,R+55.7,100%,"7,923",804
Macon,Trump +56,R+55.7,100%,"7,836",Ñ
Pike,Trump +54,R+46.7,100%,"7,695",Ñ
Osage,Trump +71,R+68.5,100%,"7,539",Ñ
New Madrid,Trump +51,R+45.4,100%,"7,250",Ñ
Moniteau,Trump +62,R+60.2,100%,"7,157",Ñ
Dent,Trump +69,R+68.1,100%,"7,142",Ñ
Cedar,Trump +66,R+63.4,100%,"7,044","1,374"
Douglas,Trump +70,R+67.5,100%,"7,000",Ñ
Livingston,Trump +57,R+56.3,100%,"6,758",Ñ
Barton,Trump +71,R+70.1,100%,"6,077","1,052"
Bollinger,Trump +74,R+72.6,100%,"5,983",Ñ
Wayne,Trump +70,R+64.4,100%,"5,878",Ñ
Montgomery,Trump +56,R+55.4,100%,"5,772",749
Pemiscot,Trump +45,R+33.4,100%,"5,735",Ñ
Linn,Trump +54,R+51,100%,"5,726",Ñ
Ripley,Trump +70,R+66.8,100%,"5,717",Ñ
Madison,Trump +63,R+58.2,100%,"5,676",Ñ
Ralls,Trump +56,R+53.5,100%,"5,662",Ñ
Howard,Trump +42,R+41,100%,"5,092",Ñ
Hickory,Trump +57,R+53.1,100%,"5,080",Ñ
Ozark,Trump +68,R+64.7,100%,"4,864",Ñ
DeKalb,Trump +60,R+58.7,100%,"4,843",Ñ
Maries,Trump +65,R+61.5,100%,"4,771",708
Mississippi,Trump +50,R+41.4,100%,"4,756",Ñ
Oregon,Trump +64,R+60.1,100%,"4,739",Ñ
Caldwell,Trump +60,R+55.5,100%,"4,682",Ñ
Lewis,Trump +56,R+53.8,100%,"4,609",Ñ
Iron,Trump +58,R+52.5,100%,"4,592",Ñ
Carroll,Trump +64,R+62.7,100%,"4,532",Ñ
Monroe,Trump +57,R+55.5,100%,"4,483",Ñ
Grundy,Trump +63,R+60.6,100%,"4,437",Ñ
Dade,Trump +67,R+64.5,100%,"4,119",Ñ
Chariton,Trump +54,R+52,100%,"4,077",540
Daviess,Trump +60,R+54.5,100%,"3,911",Ñ
Harrison,Trump +68,R+64.8,100%,"3,826",Ñ
Clark,Trump +59,R+52.3,100%,"3,394",Ñ
Reynolds,Trump +67,R+61.4,100%,"3,298",Ñ
Gentry,Trump +61,R+55.8,100%,"3,237",Ñ
Carter,Trump +70,R+66.2,100%,"2,897",538
Atchison,Trump +58,R+55.6,100%,"2,814","2,814"
Sullivan,Trump +61,R+54.6,100%,"2,471",Ñ
Putnam,Trump +69,R+67.5,100%,"2,361",Ñ
Holt,Trump +70,R+67,100%,"2,343",Ñ
Schuyler,Trump +62,R+59.5,100%,"2,003",Ñ
Scotland,Trump +59,R+58.6,100%,"1,984",459
Knox,Trump +62,R+55.5,100%,"1,854",Ñ
Mercer,Trump +74,R+72.8,100%,"1,779",Ñ
Worth,Trump +60,R+58.6,100%,"1,107",Ñ
