County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Daniels,Trump +60,R+58.4,98%,"1,014",Ñ
Hill,Trump +14,R+17.2,99%,"7,182",Ñ
Glacier,Biden +31,D+29.6,99%,"5,639",Ñ
Blaine,Biden +4,R+2.5,99%,"3,117",Ñ
Chouteau,Trump +30,R+36.4,99%,"2,974",Ñ
Sweet Grass,Trump +53,R+56.6,99%,"2,446",Ñ
Meagher,Trump +52,R+54.9,99%,"1,110",Ñ
Treasure,Trump +64,R+65.9,99%,460,Ñ
Yellowstone,Trump +24,R+26.6,100%,"83,821",Ñ
Missoula,Biden +24,D+15.3,100%,"71,986",Ñ
Gallatin,Biden +7,D+0.8,100%,"71,507",Ñ
Flathead,Trump +30,R+35.7,100%,"60,258",Ñ
Lewis and Clark,Trump +4,R+6.8,100%,"42,485",Ñ
Cascade,Trump +20,R+21.6,100%,"39,885",Ñ
Ravalli,Trump +36,R+38.1,100%,"28,507",Ñ
Silver Bow,Biden +14,D+13.6,100%,"18,827",Ñ
Lake,Trump +14,R+20.9,100%,"16,626",Ñ
Lincoln,Trump +50,R+50.2,100%,"11,747",Ñ
Park,Trump +6,R+14.8,100%,"11,618",Ñ
Jefferson,Trump +33,R+32.5,100%,"8,191",Ñ
Sanders,Trump +50,R+51.5,100%,"7,652",Ñ
Carbon,Trump +29,R+32,100%,"7,101",Ñ
Fergus,Trump +52,R+52.5,100%,"6,531",Ñ
Madison,Trump +40,R+44.6,100%,"6,113",Ñ
Custer,Trump +46,R+47.8,100%,"5,883",Ñ
Richland,Trump +68,R+66.5,100%,"5,798",Ñ
Stillwater,Trump +58,R+56.5,100%,"5,741",Ñ
Beaverhead,Trump +41,R+45.6,100%,"5,661",Ñ
Deer Lodge,Biden +8,D+7,100%,"4,891",Ñ
Dawson,Trump +58,R+57.5,100%,"4,837",Ñ
Big Horn,Biden +6,D+5.7,100%,"4,784",Ñ
Valley,Trump +49,R+46.5,100%,"4,272",Ñ
Broadwater,Trump +57,R+56.7,100%,"4,097",Ñ
Roosevelt,Trump +2,R+6.5,100%,"4,028",Ñ
Rosebud,Trump +34,R+36.7,100%,"3,784",Ñ
Teton,Trump +43,R+42.7,100%,"3,695",Ñ
Powell,Trump +50,R+52.9,100%,"3,195",Ñ
Pondera,Trump +38,R+39,100%,"2,995",Ñ
Musselshell,Trump +70,R+67,100%,"2,881",Ñ
Mineral,Trump +45,R+40.3,100%,"2,563",Ñ
Phillips,Trump +64,R+64.7,100%,"2,386",Ñ
Toole,Trump +53,R+53.8,100%,"2,123",Ñ
Granite,Trump +37,R+40.5,100%,"2,102",Ñ
Sheridan,Trump +41,R+41.6,100%,"2,030",Ñ
Fallon,Trump +76,R+75.8,100%,"1,575",Ñ
Judith Basin,Trump +57,R+52.7,100%,"1,344",Ñ
Powder River,Trump +72,R+71.9,100%,"1,136",Ñ
McCone,Trump +71,R+64.7,100%,"1,128",Ñ
Liberty,Trump +53,R+51.2,100%,"1,083",Ñ
Wheatland,Trump +56,R+55.3,100%,"1,068",Ñ
Carter,Trump +81,R+77.4,100%,864,Ñ
Garfield,Trump +89,R+86.2,100%,813,Ñ
Prairie,Trump +64,R+66.2,100%,744,Ñ
Wibaux,Trump +73,R+75.4,100%,598,Ñ
Golden Valley,Trump +67,R+62,100%,503,Ñ
Petroleum,Trump +74,R+77,100%,351,Ñ
