County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Douglas,Biden +11,D+2.4,100%,"276,540",Ñ
Lancaster,Biden +8,D+0.2,100%,"157,215","84,001"
Sarpy,Trump +11,R+21.2,100%,"96,193",Ñ
Hall,Trump +35,R+36.8,100%,"24,450",Ñ
Buffalo,Trump +43,R+46.4,100%,"23,711","9,661"
Lincoln,Trump +55,R+57.3,100%,"17,163","8,050"
Dodge,Trump +32,R+34.7,100%,"16,938",Ñ
Madison,Trump +53,R+55.2,100%,"15,819",Ñ
Platte,Trump +57,R+57.6,100%,"15,721",Ñ
Scotts Bluff,Trump +44,R+48,100%,"15,524","7,041"
Cass,Trump +35,R+38.4,100%,"15,326","5,865"
Adams,Trump +40,R+44.3,100%,"14,653","6,766"
Saunders,Trump +45,R+46.3,100%,"12,786",Ñ
Washington,Trump +40,R+44.3,100%,"12,467",Ñ
Gage,Trump +37,R+34.3,100%,"11,119",Ñ
Seward,Trump +44,R+45.2,100%,"9,199",Ñ
Dawson,Trump +44,R+44.6,100%,"9,191","3,382"
Otoe,Trump +38,R+38,100%,"8,355","3,828"
York,Trump +52,R+55.1,100%,"7,161",Ñ
Dakota,Trump +17,R+20.7,100%,"6,817",Ñ
Custer,Trump +72,R+71.7,100%,"6,010",Ñ
Saline,Trump +28,R+24.7,100%,"5,780",Ñ
Hamilton,Trump +57,R+58.1,100%,"5,566",Ñ
Holt,Trump +74,R+74.7,100%,"5,550",Ñ
Red Willow,Trump +68,R+69.8,100%,"5,470",Ñ
Box Butte,Trump +57,R+53.9,100%,"5,200",Ñ
Phelps,Trump +68,R+69.8,100%,"5,021",Ñ
Cedar,Trump +69,R+67,100%,"5,015",Ñ
Cheyenne,Trump +62,R+62.7,100%,"4,776",Ñ
Knox,Trump +60,R+60,100%,"4,708",Ñ
Butler,Trump +59,R+60,100%,"4,518",Ñ
Cuming,Trump +59,R+59,100%,"4,459",Ñ
Keith,Trump +64,R+66,100%,"4,369",Ñ
Merrick,Trump +62,R+61.4,100%,"4,282",Ñ
Wayne,Trump +48,R+49.2,100%,"4,218",Ñ
Dawes,Trump +45,R+49.8,100%,"4,151",Ñ
Richardson,Trump +50,R+51.3,100%,"4,134",Ñ
Pierce,Trump +74,R+73.6,100%,"4,012",Ñ
Burt,Trump +41,R+40.4,100%,"3,739",Ñ
Jefferson,Trump +43,R+44.7,100%,"3,730",Ñ
Colfax,Trump +43,R+40.8,100%,"3,726","1,506"
Kearney,Trump +59,R+60.1,100%,"3,617",Ñ
Antelope,Trump +74,R+71.6,100%,"3,583",Ñ
Clay,Trump +62,R+63.5,100%,"3,570",Ñ
Howard,Trump +61,R+58.1,100%,"3,511",Ñ
Nemaha,Trump +44,R+42.1,100%,"3,432",Ñ
Cherry,Trump +76,R+74,100%,"3,269",Ñ
Boone,Trump +67,R+64.9,100%,"3,226",Ñ
Stanton,Trump +64,R+63.2,100%,"3,165",Ñ
Fillmore,Trump +53,R+51.6,100%,"3,148",Ñ
Dixon,Trump +54,R+53.4,100%,"3,094",Ñ
Thayer,Trump +56,R+57.7,100%,"2,989",Ñ
Polk,Trump +61,R+62.5,100%,"2,887",Ñ
Sheridan,Trump +73,R+73.8,100%,"2,684",Ñ
Furnas,Trump +68,R+69.1,100%,"2,602",Ñ
Morrill,Trump +68,R+68.7,100%,"2,558",Ñ
Thurston,Trump +2,R+5.9,100%,"2,379",Ñ
Valley,Trump +64,R+65.4,100%,"2,344",Ñ
Nuckolls,Trump +63,R+62.3,100%,"2,305",Ñ
Johnson,Trump +39,R+37.9,100%,"2,233",Ñ
Chase,Trump +76,R+77.8,100%,"2,000",Ñ
Harlan,Trump +69,R+67.8,100%,"1,934",Ñ
Kimball,Trump +69,R+65.6,100%,"1,877",Ñ
Webster,Trump +63,R+60,100%,"1,876",Ñ
Nance,Trump +59,R+60.5,100%,"1,832",Ñ
Franklin,Trump +67,R+65.6,100%,"1,728",Ñ
Sherman,Trump +58,R+51.5,100%,"1,700",Ñ
Brown,Trump +76,R+77.1,100%,"1,684",Ñ
Perkins,Trump +73,R+72.6,100%,"1,545",850
Hitchcock,Trump +74,R+73,100%,"1,470",Ñ
Frontier,Trump +72,R+71.5,100%,"1,446",Ñ
Pawnee,Trump +52,R+52.4,100%,"1,429",Ñ
Greeley,Trump +63,R+59.7,100%,"1,259",Ñ
Garden,Trump +71,R+66.6,100%,"1,200",Ñ
Boyd,Trump +76,R+74,100%,"1,155",Ñ
Gosper,Trump +60,R+62.2,100%,"1,121",Ñ
Garfield,Trump +74,R+71.4,100%,"1,076",Ñ
Deuel,Trump +71,R+70,100%,"1,034",Ñ
Dundy,Trump +78,R+77,100%,"1,003",Ñ
Rock,Trump +78,R+77.3,100%,842,Ñ
Sioux,Trump +78,R+72.7,100%,731,Ñ
Hayes,Trump +86,R+86,100%,536,Ñ
Keya Paha,Trump +81,R+80.9,100%,530,Ñ
Wheeler,Trump +75,R+67.7,100%,503,Ñ
Loup,Trump +65,R+71.4,100%,454,Ñ
Logan,Trump +82,R+81.2,100%,450,Ñ
Hooker,Trump +72,R+75.5,100%,442,Ñ
Thomas,Trump +78,R+79.9,100%,427,Ñ
Banner,Trump +78,R+84.1,100%,411,Ñ
Grant,Trump +88,R+85.7,100%,402,Ñ
Blaine,Trump +77,R+77.6,100%,317,Ñ
McPherson,Trump +85,R+84.7,100%,302,Ñ
Arthur,Trump +84,R+83.2,100%,285,Ñ
