County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Clark,Biden +9,D+10.7,100%,"972,510",Ñ
Washoe,Biden +5,D+1.2,100%,"252,142",Ñ
Douglas,Trump +29,R+32.1,100%,"34,125",Ñ
Lyon,Trump +41,R+41.5,100%,"30,238",Ñ
Carson City,Trump +11,R+14.1,100%,"29,739",Ñ
Nye,Trump +40,R+42,100%,"25,378",Ñ
Elko,Trump +55,R+54.7,100%,"21,967",Ñ
Churchill,Trump +49,R+51.4,100%,"12,890",Ñ
Humboldt,Trump +54,R+48.7,100%,"7,771",Ñ
White Pine,Trump +58,R+53.4,100%,"4,369",Ñ
Storey,Trump +35,R+33.8,100%,"2,877",Ñ
Lander,Trump +62,R+59.1,100%,"2,765",Ñ
Lincoln,Trump +71,R+65,100%,"2,446",Ñ
Mineral,Trump +25,R+27.1,100%,"2,335",Ñ
Pershing,Trump +51,R+49.1,100%,"2,320",Ñ
Eureka,Trump +78,R+76,100%,"1,017",937
Esmeralda,Trump +67,R+62.4,100%,487,Ñ
