Town,Margin,Est. votes reported,Total votes,Absentee
Wentworth's Location,Trump +50,90%,18,Ñ
Stoddard,Trump +1.3,92%,849,Ñ
Seabrook,Trump +13,95%,"4,639",Ñ
Millsfield,Trump +52,95%,21,Ñ
Columbia,Trump +34,96%,351,Ñ
Cornish,Biden +24,97%,"1,109",Ñ
New Castle,Biden +37,98%,904,Ñ
Milford,Biden +6,99%,"8,961",Ñ
Wakefield,Trump +23,99%,"3,270",Ñ
Chichester,Trump +9,99%,"1,736",Ñ
Franconia,Biden +37,99%,801,Ñ
Dalton,Trump +12,99%,528,Ñ
Manchester,Biden +14,100%,"52,606",Ñ
Nashua,Biden +20,100%,"45,281",Ñ
Concord,Biden +32,100%,"23,875",Ñ
Dover,Biden +32,100%,"19,229",Ñ
Derry,Trump +7,100%,"17,894",Ñ
Salem,Trump +13,100%,"17,841",Ñ
Rochester,Trump +1.4,100%,"16,907",Ñ
Merrimack,Biden +6,100%,"16,697",Ñ
Londonderry,Trump +1.1,100%,"15,873",Ñ
Bedford,Biden +3,100%,"14,739",Ñ
Portsmouth,Biden +46,100%,"14,701",Ñ
Hudson,Trump +8,100%,"14,641",Ñ
Keene,Biden +40,100%,"12,929",Ñ
Hampton,Biden +8,100%,"11,502",Ñ
Exeter,Biden +34,100%,"10,336",Ñ
Goffstown,Trump +0.72,100%,"10,196",Ñ
Windham,Trump +6,100%,"9,900",Ñ
Laconia,Trump +6,100%,"8,955",Ñ
Pelham,Trump +20,100%,"8,854",Ñ
Hooksett,Trump +4,100%,"8,585",Ñ
Amherst,Biden +20,100%,"8,137",Ñ
Lebanon,Biden +50,100%,"7,949",Ñ
Durham,Biden +55,100%,"7,810",Ñ
Hanover,Biden +75,100%,"7,117",Ñ
Somersworth,Biden +14,100%,"6,071",Ñ
Barrington,Biden +7,100%,"6,004",Ñ
Newmarket,Biden +34,100%,"6,004",Ñ
Raymond,Trump +19,100%,"6,000",Ñ
Conway,Biden +16,100%,"5,966",Ñ
Hampstead,Trump +14,100%,"5,897",Ñ
Hollis,Biden +14,100%,"5,825",Ñ
Claremont,Biden +1.8,100%,"5,813",Ñ
Weare,Trump +18,100%,"5,538",Ñ
Bow,Biden +20,100%,"5,512",Ñ
Stratham,Biden +22,100%,"5,485",Ñ
Litchfield,Trump +6,100%,"5,410",Ñ
Gilford,Trump +5,100%,"5,313",Ñ
Atkinson,Trump +11,100%,"5,104",Ñ
Wolfeboro,Trump +0.33,100%,"4,777",Ñ
Plaistow,Trump +10,100%,"4,617",Ñ
Rye,Biden +26,100%,"4,465",Ñ
Epping,Trump +6,100%,"4,437",Ñ
Meredith,Trump +1.6,100%,"4,407",Ñ
Peterborough,Biden +42,100%,"4,400",Ñ
Pembroke,Biden +3,100%,"4,325",Ñ
Franklin,Trump +11,100%,"4,178",Ñ
Hopkinton,Biden +31,100%,"4,163",Ñ
Kingston,Trump +14,100%,"4,102",Ñ
Berlin,Biden +7,100%,"4,065",Ñ
Belmont,Trump +19,100%,"4,052",Ñ
Sandown,Trump +16,100%,"3,975",Ñ
New Boston,Trump +5,100%,"3,934",Ñ
Auburn,Trump +16,100%,"3,930",Ñ
Alton,Trump +25,100%,"3,903",Ñ
Swanzey,Biden +6,100%,"3,830",Ñ
Loudon,Trump +18,100%,"3,725",Ñ
Moultonborough,Trump +11,100%,"3,664",Ñ
Rindge,Trump +19,100%,"3,658",Ñ
Brookline,Biden +7,100%,"3,628",Ñ
