County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Bernalillo,Biden +24,D+17.7,100%,"317,590",Ñ
Dona Ana,Biden +18,D+17.8,100%,"82,641",Ñ
Santa Fe,Biden +54,D+51,100%,"82,227",Ñ
Sandoval,Biden +8,D+2.9,100%,"76,562",Ñ
San Juan,Trump +28,R+32.7,100%,"52,294",Ñ
Valencia,Trump +10,R+8.6,100%,"32,277",Ñ
McKinley,Biden +39,D+39,100%,"26,486",Ñ
Otero,Trump +26,R+28.7,100%,"23,571",Ñ
Eddy,Trump +52,R+41.3,100%,"23,222",Ñ
Chaves,Trump +41,R+36.2,100%,"22,443",Ñ
Lea,Trump +60,R+48.4,100%,"20,918",Ñ
Taos,Biden +55,D+52,100%,"17,181",Ñ
Rio Arriba,Biden +34,D+40.3,100%,"16,628",Ñ
Curry,Trump +41,R+44.2,100%,"15,101",Ñ
Grant,Biden +7,D+7.7,100%,"14,435",Ñ
Los Alamos,Biden +27,D+20.2,100%,"12,293",Ñ
San Miguel,Biden +39,D+46.2,100%,"11,531",Ñ
Lincoln,Trump +36,R+40,100%,"10,306",Ñ
Cibola,Biden +9,D+6.8,100%,"8,903",Ñ
Luna,Trump +10,R+3.9,100%,"8,103",Ñ
Torrance,Trump +33,R+30.5,100%,"7,281",Ñ
Socorro,Biden +7,D+10.1,100%,"7,160",Ñ
Roosevelt,Trump +43,R+40.8,100%,"6,608",Ñ
Colfax,Trump +11,R+8.6,100%,"6,016",Ñ
Sierra,Trump +21,R+27,100%,"5,945",Ñ
Quay,Trump +38,R+33.5,100%,"3,873",Ñ
Mora,Biden +31,D+35.7,100%,"2,686",Ñ
Catron,Trump +47,R+50.6,100%,"2,326",Ñ
Guadalupe,Biden +14,D+20.5,100%,"2,189",Ñ
Hidalgo,Trump +15,R+6.7,100%,"1,974",Ñ
Union,Trump +56,R+52.6,100%,"1,789",Ñ
DeBaca,Trump +47,R+46.9,100%,901,Ñ
Harding,Trump +28,R+29.4,100%,505,Ñ
