County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Brooklyn,Biden +55,D+62,100%,"913,690",Ñ
Queens,Biden +45,D+53.6,100%,"788,262",Ñ
Suffolk,Trump +0.03,R+6.8,100%,"771,541",Ñ
Nassau,Biden +10,D+6.2,100%,"730,983",Ñ
Manhattan,Biden +74,D+76.9,100%,"695,263",Ñ
Erie,Biden +15,D+6.4,100%,"473,021","166,139"
Westchester,Biden +36,D+33.7,100%,"462,265",Ñ
Bronx,Biden +68,D+79.1,100%,"425,883",Ñ
Monroe,Biden +21,D+15,100%,"379,864","102,272"
Onondaga,Biden +21,D+13.8,100%,"234,735","43,741"
Staten Island,Trump +15,R+15.1,100%,"216,278",Ñ
Orange,Trump +0.18,R+5.5,100%,"172,196",Ñ
Albany,Biden +32,D+25.2,100%,"153,586",Ñ
Dutchess,Biden +10,D+0.4,100%,"150,745",Ñ
Rockland,Biden +1.7,D+6.2,100%,"150,369",Ñ
Saratoga,Biden +5,R+3.2,100%,"132,655",Ñ
Niagara,Trump +10,R+17.8,100%,"104,123",Ñ
Oneida,Trump +15,R+19.4,100%,"100,746",Ñ
Ulster,Biden +21,D+11,100%,"97,420",Ñ
Broome,Biden +3,R+2,100%,"92,794","20,377"
Rensselaer,Biden +6,R+1.4,100%,"79,286",Ñ
Schenectady,Biden +16,D+7.1,100%,"74,862",Ñ
Ontario,Trump +0.02,R+7.2,100%,"59,674",Ñ
Chautauqua,Trump +20,R+23.1,100%,"59,195",Ñ
Putnam,Trump +8,R+15.8,100%,"54,989","4,238"
Oswego,Trump +20,R+22,100%,"54,491","9,118"
Steuben,Trump +30,R+34.1,100%,"46,179",Ñ
Tompkins,Biden +49,D+43.4,100%,"45,735",Ñ
Saint Lawrence,Trump +12,R+8.8,100%,"44,800",Ñ
Wayne,Trump +20,R+25,100%,"44,727","7,289"
Jefferson,Trump +19,R+20.8,100%,"43,855",Ñ
Chemung,Trump +13,R+17.6,100%,"39,410",Ñ
Cayuga,Trump +9,R+11.6,100%,"36,421","6,137"
Warren,Trump +0.16,R+8.5,100%,"36,149",Ñ
Columbia,Biden +17,D+4.9,100%,"35,522",Ñ
Clinton,Biden +5,D+1.9,100%,"35,437",Ñ
Cattaraugus,Trump +30,R+32.7,100%,"34,760",Ñ
Sullivan,Trump +9,R+11.2,100%,"34,647",Ñ
Madison,Trump +11,R+14.2,100%,"34,038",Ñ
Livingston,Trump +18,R+22,100%,"31,401",Ñ
Herkimer,Trump +30,R+32.8,100%,"29,319",Ñ
Genesee,Trump +32,R+35.1,100%,"29,217",Ñ
Washington,Trump +16,R+18.4,100%,"28,101",Ñ
Otsego,Trump +5,R+11.1,100%,"28,010",Ñ
Greene,Trump +16,R+25.7,100%,"25,137",Ñ
Tioga,Trump +21,R+25.7,100%,"25,036","4,206"
Fulton,Trump +31,R+32.8,100%,"23,718",Ñ
Delaware,Trump +18,R+26.9,100%,"22,971",Ñ
Chenango,Trump +23,R+25.5,100%,"22,282","4,984"
Cortland,Trump +1.9,R+5.6,100%,"21,678","4,963"
Montgomery,Trump +23,R+24.7,100%,"21,134",Ñ
Allegany,Trump +39,R+40.9,100%,"20,716",Ñ
Wyoming,Trump +45,R+49.4,100%,"19,399",Ñ
Essex,Biden +5,R+1.1,100%,"19,271",Ñ
Franklin,Trump +2,R+5.5,100%,"19,268",Ñ
Orleans,Trump +36,R+39.5,100%,"18,154",Ñ
Schoharie,Trump +29,R+32.7,100%,"15,685",Ñ
Seneca,Trump +9,R+11,100%,"15,608",Ñ
Lewis,Trump +39,R+37.6,100%,"12,944",Ñ
Yates,Trump +19,R+19.9,100%,"10,701",Ñ
Schuyler,Trump +18,R+22.3,100%,"9,740",Ñ
Hamilton,Trump +30,R+34.6,100%,"3,460",Ñ
