County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Hoke,Biden +11,D+10.8,98%,"21,639","17,667"
Wake,Biden +26,D+20.2,100%,"631,830","540,112"
Mecklenburg,Biden +35,D+29.4,100%,"567,053","497,034"
Guilford,Biden +23,D+19.9,100%,"284,486","237,941"
Forsyth,Biden +14,D+10.4,100%,"201,270","168,484"
Durham,Biden +62,D+59.5,100%,"179,914","162,475"
Buncombe,Biden +21,D+14.2,100%,"161,569","141,433"
Cumberland,Biden +17,D+16,100%,"147,150","122,284"
New Hanover,Biden +2,R+3.9,100%,"131,830","112,460"
Union,Trump +24,R+30.6,100%,"131,011","109,279"
Cabarrus,Trump +9,R+19.6,100%,"117,227","97,086"
Gaston,Trump +28,R+31.8,100%,"115,498","95,763"
Johnston,Trump +24,R+30.3,100%,"111,357","91,684"
Iredell,Trump +32,R+36.4,100%,"102,371","82,806"
Brunswick,Trump +25,R+28.4,100%,"90,175","78,863"
Davidson,Trump +47,R+48.4,100%,"88,514","66,594"
Pitt,Biden +9,D+7.6,100%,"87,573","72,189"
Alamance,Trump +8,R+12.6,100%,"86,091","68,096"
Orange,Biden +51,D+50.2,100%,"84,997","75,581"
Catawba,Trump +37,R+37.5,100%,"83,425","67,978"
Rowan,Trump +36,R+36.4,100%,"73,408","57,248"
Randolph,Trump +56,R+56.1,100%,"73,316","57,973"
Onslow,Trump +30,R+34.3,100%,"72,235","56,507"
Henderson,Trump +19,R+27.5,100%,"68,371","56,513"
Moore,Trump +27,R+29.1,100%,"58,339","48,208"
Harnett,Trump +22,R+23.6,100%,"58,293","48,836"
Wayne,Trump +12,R+11.4,100%,"55,537","46,452"
Craven,Trump +19,R+21.5,100%,"53,065","44,782"
Nash,Biden +0.23,R+0.2,100%,"52,271","42,798"
Cleveland,Trump +33,R+30.3,100%,"51,308","41,583"
Lincoln,Trump +46,R+47.2,100%,"50,217","41,612"
Chatham,Biden +12,D+9.9,100%,"48,599","43,581"
Rockingham,Trump +32,R+29.8,100%,"47,809","37,450"
