County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Cass,Trump +3,R+10.5,100%,"86,053","31,659"
Burleigh,Trump +40,R+45.1,100%,"50,753","13,955"
Grand Forks,Trump +13,R+18.1,100%,"30,970","26,709"
Ward,Trump +45,R+46.8,100%,"28,246",Ñ
Morton,Trump +50,R+52.1,100%,"16,619",Ñ
Stark,Trump +64,R+64.9,100%,"15,050","6,883"
Williams,Trump +67,R+65.1,100%,"14,334",Ñ
Stutsman,Trump +43,R+41.6,100%,"9,959",Ñ
Richland,Trump +33,R+35.6,100%,"7,812",Ñ
Barnes,Trump +31,R+29.2,100%,"5,565",Ñ
McLean,Trump +54,R+52.3,100%,"5,536",Ñ
McKenzie,Trump +68,R+63.6,100%,"5,419",Ñ
Ramsey,Trump +36,R+32.3,100%,"5,372",Ñ
Walsh,Trump +42,R+39.4,100%,"4,783",Ñ
Mercer,Trump +67,R+67,100%,"4,675",Ñ
Mountrail,Trump +38,R+33.2,100%,"4,165",Ñ
Traill,Trump +25,R+26,100%,"4,136",Ñ
Rolette,Biden +32,D+23.5,100%,"3,804",Ñ
Bottineau,Trump +51,R+50.3,100%,"3,471",Ñ
Pembina,Trump +50,R+48.4,100%,"3,331",Ñ
McHenry,Trump +60,R+55.3,100%,"3,003",Ñ
Ransom,Trump +19,R+15.8,100%,"2,454",Ñ
Dickey,Trump +47,R+46.2,100%,"2,424",Ñ
Wells,Trump +61,R+57.8,100%,"2,374",Ñ
Dunn,Trump +69,R+63,100%,"2,338",Ñ
LaMoure,Trump +50,R+45.5,100%,"2,219",Ñ
Pierce,Trump +51,R+48.6,100%,"2,128",Ñ
Sargent,Trump +26,R+19.7,100%,"2,070",Ñ
Cavalier,Trump +51,R+43.9,100%,"2,020",Ñ
Emmons,Trump +75,R+73.8,100%,"2,009",Ñ
Benson,Trump +14,R+4.3,100%,"1,961",Ñ
Foster,Trump +56,R+52,100%,"1,778",Ñ
Nelson,Trump +31,R+28.5,100%,"1,777",Ñ
Bowman,Trump +70,R+68.2,100%,"1,657",Ñ
Kidder,Trump +68,R+67.7,100%,"1,460",Ñ
McIntosh,Trump +61,R+59.8,100%,"1,455",Ñ
Grant,Trump +68,R+66.8,100%,"1,381",Ñ
Renville,Trump +64,R+61.3,100%,"1,319",Ñ
Hettinger,Trump +68,R+68.1,100%,"1,312",Ñ
Adams,Trump +57,R+56.9,100%,"1,269",Ñ
Eddy,Trump +37,R+35.4,100%,"1,261",Ñ
Griggs,Trump +48,R+43.4,100%,"1,250",Ñ
Divide,Trump +53,R+51,100%,"1,202",Ñ
Sioux,Biden +46,D+40.4,100%,"1,186",Ñ
Towner,Trump +44,R+37,100%,"1,174",Ñ
Burke,Trump +74,R+73.8,100%,"1,155",Ñ
Steele,Trump +24,R+17.7,100%,"1,088",Ñ
Logan,Trump +75,R+72.5,100%,"1,076",Ñ
Oliver,Trump +74,R+69.9,100%,"1,066",Ñ
Golden Valley,Trump +72,R+72.8,100%,"1,026",Ñ
Sheridan,Trump +72,R+70.5,100%,812,Ñ
Billings,Trump +74,R+72.1,100%,635,Ñ
Slope,Trump +79,R+74.2,100%,427,Ñ
