County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Multnomah,Biden +61,D+56.3,100%,"463,659",Ñ
Washington,Biden +35,D+26,100%,"320,326",Ñ
Clackamas,Biden +11,D+6.4,100%,"257,679",Ñ
Lane,Biden +24,D+18.6,100%,"222,253",Ñ
Marion,Biden +1.1,R+4.1,100%,"165,534",Ñ
Jackson,Trump +3,R+8.6,100%,"127,165",Ñ
Deschutes,Biden +8,R+3.3,100%,"125,234",Ñ
Linn,Trump +23,R+26.4,100%,"72,640",Ñ
Douglas,Trump +38,R+38.3,100%,"64,349",Ñ
Yamhill,Trump +4,R+8.1,100%,"58,923",Ñ
Benton,Biden +40,D+32.3,100%,"52,799",Ñ
Josephine,Trump +26,R+30.2,100%,"51,641",Ñ
Polk,Trump +1.7,R+6.3,100%,"48,291",Ñ
Coos,Trump +20,R+23.7,100%,"37,075",Ñ
Klamath,Trump +41,R+43.4,100%,"36,726",Ñ
Umatilla,Trump +32,R+34,100%,"33,038",Ñ
Columbia,Trump +10,R+11.5,100%,"32,221",Ñ
Lincoln,Biden +16,D+9.7,100%,"30,726",Ñ
Clatsop,Biden +11,D+5.7,100%,"23,910",Ñ
Tillamook,Trump +1.7,R+5.6,100%,"16,888",Ñ
Crook,Trump +48,R+48.3,100%,"15,448",Ñ
Union,Trump +40,R+40,100%,"14,944",Ñ
Curry,Trump +16,R+23.1,100%,"14,925",Ñ
Wasco,Trump +3,R+8.8,100%,"14,130",Ñ
Hood River,Biden +37,D+29.7,100%,"13,090",Ñ
Jefferson,Trump +23,R+26.5,100%,"11,913",Ñ
Malheur,Trump +42,R+47.4,100%,"11,804",Ñ
Baker,Trump +50,R+50.4,100%,"9,932",Ñ
Wallowa,Trump +35,R+39.7,100%,"5,149",Ñ
Morrow,Trump +43,R+40.9,100%,"5,118",Ñ
Grant,Trump +57,R+56.9,100%,"4,596",Ñ
Harney,Trump +58,R+56.1,100%,"4,481",Ñ
Lake,Trump +61,R+60.6,100%,"4,363",Ñ
Sherman,Trump +55,R+52.1,100%,"1,208",Ñ
Gilliam,Trump +43,R+42.4,100%,"1,178",Ñ
Wheeler,Trump +51,R+53.3,100%,965,Ñ
