County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Philadelphia,Biden +64,D+67,100%,"741,377","75,097"
Allegheny,Biden +20,D+16.5,100%,"724,800","345,031"
Montgomery,Biden +26,D+21.3,100%,"510,157","238,122"
Bucks,Biden +4,D+0.8,100%,"396,234",Ñ
Delaware,Biden +27,D+22.3,100%,"329,006","73,887"
Chester,Biden +17,D+9.4,100%,"315,753","148,475"
Lancaster,Trump +16,R+19.1,100%,"281,375",Ñ
York,Trump +25,R+28.8,100%,"238,471",Ñ
Berks,Trump +8,R+9.9,100%,"205,540",Ñ
Westmoreland,Trump +28,R+31,100%,"205,183","59,261"
Lehigh,Biden +8,D+4.7,100%,"184,713",Ñ
Northampton,Biden +0.72,R+3.8,100%,"171,399","73,628"
Luzerne,Trump +14,R+19.3,100%,"153,321","56,428"
Dauphin,Biden +9,D+2.9,100%,"147,368","48,638"
Cumberland,Trump +11,R+17.8,100%,"141,595",Ñ
Erie,Biden +1.0,R+1.6,100%,"137,083","5,908"
Washington,Trump +23,R+24.5,100%,"118,478","35,410"
Lackawanna,Biden +8,D+3.4,100%,"115,410","41,041"
Butler,Trump +33,R+36.6,100%,"113,305",Ñ
Beaver,Trump +18,R+18.5,100%,"94,122",Ñ
Monroe,Biden +6,D+0.8,100%,"83,829",Ñ
Franklin,Trump +43,R+45.8,100%,"80,783",Ñ
Centre,Biden +5,D+2.3,100%,"77,493",Ñ
Lebanon,Trump +32,R+34.5,100%,"71,858","19,761"
Schuylkill,Trump +40,R+43,100%,"70,603",Ñ
Cambria,Trump +37,R+36.8,100%,"70,574",Ñ
Blair,Trump +44,R+45.5,100%,"63,595",Ñ
Fayette,Trump +33,R+30.8,100%,"62,139",Ñ
Lycoming,Trump +41,R+44.2,100%,"59,254",Ñ
Mercer,Trump +26,R+24.2,100%,"57,954",Ñ
Adams,Trump +34,R+35.8,100%,"56,714",Ñ
Lawrence,Trump +30,R+27.8,100%,"46,076","11,876"
Northumberland,Trump +38,R+42.4,100%,"42,283",Ñ
Crawford,Trump +37,R+37.1,100%,"42,004",Ñ
Indiana,Trump +38,R+35,100%,"41,198",Ñ
Somerset,Trump +56,R+55.5,100%,"40,543",Ñ
Clearfield,Trump +49,R+48.4,100%,"39,496",Ñ
Armstrong,Trump +52,R+51.2,100%,"36,370",Ñ
Carbon,Trump +32,R+33.8,100%,"33,629","9,138"
Pike,Trump +19,R+25.8,100%,"32,554","13,058"
Columbia,Trump +31,R+31.8,100%,"31,171",Ñ
Bradford,Trump +45,R+45.3,100%,"30,159",Ñ
Wayne,Trump +34,R+38.5,100%,"28,089",Ñ
Bedford,Trump +68,R+67.2,100%,"27,574","5,351"
Venango,Trump +41,R+41.3,100%,"26,528",Ñ
Perry,Trump +50,R+51.4,100%,"24,652",646
Jefferson,Trump +59,R+58.9,100%,"22,824",813
Huntingdon,Trump +51,R+50.1,100%,"22,792",Ñ
Susquehanna,Trump +41,R+40.8,100%,"21,752",Ñ
Mifflin,Trump +56,R+54.6,100%,"21,502",Ñ
Tioga,Trump +51,R+52.5,100%,"21,075",Ñ
Warren,Trump +40,R+39.4,100%,"20,650","5,031"
Union,Trump +24,R+25.1,100%,"20,115",Ñ
Clarion,Trump +51,R+47,100%,"19,493",Ñ
McKean,Trump +46,R+46.2,100%,"19,466",Ñ
Snyder,Trump +47,R+46.8,100%,"19,140",Ñ
Greene,Trump +43,R+40.1,100%,"17,669",Ñ
Clinton,Trump +36,R+34,100%,"17,625",Ñ
Elk,Trump +45,R+42.4,100%,"16,906",Ñ
Wyoming,Trump +35,R+37.9,100%,"14,858","4,020"
Juniata,Trump +61,R+61.2,100%,"12,043",Ñ
Montour,Trump +21,R+28.4,100%,"9,817",Ñ
Potter,Trump +61,R+62.9,100%,"9,064",Ñ
Fulton,Trump +72,R+70.1,100%,"7,977",Ñ
Sullivan,Trump +47,R+48.9,100%,"3,595",Ñ
Forest,Trump +44,R+43.7,100%,"2,646",Ñ
Cameron,Trump +47,R+47.9,100%,"2,434",Ñ
