County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Hand,Trump +58,R+58.1,99%,"1,836",Ñ
Faulk,Trump +65,R+58.5,99%,"1,182",Ñ
Miner,Trump +41,R+39.9,99%,"1,138",Ñ
Minnehaha,Trump +9,R+14.6,100%,"92,326",Ñ
Pennington,Trump +25,R+32.9,100%,"57,518",Ñ
Lincoln,Trump +24,R+29.4,100%,"32,396",Ñ
Brown,Trump +23,R+25.8,100%,"17,547",Ñ
Brookings,Trump +13,R+14.7,100%,"14,567",Ñ
Lawrence,Trump +30,R+34.2,100%,"13,828",Ñ
Meade,Trump +48,R+53.5,100%,"13,670",Ñ
Codington,Trump +39,R+39.3,100%,"13,161",Ñ
Yankton,Trump +24,R+24.5,100%,"10,900",Ñ
Union,Trump +36,R+38.8,100%,"8,855",Ñ
Hughes,Trump +29,R+33.3,100%,"8,723",Ñ
Davison,Trump +35,R+35.2,100%,"8,454",Ñ
Beadle,Trump +38,R+37.6,100%,"7,081",Ñ
Lake,Trump +27,R+25.4,100%,"5,873",Ñ
Clay,Biden +11,D+9.8,100%,"5,698",Ñ
Custer,Trump +42,R+46,100%,"5,494",Ñ
Butte,Trump +58,R+61.2,100%,"4,802",Ñ
Turner,Trump +47,R+47.6,100%,"4,548",Ñ
Roberts,Trump +13,R+15.5,100%,"4,307",Ñ
Fall River,Trump +45,R+47.4,100%,"4,042",Ñ
Charles Mix,Trump +36,R+42.1,100%,"3,783",Ñ
Hutchinson,Trump +58,R+54.2,100%,"3,767",Ñ
Grant,Trump +42,R+39.6,100%,"3,745",Ñ
Moody,Trump +24,R+23.5,100%,"3,206",Ñ
Oglala Lakota,Biden +79,D+78.1,100%,"3,200",Ñ
Spink,Trump +35,R+31.7,100%,"3,163",Ñ
Hamlin,Trump +56,R+54.2,100%,"3,083",Ñ
Bon Homme,Trump +50,R+47.1,100%,"3,001",Ñ
Day,Trump +28,R+23.8,100%,"2,964",Ñ
McCook,Trump +45,R+45.3,100%,"2,900",Ñ
Kingsbury,Trump +39,R+38.3,100%,"2,779",Ñ
Tripp,Trump +62,R+61.1,100%,"2,696",Ñ
Walworth,Trump +54,R+58.1,100%,"2,580",Ñ
Todd,Biden +56,D+47.9,100%,"2,539",Ñ
Brule,Trump +43,R+43.4,100%,"2,490",Ñ
Hanson,Trump +52,R+53.5,100%,"2,388",Ñ
Deuel,Trump +46,R+38.3,100%,"2,350",Ñ
Gregory,Trump +58,R+57.8,100%,"2,258",Ñ
Marshall,Trump +20,R+15.5,100%,"2,178",Ñ
Edmunds,Trump +56,R+54.9,100%,"1,985",Ñ
Dewey,Biden +17,D+9.7,100%,"1,966",Ñ
Clark,Trump +51,R+44.7,100%,"1,850",Ñ
Douglas,Trump +73,R+70,100%,"1,707",Ñ
Perkins,Trump +70,R+71.3,100%,"1,669",Ñ
Stanley,Trump +47,R+52.3,100%,"1,652",Ñ
Lyman,Trump +32,R+42.8,100%,"1,597",Ñ
Aurora,Trump +52,R+45.1,100%,"1,405",Ñ
Potter,Trump +66,R+64,100%,"1,380",Ñ
McPherson,Trump +64,R+61.6,100%,"1,324",Ñ
Corson,Trump +1.9,R+4.5,100%,"1,283",Ñ
Sanborn,Trump +55,R+51.5,100%,"1,185",Ñ
Bennett,Trump +19,R+22.1,100%,"1,183",Ñ
Haakon,Trump +81,R+82.3,100%,"1,137",Ñ
Jackson,Trump +34,R+36.4,100%,"1,115",Ñ
Jerauld,Trump +45,R+39.7,100%,"1,006",Ñ
Sully,Trump +58,R+63,100%,930,Ñ
Ziebach,Biden +8,R+2,100%,906,Ñ
Campbell,Trump +72,R+72.1,100%,873,Ñ
Harding,Trump +86,R+85.3,100%,813,Ñ
Mellette,Trump +20,R+24,100%,769,Ñ
Hyde,Trump +60,R+60.6,100%,710,Ñ
Jones,Trump +68,R+68.3,100%,599,Ñ
Buffalo,Biden +31,D+25.5,100%,549,Ñ
