County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Shelby,Biden +30,D+27.5,100%,"382,055","299,567"
Davidson,Biden +32,D+25.8,100%,"309,658","252,747"
Knox,Trump +15,R+23.7,100%,"220,556","173,529"
Hamilton,Trump +10,R+16.4,100%,"171,113",Ñ
Rutherford,Trump +15,R+25.9,100%,"143,878","62,588"
Williamson,Trump +26,R+35,100%,"139,016","110,229"
Sumner,Trump +39,R+44.7,100%,"92,630",Ñ
Montgomery,Trump +13,R+18.5,100%,"76,758",Ñ
Sullivan,Trump +52,R+55.2,100%,"74,357",Ñ
Wilson,Trump +38,R+44.1,100%,"74,330",Ñ
Blount,Trump +44,R+48.5,100%,"66,609","50,992"
Washington,Trump +36,R+42.7,100%,"60,203","4,456"
Maury,Trump +37,R+38.9,100%,"46,657","28,375"
Bradley,Trump +55,R+58.7,100%,"45,865","35,358"
Sevier,Trump +58,R+61.5,100%,"43,535","26,861"
Madison,Trump +13,R+15.4,100%,"42,950","30,120"
Anderson,Trump +32,R+34.1,100%,"35,570","23,838"
Robertson,Trump +47,R+47.1,100%,"33,717",Ñ
Putnam,Trump +43,R+44.7,100%,"33,593",Ñ
Cumberland,Trump +57,R+57.7,100%,"32,279","22,929"
Loudon,Trump +50,R+54.3,100%,"29,347","24,591"
Greene,Trump +61,R+60.8,100%,"28,087","27,994"
Tipton,Trump +48,R+47.4,100%,"27,308",Ñ
Roane,Trump +51,R+51,100%,"25,917","18,957"
Hawkins,Trump +66,R+63.3,100%,"24,824",Ñ
Hamblen,Trump +54,R+56.9,100%,"24,631",Ñ
Carter,Trump +61,R+63.8,100%,"24,492","12,644"
Dickson,Trump +47,R+45.5,100%,"24,323","16,967"
Coffee,Trump +50,R+48.4,100%,"24,282","17,167"
Jefferson,Trump +59,R+59.2,100%,"23,616",Ñ
Fayette,Trump +38,R+37,100%,"22,984",Ñ
McMinn,Trump +61,R+59.6,100%,"22,844",Ñ
Gibson,Trump +47,R+43.6,100%,"22,335","14,639"
Monroe,Trump +63,R+59.6,100%,"20,797",Ñ
Cheatham,Trump +44,R+46.6,100%,"20,260","16,532"
Franklin,Trump +48,R+43.6,100%,"19,132","10,664"
Bedford,Trump +52,R+52.7,100%,"19,088",Ñ
Lawrence,Trump +65,R+61.3,100%,"18,718",Ñ
Warren,Trump +49,R+44.1,100%,"16,692",Ñ
