County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Rockwall,Trump +38,R+46.8,93%,"53,891","48,557"
Mason,Trump +62,R+63.3,97%,"2,474","2,085"
Harris,Biden +13,D+12.3,100%,"1,640,818","1,439,920"
Dallas,Biden +32,D+25.9,100%,"921,638","800,089"
Tarrant,Biden +0.22,R+8.6,100%,"834,697","733,248"
Bexar,Biden +18,D+13.3,100%,"768,952","685,465"
Travis,Biden +45,D+38.6,100%,"610,349","553,103"
Collin,Trump +4,R+16.6,100%,"492,216","455,693"
Denton,Trump +8,R+20,100%,"417,964","384,152"
Fort Bend,Biden +11,D+6.6,100%,"357,514","327,879"
Williamson,Biden +1.4,R+9.6,100%,"289,312","261,100"
Montgomery,Trump +44,R+50.7,100%,"271,451","236,490"
El Paso,Biden +35,D+42.8,100%,"267,215","208,372"
Hidalgo,Biden +17,D+40.2,100%,"220,884","188,351"
Galveston,Trump +23,R+24.5,100%,"155,060","139,837"
Brazoria,Trump +18,R+24.4,100%,"154,984","140,355"
Bell,Trump +9,R+14.8,100%,"127,375","104,209"
Nueces,Trump +3,R+1.5,100%,"127,314","110,985"
Lubbock,Trump +32,R+38,100%,"120,771","106,271"
Cameron,Biden +13,D+32.3,100%,"114,174","95,823"
Hays,Biden +11,R+0.8,100%,"109,357","98,209"
Smith,Trump +39,R+43.2,100%,"100,075","86,842"
McLennan,Trump +23,R+26.8,100%,"97,771","79,985"
Jefferson,Trump +1.6,R+0.5,100%,"94,739","84,149"
Comal,Trump +43,R+49.7,100%,"88,863","79,566"
Ellis,Trump +34,R+44.7,100%,"85,493","75,112"
Brazos,Trump +14,R+23.2,100%,"85,061","72,113"
Guadalupe,Trump +24,R+31.4,100%,"77,592","68,003"
Parker,Trump +64,R+67.1,100%,"76,128","65,348"
Johnson,Trump +53,R+58,100%,"72,005","61,112"
Webb,Biden +23,D+51,100%,"68,397","53,357"
Randall,Trump +59,R+64.6,100%,"64,674","56,333"
Grayson,Trump +50,R+52.8,100%,"59,439","50,301"
Midland,Trump +57,R+54.8,100%,"58,856","49,813"
Kaufman,Trump +34,R+46.8,100%,"56,703","48,422"
Taylor,Trump +45,R+50.6,100%,"55,112","45,407"
Gregg,Trump +37,R+40.9,100%,"47,982","42,687"
Wichita,Trump +41,R+49.5,100%,"46,030","37,710"
Tom Green,Trump +44,R+47.6,100%,"45,210","33,580"
Ector,Trump +48,R+40.4,100%,"44,581","35,426"
Hunt,Trump +53,R+55.5,100%,"38,574","28,261"
Bowie,Trump +43,R+46.5,100%,"38,261","30,003"
Bastrop,Trump +14,R+20.1,100%,"36,665","31,321"
Henderson,Trump +60,R+59.8,100%,"36,310","29,705"
Orange,Trump +63,R+61.8,100%,"35,994","30,503"
Angelina,Trump +46,R+47.2,100%,"34,574","28,635"
Victoria,Trump +38,R+39.6,100%,"34,188","27,938"
Potter,Trump +39,R+41.5,100%,"33,321","26,841"
Hood,Trump +64,R+66.2,100%,"32,541","25,924"
Wise,Trump +68,R+69.7,100%,"32,362","27,361"
Harrison,Trump +46,R+43.7,100%,"29,710","25,555"
Liberty,Trump +60,R+57.8,100%,"29,334","24,370"
Kerr,Trump +52,R+56,100%,"27,745","24,062"
Hardin,Trump +74,R+73.9,100%,"27,635","22,767"
Nacogdoches,Trump +31,R+35,100%,"26,763","22,378"
Kendall,Trump +53,R+59.4,100%,"26,438","23,516"
Van Zandt,Trump +72,R+71.6,100%,"25,994","17,151"
San Patricio,Trump +29,R+23.8,100%,"25,888","21,964"
Wilson,Trump +48,R+47.5,100%,"25,013","20,886"
Burnet,Trump +53,R+56.5,100%,"24,717","20,896"
Polk,Trump +55,R+55.4,100%,"24,181","20,349"
Walker,Trump +32,R+34.3,100%,"23,612","19,448"
Coryell,Trump +34,R+39.2,100%,"23,490","19,274"
Wood,Trump +68,R+69.8,100%,"22,779","19,451"
Waller,Trump +27,R+28.5,100%,"22,734","19,211"
Medina,Trump +39,R+43.2,100%,"22,644","19,925"
Chambers,Trump +62,R+61.7,100%,"21,652","19,084"
Lamar,Trump +57,R+58.7,100%,"21,418","16,669"
Rusk,Trump +56,R+56.1,100%,"21,368","16,180"
Cherokee,Trump +56,R+56.3,100%,"19,508","15,460"
Anderson,Trump +58,R+57.9,100%,"19,227","14,491"
Navarro,Trump +45,R+48.6,100%,"19,121","14,684"
Cooke,Trump +65,R+67.9,100%,"18,988","13,630"
Upshur,Trump +68,R+67.6,100%,"18,887","15,338"
Atascosa,Trump +34,R+29,100%,"18,118","14,768"
Starr,Biden +5,D+60.2,100%,"17,525","14,281"
Washington,Trump +50,R+51,100%,"17,418","14,499"
Erath,Trump +64,R+65.1,100%,"16,853","13,625"
Wharton,Trump +43,R+40.1,100%,"16,761","14,497"
Brown,Trump +73,R+74.1,100%,"15,969","12,572"
Hopkins,Trump +61,R+60.5,100%,"15,939","12,963"
Gillespie,Trump +59,R+61.7,100%,"15,846","12,663"
Jasper,Trump +61,R+59.8,100%,"15,608","12,705"
Maverick,Biden +9,D+55.8,100%,"15,346","11,383"
Val Verde,Trump +10,D+7.9,100%,"15,272","12,008"
Fannin,Trump +63,R+61.6,100%,"15,004","11,038"
Caldwell,Trump +9,R+15.6,100%,"14,973","12,516"
Hill,Trump +61,R+58.3,100%,"14,931","9,632"
Austin,Trump +58,R+59.6,100%,"14,554","11,556"
Cass,Trump +59,R+59.4,100%,"13,927","10,830"
Matagorda,Trump +45,R+39.9,100%,"13,726","10,951"
Jim Wells,Trump +10,D+10.3,100%,"13,669","9,935"
Fayette,Trump +58,R+59.1,100%,"12,941","9,287"
Bandera,Trump +59,R+63,100%,"12,715","11,085"
Llano,Trump +60,R+62,100%,"12,660","11,301"
San Jacinto,Trump +62,R+58.2,100%,"12,638","10,411"
Palo Pinto,Trump +64,R+64,100%,"12,485","9,603"
Grimes,Trump +53,R+51.1,100%,"12,413","9,507"
Aransas,Trump +51,R+50.2,100%,"12,290","11,029"
Panola,Trump +63,R+63.5,100%,"11,451","8,091"
