County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Salt Lake,Biden +11,D+8.9,100%,"541,175","507,874"
Utah,Trump +41,R+20.5,100%,"284,480",Ñ
Davis,Trump +28,R+16,100%,"169,895",Ñ
Weber,Trump +23,R+19.9,100%,"111,442",Ñ
Washington,Trump +52,R+51.9,100%,"90,476","75,949"
Cache,Trump +37,R+15.9,100%,"57,571",Ñ
Tooele,Trump +38,R+29.1,100%,"31,518","26,903"
Box Elder,Trump +63,R+40.1,100%,"27,027","14,719"
Summit,Biden +19,D+15.2,100%,"26,088",Ñ
Iron,Trump +57,R+49.4,100%,"24,890",Ñ
Wasatch,Trump +26,R+24.9,100%,"17,581",Ñ
Uintah,Trump +76,R+64.6,100%,"15,307","13,064"
Sanpete,Trump +69,R+45.2,100%,"12,631",Ñ
Sevier,Trump +77,R+67,100%,"10,363",Ñ
Carbon,Trump +46,R+44.5,100%,"9,369",Ñ
Duchesne,Trump +78,R+68.4,100%,"8,524",Ñ
San Juan,Trump +6,R+10.9,100%,"6,878",Ñ
Morgan,Trump +63,R+38.1,100%,"6,512",Ñ
Millard,Trump +78,R+59.6,100%,"6,160",Ñ
Juab,Trump +76,R+48.9,100%,"5,866",Ñ
Grand,Biden +11,R+0.3,100%,"5,185",Ñ
Emery,Trump +75,R+70.6,100%,"4,865",Ñ
Kane,Trump +46,R+43.1,100%,"4,180",Ñ
Beaver,Trump +75,R+60.5,100%,"3,100",Ñ
Garfield,Trump +60,R+52.8,100%,"2,732",Ñ
Wayne,Trump +53,R+48.7,100%,"1,621",Ñ
Rich,Trump +72,R+55.7,100%,"1,363",Ñ
Piute,Trump +79,R+79.3,100%,871,Ñ
Daggett,Trump +62,R+53.2,100%,619,Ñ
