Town,Margin,Est. votes reported,Total votes,Absentee
Goshen,Biden +44,98%,126,Ñ
Brunswick,Trump +13,98%,64,Ñ
Lemington,Biden +4,98%,49,Ñ
Franklin,Trump +12,99%,754,Ñ
Chelsea,Biden +17,99%,723,Ñ
Fairlee,Biden +45,99%,621,Ñ
Grafton,Biden +33,99%,405,Ñ
Landgrove,Biden +72,99%,134,Ñ
Burlington,Biden +76,100%,"22,218",Ñ
Essex,Biden +46,100%,"13,414",Ñ
South Burlington,Biden +61,100%,"12,670",Ñ
Colchester,Biden +38,100%,"9,594",Ñ
Rutland,Biden +21,100%,"8,000",Ñ
Bennington,Biden +27,100%,"7,096",Ñ
Williston,Biden +47,100%,"6,873",Ñ
Brattleboro,Biden +66,100%,"6,663",Ñ
Hartford,Biden +47,100%,"6,264",Ñ
Milton,Biden +12,100%,"6,168",Ñ
Shelburne,Biden +63,100%,"5,419",Ñ
Montpelier,Biden +79,100%,"5,185",Ñ
Barre Town,Biden +9,100%,"4,766",Ñ
Springfield,Biden +18,100%,"4,516",Ñ
Middlebury,Biden +63,100%,"4,331",Ñ
Barre,Biden +28,100%,"3,807",Ñ
St. Albans Town,Biden +15,100%,"3,794",Ñ
Winooski,Biden +65,100%,"3,701",Ñ
Jericho,Biden +48,100%,"3,662",Ñ
Waterbury,Biden +62,100%,"3,498",Ñ
Stowe,Biden +62,100%,"3,406",Ñ
St. Johnsbury,Biden +24,100%,"3,377",Ñ
Swanton,Biden +0.62,100%,"3,228",Ñ
Morristown,Biden +45,100%,"3,197",Ñ
Hinesburg,Biden +49,100%,"3,084",Ñ
St. Albans,Biden +34,100%,"3,057",Ñ
Fairfax,Biden +14,100%,"2,996",Ñ
Richmond,Biden +58,100%,"2,941",Ñ
Georgia,Biden +8,100%,"2,917",Ñ
Charlotte,Biden +61,100%,"2,886",Ñ
Manchester,Biden +45,100%,"2,785",Ñ
Randolph,Biden +34,100%,"2,586",Ñ
Norwich,Biden +82,100%,"2,570",Ñ
Rockingham,Biden +39,100%,"2,519",Ñ
Derby,Trump +4,100%,"2,515",Ñ
Rutland Town,Biden +14,100%,"2,486",Ñ
Northfield,Biden +27,100%,"2,465",Ñ
Lyndon,Biden +3,100%,"2,440",Ñ
Bristol,Biden +35,100%,"2,245",Ñ
Shaftsbury,Biden +24,100%,"2,225",Ñ
Underhill,Biden +50,100%,"2,224",Ñ
Cambridge,Biden +42,100%,"2,199",Ñ
Hartland,Biden +40,100%,"2,198",Ñ
Brandon,Biden +15,100%,"2,184",Ñ
Castleton,Biden +0.65,100%,"2,161",Ñ
Woodstock,Biden +59,100%,"2,109",Ñ
Thetford,Biden +54,100%,"1,910",Ñ
Windsor,Biden +39,100%,"1,890",Ñ
Williamstown,Trump +3,100%,"1,862",Ñ
Newport,Biden +15,100%,"1,842",Ñ
