County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Accomack,Trump +9,R+11.7,71%,"16,962","8,645"
Fredericksburg,Biden +35,D+26.3,75%,"12,862","8,870"
Mecklenburg,Trump +15,R+13.4,88%,"16,204","8,302"
Northumberland,Trump +16,R+19.6,99%,"7,815","4,762"
Fairfax,Biden +42,D+35.8,100%,"600,823","410,021"
Prince William,Biden +27,D+21.1,100%,"228,056","169,243"
Virginia Beach,Biden +5,R+3.5,100%,"227,561","130,244"
Loudoun,Biden +25,D+16.9,100%,"224,862","155,434"
Chesterfield,Biden +7,R+2.3,100%,"203,884","154,319"
Henrico,Biden +29,D+20.8,100%,"183,152","109,861"
Arlington,Biden +64,D+59.2,100%,"130,699","107,030"
Chesapeake,Biden +6,R+1.3,100%,"127,108","90,410"
Richmond City,Biden +68,D+63.5,100%,"111,159","71,940"
Norfolk,Biden +46,D+42.5,100%,"89,881","57,966"
Alexandria,Biden +63,D+58,100%,"82,508","65,530"
Newport News,Biden +33,D+26.6,100%,"81,203","48,299"
Stafford,Biden +3,R+9,100%,"79,625","49,511"
Spotsylvania,Trump +7,R+16.7,100%,"75,317","48,674"
Hanover,Trump +27,R+32.3,100%,"70,967","43,342"
Hampton,Biden +42,D+37.6,100%,"65,901","45,108"
Albemarle,Biden +34,D+24.8,100%,"64,657","43,352"
Roanoke,Trump +22,R+27.6,100%,"57,184","37,752"
Suffolk,Biden +17,D+12.2,100%,"49,642","30,739"
James City,Biden +5,R+5.1,100%,"49,622","37,016"
Frederick,Trump +27,R+35,100%,"48,703","28,873"
Bedford,Trump +48,R+49.1,100%,"48,669","24,216"
Montgomery,Biden +6,D+1.3,100%,"45,037","28,450"
Portsmouth,Biden +41,D+36.3,100%,"44,582","24,212"
Rockingham,Trump +40,R+44.3,100%,"43,811","18,011"
Fauquier,Trump +17,R+24.4,100%,"43,661","28,122"
Roanoke City,Biden +26,D+19,100%,"43,323","27,708"
Augusta,Trump +47,R+49.5,100%,"42,278","20,996"
