County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
King,Biden +53,D+48.8,100%,"1,210,507",Ñ
Pierce,Biden +11,D+7.1,100%,"464,081",Ñ
Snohomish,Biden +21,D+16.1,100%,"438,796",Ñ
Spokane,Trump +4,R+8.3,100%,"295,430",Ñ
Clark,Biden +5,D+0.2,100%,"275,403",Ñ
Thurston,Biden +19,D+15,100%,"168,134",Ñ
Kitsap,Biden +18,D+11,100%,"158,672",Ñ
Whatcom,Biden +24,D+17.4,100%,"138,620",Ñ
Benton,Trump +21,R+24.9,100%,"103,033",Ñ
Yakima,Trump +8,R+13.1,100%,"96,193",Ñ
Skagit,Biden +7,D+3.4,100%,"73,423",Ñ
Cowlitz,Trump +17,R+13.3,100%,"60,280",Ñ
Island,Biden +12,D+5.6,100%,"53,925",Ñ
Clallam,Biden +3,R+2.8,100%,"49,264",Ñ
Lewis,Trump +33,R+35.1,100%,"45,309",Ñ
Chelan,Trump +8,R+14.8,100%,"43,306",Ñ
Grays Harbor,Trump +7,R+7,100%,"38,441",Ñ
Grant,Trump +34,R+36.6,100%,"37,680",Ñ
Mason,Trump +4,R+5.8,100%,"37,303",Ñ
Franklin,Trump +15,R+17.6,100%,"32,404",Ñ
Walla Walla,Trump +9,R+15.1,100%,"31,261",Ñ
Stevens,Trump +42,R+40.2,100%,"28,430",Ñ
Kittitas,Trump +10,R+13.3,100%,"26,364",Ñ
Jefferson,Biden +41,D+31.7,100%,"24,792",Ñ
Douglas,Trump +24,R+29.5,100%,"21,308",Ñ
Okanogan,Trump +14,R+18.9,100%,"21,282",Ñ
Whitman,Biden +10,D+4.1,100%,"21,126",Ñ
Pacific,Trump +1.1,R+6.7,100%,"14,064",Ñ
Klickitat,Trump +9,R+14.4,100%,"13,560",Ñ
San Juan,Biden +51,D+40.3,100%,"13,197",Ñ
Asotin,Trump +26,R+26.1,100%,"11,951",Ñ
Pend Oreille,Trump +37,R+34.8,100%,"8,553",Ñ
Skamania,Trump +9,R+11.9,100%,"7,312",Ñ
Lincoln,Trump +49,R+48.9,100%,"7,033",Ñ
Adams,Trump +36,R+37.3,100%,"5,862",Ñ
Ferry,Trump +29,R+30.3,100%,"4,367",Ñ
Wahkiakum,Trump +19,R+21.1,100%,"2,981",Ñ
Columbia,Trump +44,R+43.6,100%,"2,495",Ñ
Garfield,Trump +47,R+45.2,100%,"1,489",Ñ
