County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Kanawha,Trump +15,R+20.3,100%,"82,244","42,262"
Berkeley,Trump +31,R+36.7,100%,"51,535",Ñ
Monongalia,Trump +1.2,R+10.2,100%,"42,072","30,211"
Wood,Trump +42,R+47.2,100%,"38,762",Ñ
Cabell,Trump +18,R+25,100%,"37,360",Ñ
Raleigh,Trump +50,R+52.2,100%,"33,106","12,557"
Harrison,Trump +38,R+39,100%,"30,465",Ñ
Putnam,Trump +43,R+47.2,100%,"28,501","16,481"
Jefferson,Trump +10,R+15,100%,"27,703",Ñ
Marion,Trump +29,R+33,100%,"25,794","14,890"
Mercer,Trump +54,R+54.7,100%,"25,134",Ñ
Ohio,Trump +26,R+31,100%,"19,898",Ñ
Wayne,Trump +50,R+50.8,100%,"16,947","6,624"
Fayette,Trump +39,R+39.2,100%,"16,862",Ñ
Greenbrier,Trump +40,R+40.7,100%,"15,850",Ñ
Preston,Trump +55,R+55.4,100%,"14,572",Ñ
Marshall,Trump +50,R+50.5,100%,"14,080",Ñ
Hancock,Trump +44,R+44.1,100%,"13,800",Ñ
Jackson,Trump +51,R+51.7,100%,"13,508",Ñ
Logan,Trump +63,R+62.7,100%,"13,026",Ñ
Mineral,Trump +57,R+60.1,100%,"12,872",Ñ
Randolph,Trump +44,R+44.6,100%,"12,200",Ñ
Mason,Trump +53,R+54.3,100%,"11,203",Ñ
Brooke,Trump +43,R+41.8,100%,"10,656",Ñ
Nicholas,Trump +57,R+56.5,100%,"10,630","4,206"
Upshur,Trump +54,R+56.3,100%,"10,221",Ñ
Hampshire,Trump +60,R+58.9,100%,"10,086",Ñ
Mingo,Trump +71,R+68.8,100%,"10,022",Ñ
Boone,Trump +53,R+53.7,100%,"9,012",Ñ
Morgan,Trump +52,R+53.8,100%,"8,695",Ñ
Wyoming,Trump +72,R+69.6,100%,"8,592",Ñ
Lincoln,Trump +55,R+53.9,100%,"7,830",Ñ
Lewis,Trump +57,R+56.6,100%,"7,457",Ñ
Taylor,Trump +50,R+49.2,100%,"7,383",Ñ
Barbour,Trump +55,R+54,100%,"6,677",Ñ
Wetzel,Trump +52,R+50.1,100%,"6,667",Ñ
McDowell,Trump +58,R+51.1,100%,"6,527",Ñ
Monroe,Trump +57,R+56.9,100%,"6,490",Ñ
Hardy,Trump +55,R+55,100%,"6,331",Ñ
Roane,Trump +48,R+48.1,100%,"5,763",Ñ
Braxton,Trump +47,R+43.5,100%,"5,664",Ñ
Summers,Trump +47,R+46.3,100%,"5,585",Ñ
Grant,Trump +77,R+77.2,100%,"5,509",Ñ
Ritchie,Trump +72,R+70.9,100%,"4,283",Ñ
Pocahontas,Trump +46,R+42.7,100%,"4,008",Ñ
Tyler,Trump +66,R+67.4,100%,"3,922",Ñ
Tucker,Trump +50,R+51.8,100%,"3,844",Ñ
Pendleton,Trump +54,R+51.3,100%,"3,659","1,575"
Pleasants,Trump +59,R+54.6,100%,"3,491",Ñ
Webster,Trump +63,R+58,100%,"3,402",Ñ
Clay,Trump +61,R+57.8,100%,"3,365",Ñ
Doddridge,Trump +70,R+69.7,100%,"3,101",Ñ
Calhoun,Trump +60,R+59.9,100%,"2,971",Ñ
Gilmer,Trump +53,R+52.4,100%,"2,662",Ñ
Wirt,Trump +63,R+63,100%,"2,653",Ñ
