County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Pierce,Trump +13,R+13.4,99%,"23,317",Ñ
Milwaukee,Biden +40,D+36.9,100%,"458,971",Ñ
Dane,Biden +53,D+47.3,100%,"344,791",Ñ
Waukesha,Trump +21,R+26.7,100%,"267,996",Ñ
Brown,Trump +7,R+10.7,100%,"144,017",Ñ
Outagamie,Trump +10,R+12.6,100%,"108,022",Ñ
Racine,Trump +4,R+4.3,100%,"106,451",Ñ
Winnebago,Trump +4,R+7.3,100%,"94,032",Ñ
Kenosha,Trump +3,R+0.3,100%,"88,738",Ñ
Washington,Trump +38,R+40.2,100%,"88,070",Ñ
Rock,Biden +11,D+10.3,100%,"85,360",Ñ
Marathon,Trump +18,R+18,100%,"76,751",Ñ
La Crosse,Biden +13,D+9.5,100%,"67,884",Ñ
Sheboygan,Trump +16,R+15.9,100%,"66,011",Ñ
Ozaukee,Trump +12,R+18.9,100%,"61,486",Ñ
Eau Claire,Biden +11,D+7.3,100%,"58,275",Ñ
Walworth,Trump +19,R+19.8,100%,"57,600",Ñ
Fond du Lac,Trump +26,R+26.3,100%,"57,251",Ñ
St. Croix,Trump +16,R+18.4,100%,"56,707",Ñ
Dodge,Trump +31,R+29.4,100%,"48,436",Ñ
Jefferson,Trump +15,R+15.9,100%,"47,979",Ñ
Manitowoc,Trump +23,R+21.3,100%,"44,829",Ñ
Wood,Trump +19,R+19.2,100%,"41,298",Ñ
Portage,Biden +3,D+3.2,100%,"40,603",Ñ
Sauk,Biden +1.7,R+0.3,100%,"36,203",Ñ
Chippewa,Trump +20,R+19.1,100%,"35,938",Ñ
Columbia,Trump +1.5,R+2.1,100%,"33,869",Ñ
Calumet,Trump +20,R+21.5,100%,"30,774",Ñ
Waupaca,Trump +32,R+29.7,100%,"29,130",Ñ
Polk,Trump +27,R+27.5,100%,"26,371",Ñ
Grant,Trump +12,R+9.4,100%,"25,608",Ñ
Barron,Trump +26,R+25.3,100%,"25,346",Ñ
Douglas,Biden +9,D+7.5,100%,"24,677",Ñ
Oneida,Trump +15,R+18.7,100%,"24,159",Ñ
Dunn,Trump +14,R+11.1,100%,"23,524",Ñ
Oconto,Trump +41,R+36.6,100%,"23,215",Ñ
Marinette,Trump +35,R+33,100%,"22,979",Ñ
Shawano,Trump +36,R+33.8,100%,"22,615",Ñ
Monroe,Trump +24,R+21.8,100%,"22,611",Ñ
Green,Biden +3,D+2.3,100%,"21,406",Ñ
Door,Biden +1.5,R+3.2,100%,"20,117",Ñ
Lincoln,Trump +23,R+20.6,100%,"16,497",Ñ
Vernon,Trump +5,R+4.4,100%,"15,923",Ñ
Trempealeau,Trump +17,R+12.6,100%,"15,380",Ñ
Vilas,Trump +22,R+25,100%,"15,369",Ñ
Clark,Trump +37,R+32.4,100%,"14,898",Ñ
Iowa,Biden +14,D+15.2,100%,"13,992",Ñ
Juneau,Trump +29,R+26.1,100%,"13,709",Ñ
Waushara,Trump +34,R+32.1,100%,"13,568",Ñ
Kewaunee,Trump +33,R+27.8,100%,"12,095",Ñ
Adams,Trump +26,R+21.9,100%,"11,818",Ñ
Langlade,Trump +32,R+31.7,100%,"11,165",Ñ
Bayfield,Biden +14,D+8.6,100%,"10,880",Ñ
Taylor,Trump +46,R+44.2,100%,"10,686",Ñ
Green Lake,Trump +36,R+37.4,100%,"10,671",Ñ
Sawyer,Trump +13,R+18.4,100%,"10,510",Ñ
Washburn,Trump +24,R+23.4,100%,"10,378",Ñ
Jackson,Trump +15,R+11.7,100%,"10,184",Ñ
Burnett,Trump +29,R+28.2,100%,"10,141",Ñ
Marquette,Trump +27,R+24.1,100%,"9,065",Ñ
Richland,Trump +10,R+5.5,100%,"9,014",Ñ
Ashland,Biden +11,D+11.5,100%,"8,757",Ñ
Crawford,Trump +8,R+5.4,100%,"8,695",Ñ
Lafayette,Trump +14,R+9,100%,"8,555",Ñ
Price,Trump +28,R+25,100%,"8,546",Ñ
Rusk,Trump +35,R+33.8,100%,"7,886",Ñ
Buffalo,Trump +25,R+21.8,100%,"7,816",Ñ
Forest,Trump +31,R+26.6,100%,"5,053",Ñ
Pepin,Trump +26,R+23.1,100%,"4,144",Ñ
Iron,Trump +23,R+22.9,100%,"4,010",Ñ
Florence,Trump +46,R+46.4,100%,"2,940",Ñ
Menominee,Biden +64,D+56.2,100%,"1,590",Ñ
