County,Margin,2016 margin,Est. votes reported,Total votes,Absentee
Laramie,Trump +28,R+32.4,100%,"44,982",Ñ
Natrona,Trump +48,R+50.9,100%,"35,202","17,418"
Campbell,Trump +77,R+79.4,100%,"19,566","19,564"
Albany,Biden +3,R+4.2,100%,"18,617",Ñ
Fremont,Trump +36,R+40.9,100%,"18,111",Ñ
Park,Trump +56,R+56.8,100%,"16,717",Ñ
Sweetwater,Trump +51,R+52.1,100%,"16,603",Ñ
Sheridan,Trump +47,R+50.6,100%,"16,428",Ñ
Teton,Biden +38,D+26.9,100%,"14,677",Ñ
Lincoln,Trump +68,R+63.9,100%,"10,468",Ñ
Uinta,Trump +63,R+58.5,100%,"9,402","3,907"
Converse,Trump +73,R+72.9,100%,"6,970",Ñ
Carbon,Trump +54,R+49.1,100%,"6,664","2,865"
Goshen,Trump +59,R+60.3,100%,"6,241",Ñ
Big Horn,Trump +70,R+65.1,100%,"5,752",Ñ
Sublette,Trump +62,R+63,100%,"4,970",Ñ
Platte,Trump +61,R+60,100%,"4,923","1,979"
Johnson,Trump +61,R+64.3,100%,"4,914",Ñ
Crook,Trump +79,R+80.4,100%,"4,119",Ñ
Washakie,Trump +65,R+62.4,100%,"4,012",Ñ
Weston,Trump +78,R+77.5,100%,"3,542",Ñ
Hot Springs,Trump +59,R+59.5,100%,"2,577",Ñ
Niobrara,Trump +74,R+76.2,100%,"1,308",380
